,c1,c2,jac,cos
124,AUS,CAN,0.22762148337595908,0.9476083558963705
1,ARG,AUS,0.2175015852885225,0.9378685778748825
806,DEU,ITA,0.21673003802281368,0.9387458067333081
60,AUT,AUS,0.18591723285979,0.9272744885267679
542,CHE,SWE,0.1587205793602897,0.8950133470784445
1041,GHA,SEN,0.1524609843937575,0.8617033865139943
1397,LBN,MAR,0.15038945476333135,0.8548732473133902
1055,GRC,ITA,0.14558472553699284,0.8567395612234502
454,CAN,CHN,0.14285714285714285,0.885018096564861
365,BRA,ITA,0.1408199643493761,0.8814489275114418
1568,NAM,SEN,0.13676731793960922,0.8753873402808761
857,EGY,MAR,0.1314083677077195,0.85203052176818
1275,ITA,MAR,0.1314083677077195,0.8443421425153188
238,BEL,CHE,0.1314083677077195,0.8681615401566182
1669,PHL,THA,0.12609970674486803,0.8608995876172301
1093,HUN,ITA,0.12478031634446397,0.8612318512769841
1497,MAR,THA,0.12149532710280374,0.8413798685450972
619,CHN,IND,0.11822947000582411,0.8675646998858618
1627,NOR,SWE,0.1136890951276102,0.8435575058431253
1205,ISR,LBN,0.11239860950173812,0.8298636508855771
1685,PAK,SEN,0.10535405872193437,0.8421333656114701
428,BWA,NAM,0.10535405872193437,0.8422232095540666
1731,ROU,THA,0.10218140068886337,0.834094908773139
1756,SWE,THA,0.09839816933638444,0.8277249423592636
1581,NGA,PAK,0.09777015437392796,0.8322608505784173
1251,IND,PAK,0.09526525955504848,0.8453719620279417
1156,IDN,THA,0.09152927799886298,0.8134582073960975
749,CZE,DEU,0.08967082860385925,0.8108062923878359
1794,SEN,THA,0.0890527509926262,0.8231530946987491
1424,LTU,LVA,0.0890527509926262,0.8246613271679757
1464,LVA,ROU,0.08597285067873303,0.8277479496808938
1599,NLD,NOR,0.0847457627118644,0.820764906925978
330,BGR,ROU,0.0829103214890017,0.8095468449937165
693,COL,SEN,0.07623318385650224,0.804221805965428
1777,SVN,THA,0.0738255033557047,0.7788273573054529
1546,MYS,THA,0.064891846921797,0.7969937811568718
1808,THA,ZWE,0.06430155210643015,0.7926187377673658
1767,SGP,THA,0.06018774157923799,0.7913458464566019
1389,KOR,TWN,0.04008667388949079,0.8474908163790826
1819,TWN,ZWE,0.02290889717634523,0.7526019557769729
1822,TZA,VEN,0.021820117083555083,0.8035196294999709
1829,VEN,ZWE,0.01910828025477707,0.7693126631561611
1183,IRL,POL,0.012124406958355299,0.9536850789506008
190,BGD,ETH,0.008403361344537815,0.9125935836673695
712,CUB,IRL,0.007874015748031496,0.9334258393737921
1657,PER,VEN,0.007345225603357817,0.7837987602873682
1790,SVK,UKR,0.006289308176100629,0.7192693571747809
562,CHL,FRA,0.006289308176100629,0.7223386342848604
1709,POL,ZWE,0.005235602094240838,0.7346920224213348
1005,GBR,TZA,0.004709576138147566,0.6789296807516673
1513,MEX,POL,0.004709576138147566,0.879231852341644
913,ETH,SRB,0.004709576138147566,0.8691328807773802
1362,KEN,UGA,0.0036591740721380033,0.7909902430144189
1327,JPN,TUR,0.0036591740721380033,0.7915259116965576
948,FRA,NOR,0.0036591740721380033,0.6393486087526902
1742,SRB,SVK,0.003134796238244514,0.7851152880776283
1826,UKR,ZWE,0.0026109660574412533,0.6298816306998783
1809,TUR,TWN,0.0020876826722338203,0.7340481225218474
1828,UGA,ZWE,0.001564945226917058,0.6340741845086962
1720,PRT,TZA,0.001564945226917058,0.6219815006327813
