,c1,c2,jac,cos
345,BEL,MEX,0.17359413202933985,0.8835330282246184
2012,SRB,SVN,0.12941176470588237,0.8623310374619425
661,CHL,COL,0.12412177985948478,0.8862081265415984
1719,MEX,POL,0.12018669778296383,0.809762565601525
1222,GRC,POL,0.11888111888111888,0.8269413667925543
1894,PER,POL,0.10982658959537572,0.8213011781614535
1959,POL,SWE,0.09839816933638444,0.7957854743990527
1825,NLD,POL,0.09777015437392796,0.7792657902056715
1304,IDN,PAK,0.09215017064846416,0.874249926949722
986,EGY,MAR,0.0865874363327674,0.8781611575204552
1586,LBN,MAR,0.0847457627118644,0.871475524749484
2041,SWE,SVN,0.08229988726042842,0.7993618360964307
2111,TUR,UKR,0.07865168539325842,0.8913096801958552
1378,ISR,NLD,0.07563025210084033,0.7573573311010252
76,ARG,COL,0.07502799552071669,0.8559689995986663
1856,NOR,SVN,0.0738255033557047,0.7929614086765197
439,BRA,COL,0.07322526551145891,0.8596757860508095
1689,MAR,PAK,0.07023411371237458,0.8586169376757453
747,CHN,POL,0.06666666666666667,0.7745272000605947
1949,PAK,UKR,0.06548279689234185,0.8640636773345656
908,CZE,SVK,0.053208996160175534,0.8554428308849078
786,COL,LTU,0.052054794520547946,0.813236914942572
1058,ETH,UKR,0.05147864184008762,0.8480510197089476
1272,HUN,SVK,0.05090311986863711,0.8214550269000458
1637,LTU,SVK,0.05090311986863711,0.8252764176620488
1517,KEN,LTU,0.04918032786885246,0.8282650201626953
212,AUS,IDN,0.045182362547632006,0.8066727121123124
1793,NAM,ZWE,0.04404567699836868,0.840765344557386
391,BGR,HUN,0.04234527687296417,0.8189513347320375
34,ARE,MAR,0.041779706999457406,0.8322439538711923
932,DEU,JPN,0.04121475054229935,0.9021556503874469
129,AUT,AUS,0.04121475054229935,0.8503577845217091
2084,SVK,UKR,0.03896103896103896,0.823506051047606
284,BGD,MAR,0.03839913466738778,0.8235633801184984
1563,KOR,PAK,0.03839913466738778,0.8259996555141875
1668,LVA,SVK,0.03783783783783784,0.7885422701645302
839,CUB,MAR,0.03783783783783784,0.8265840623688088
1332,IRL,LTU,0.03727714748784441,0.8233835589787551
2003,ROU,UKR,0.03559870550161812,0.8364804030112271
2077,SVN,VNM,0.034482758620689655,0.7120812896647019
1757,MYS,THA,0.0328133405056482,0.7873461986332103
1480,JPN,KOR,0.0328133405056482,0.8442605915870764
2099,SEN,ZWE,0.0328133405056482,0.787506900612845
538,BWA,SEN,0.03170338527673294,0.802993089977663
2057,SGP,THA,0.029490616621983913,0.787738067341859
1460,ITA,PRT,0.029490616621983913,0.8600540201983383
1799,NGA,PAK,0.028938906752411574,0.7731999493712728
2138,UGA,ZWE,0.028387787895018748,0.8134196302860072
549,CAN,CHE,0.028387787895018748,0.879763272127437
2134,UKR,ZWE,0.027287319422150885,0.8092238509089177
1925,PHL,THA,0.027287319422150885,0.7822087508255705
617,CHE,HUN,0.021820117083555083,0.8112988592760331
2103,THA,UKR,0.01964949548592671,0.7813448062542091
1091,FRA,PRT,0.018027571580063628,0.8785339936038349
1114,GBR,IRL,0.01694915254237288,0.8050682150740306
1983,PRT,TUR,0.013192612137203167,0.793463917464379
2143,VEN,ZWE,0.011591148577449948,0.7220392954597017
2125,TZA,UGA,0.010526315789473684,0.8243141790648196
1159,GHA,ISR,0.008933263268523384,0.7036347941059571
2118,TWN,UKR,0.007345225603357817,0.8634583826445604
1881,NZL,SEN,0.007345225603357817,0.8015349907645152
1434,IND,TWN,0.006289308176100629,0.8368872230143767
2035,RUS,UGA,0.006289308176100629,0.7958994623798947
2144,VNM,ZWE,0.0041841004184100415,0.6355379824468415
2141,USA,ZWE,0.0036591740721380033,0.7612575628965802
