,c1,c2,jac,cos
0,ARE,ARG,0.00946372239747634,0.7984521206834172
1,ARE,AUT,0.003134796238244514,0.7743106540511049
2,ARE,AUS,0.003134796238244514,0.7100415277593655
3,ARE,BGD,0.009994739610731194,0.777635589827984
4,ARE,BEL,0.0010427528675703858,0.6305788567047858
5,ARE,BGR,0.0041841004184100415,0.7367322695344865
6,ARE,BRA,0.0026109660574412533,0.7446270654922487
7,ARE,BWA,0.010526315789473684,0.7777950304444872
8,ARE,CAN,0.0036591740721380033,0.7632456302756545
9,ARE,CHE,0.0026109660574412533,0.7830246580650172
10,ARE,CHL,0.003134796238244514,0.7549138911763361
11,ARE,CHN,0.0010427528675703858,0.6041160500745775
12,ARE,COL,0.003134796238244514,0.7359390560205584
13,ARE,CUB,0.005762179151388162,0.7788317953751649
14,ARE,CZE,0.004709576138147566,0.7648381711589157
15,ARE,DEU,0.005762179151388162,0.8300837546138836
16,ARE,EGY,0.02454642475987193,0.8486029937440346
17,ARE,ETH,0.03504043126684636,0.8565657145647434
18,ARE,FRA,0.0005211047420531526,0.779326729075493
19,ARE,GBR,0.0020876826722338203,0.7247644555827204
20,ARE,GHA,0.0026109660574412533,0.7720429130010089
21,ARE,GRC,0.0005211047420531526,0.6476549570510987
22,ARE,HUN,0.0041841004184100415,0.7554271876788888
23,ARE,IDN,0.0026109660574412533,0.7466234545748661
24,ARE,IRL,0.0020876826722338203,0.6754936051113821
25,ARE,ISR,0.0068169900367068695,0.6779735846405137
26,ARE,IND,0.0005211047420531526,0.741504176140926
27,ARE,ITA,0.004709576138147566,0.7810258150426821
28,ARE,JPN,0.0026109660574412533,0.8093129529557068
29,ARE,KEN,0.004709576138147566,0.7541018134571112
30,ARE,KOR,0.007874015748031496,0.7692174998070526
31,ARE,LBN,0.015873015873015872,0.7967720307732619
32,ARE,LTU,0.001564945226917058,0.70226651995389
33,ARE,LVA,0.005235602094240838,0.7559142454560474
34,ARE,MAR,0.025093432995194873,0.8125466676632334
35,ARE,MEX,0.0010427528675703858,0.6168388608743332
36,ARE,MYS,0.005235602094240838,0.7151970099310276
37,ARE,NAM,0.011591148577449948,0.8029160944780054
38,ARE,NGA,0.0036591740721380033,0.7296602624654751
39,ARE,NLD,0.0020876826722338203,0.6608826438314895
40,ARE,NOR,0.0020876826722338203,0.6277257730834712
