,c1,c2,jac,cos
0,ARE,ARG,0.03615758229897464,0.6921993136968423
1,ARE,AUT,0.004709576138147566,0.6443575636134767
2,ARE,AUS,0.001564945226917058,0.6482006505567772
3,ARE,BGD,0.01856763925729443,0.6346437836199663
4,ARE,BEL,0.020191285866099893,0.6234765556277654
5,ARE,BGR,0.003134796238244514,0.6286216254966462
6,ARE,BRA,0.0068169900367068695,0.6579798081235259
7,ARE,BWA,0.02564102564102564,0.6345327362726662
8,ARE,CAN,0.0026109660574412533,0.6062669337366495
9,ARE,CHE,0.004709576138147566,0.6697005839784561
10,ARE,CHL,0.028387787895018748,0.6525490353285458
11,ARE,CHN,0.031149301825993556,0.6573418450090942
12,ARE,COL,0.0026109660574412533,0.6019364237025842
13,ARE,CUB,0.024,0.6446548094674086
14,ARE,CZE,0.03336921420882669,0.6909419403574425
15,ARE,DEU,0.0010427528675703858,0.5983866063458184
16,ARE,EGY,0.03170338527673294,0.6741658057476732
17,ARE,ETH,0.001564945226917058,0.6413575140463548
18,ARE,FRA,0.001564945226917058,0.6715329007207315
19,ARE,GBR,0.17144600366076876,0.8136820727557252
20,ARE,GHA,0.024,0.6554180584963288
21,ARE,GRC,0.04689203925845147,0.710076437044622
22,ARE,HKG,0.014799154334038054,0.6143456475664327
23,ARE,HUN,0.028387787895018748,0.6439522042528836
24,ARE,IDN,0.001564945226917058,0.5870582166376893
25,ARE,IRL,0.0010427528675703858,0.587737945770159
26,ARE,ISR,0.021820117083555083,0.6427070287064898
27,ARE,IND,0.0328133405056482,0.6720478464001751
28,ARE,ITA,0.03225806451612903,0.6830755079660982
29,ARE,JPN,0.0036591740721380033,0.6326304253367602
30,ARE,KEN,0.030042918454935622,0.6529988896550301
31,ARE,KOR,0.0041841004184100415,0.6427427950860422
32,ARE,LBN,0.02073365231259968,0.6601307031749256
33,ARE,LTU,0.003134796238244514,0.5967516874148364
34,ARE,LVA,0.027837259100642397,0.6666204056981684
35,ARE,MAR,0.02290889717634523,0.6316447754157627
36,ARE,MEX,0.001564945226917058,0.6321167832837153
37,ARE,MYS,0.0328133405056482,0.6675821239030366
38,ARE,NAM,0.034482758620689655,0.6676733238485165
39,ARE,NGA,0.0020876826722338203,0.660118513502691
40,ARE,NLD,0.0041841004184100415,0.595394881640559
41,ARE,NOR,0.012658227848101266,0.7182940254863274
42,ARE,NZL,0.03504043126684636,0.6557284546870817
43,ARE,PER,0.021820117083555083,0.6406102007908343
44,ARE,PHL,0.023454157782515993,0.635334678580959
45,ARE,PAK,0.0020876826722338203,0.6722289451290703
46,ARE,POL,0.0010427528675703858,0.6045262570833697
47,ARE,PRT,0.0041841004184100415,0.6112786309706795
48,ARE,ROU,0.001564945226917058,0.6329324919610526
49,ARE,SRB,0.02127659574468085,0.6445315704306149
50,ARE,RUS,0.0036591740721380033,0.6868500094150821
51,ARE,SAU,0.01856763925729443,0.6444358161798032
52,ARE,SWE,0.0026109660574412533,0.6006431382699534
53,ARE,SGP,0.0010427528675703858,0.6654563061363609
54,ARE,SVN,0.0026109660574412533,0.6693567448648563
55,ARE,SVK,0.0020876826722338203,0.6427907493233685
56,ARE,SEN,0.001564945226917058,0.6203788056210907
57,ARE,THA,0.022364217252396165,0.6313998438139999
58,ARE,TUR,0.003134796238244514,0.6513400730903804
59,ARE,TWN,0.02073365231259968,0.6401695264668265
60,ARE,TZA,0.04404567699836868,0.6916486867861567
61,ARE,UKR,0.003134796238244514,0.6092272756916698
62,ARE,UGA,0.03170338527673294,0.6625999623793157
63,ARE,USA,0.1354228267297457,0.8053281924851746
64,ARE,VEN,0.003134796238244514,0.5673843367643847
65,ARE,VNM,0.001564945226917058,0.5662359608040578
66,ARE,ZAF,0.003134796238244514,0.662014380016231
67,ARE,ZWE,0.03170338527673294,0.6497796072180239
68,ARG,AUT,0.0010427528675703858,0.6065263459442284
69,ARG,AUS,0.0036591740721380033,0.6370662648248151
70,ARG,BGD,0.064891846921797,0.7340935938759556
71,ARG,BEL,0.04860731840524304,0.6939606976708774
72,ARG,BGR,0.0036591740721380033,0.584247952813217
73,ARG,BRA,0.0036591740721380033,0.5979757870159054
74,ARG,BWA,0.04404567699836868,0.6796880573314814
75,ARG,CAN,0.001564945226917058,0.5739650862429325
76,ARG,CHE,0.0036591740721380033,0.6170218315780234
77,ARG,CHL,0.09401709401709402,0.7672193047023712
78,ARG,CHN,0.048034934497816595,0.6973153640822142
79,ARG,COL,0.0005211047420531526,0.5603409640984927
80,ARG,CUB,0.056105610561056105,0.7182272799073918
81,ARG,CZE,0.09090909090909091,0.7849831393144581
82,ARG,DEU,0.003134796238244514,0.5909232900620272
83,ARG,EGY,0.1421772754312909,0.7977623497691139
84,ARG,ETH,0.0026109660574412533,0.6152504039817894
85,ARG,FRA,0.0005211047420531526,0.6372234349223097
86,ARG,GBR,0.04234527687296417,0.6848300890760093
87,ARG,GHA,0.06253458771444383,0.7336463884638489
88,ARG,GRC,0.06607440310938367,0.7447886976571836
89,ARG,HKG,0.04008667388949079,0.7089908121848794
90,ARG,HUN,0.07683679192372406,0.7347336364379421
91,ARG,IDN,0.001564945226917058,0.5722295333366176
92,ARG,IRL,0.0036591740721380033,0.5692530726392183
93,ARG,ISR,0.06844741235392321,0.7352666607822224
94,ARG,IND,0.08535895986433013,0.7607389469912043
95,ARG,ITA,0.07683679192372406,0.762672530831572
96,ARG,JPN,0.0026109660574412533,0.6013153764000131
97,ARG,KEN,0.06430155210643015,0.7179258545029668
98,ARG,KOR,0.0026109660574412533,0.6120018245342157
99,ARG,LBN,0.059018201875344733,0.7318080125815289
100,ARG,LTU,0.0020876826722338203,0.5781405883452883
101,ARG,LVA,0.07322526551145891,0.7539319567597538
102,ARG,MAR,0.056686846450192625,0.6999082937152027
103,ARG,MEX,0.0010427528675703858,0.6006905749844296
104,ARG,MYS,0.064891846921797,0.7354947515590886
105,ARG,NAM,0.07925801011804384,0.7522836846555869
106,ARG,NGA,0.0041841004184100415,0.6217045924429321
107,ARG,NLD,0.0041841004184100415,0.5533641929087841
108,ARG,NOR,0.0068169900367068695,0.6640841813320504
109,ARG,NZL,0.048034934497816595,0.6939008008896479
110,ARG,PER,0.061946902654867256,0.7321701218858515
111,ARG,PHL,0.041779706999457406,0.6967213568653623
112,ARG,PAK,0.001564945226917058,0.6399471190378959
113,ARG,POL,0.0020876826722338203,0.5724129058062029
114,ARG,PRT,0.0020876826722338203,0.5918534108340919
115,ARG,ROU,0.003134796238244514,0.6045681263615428
116,ARG,SRB,0.059602649006622516,0.7038604569499122
117,ARG,RUS,0.001564945226917058,0.6454557303194244
118,ARG,SAU,0.0020876826722338203,0.5579873835668241
119,ARG,SWE,0.0010427528675703858,0.5597732774670603
120,ARG,SGP,0.001564945226917058,0.663837513097553
121,ARG,SVN,0.005762179151388162,0.6284418476294483
122,ARG,SVK,0.0026109660574412533,0.5906039833808101
123,ARG,SEN,0.0026109660574412533,0.6205735042111092
124,ARG,THA,0.04918032786885246,0.7276926031771521
125,ARG,TUR,0.001564945226917058,0.6181326774069227
126,ARG,TWN,0.04746317512274959,0.7378882143461266
127,ARG,TZA,0.09277177006260671,0.7676238816278818
128,ARG,UKR,0.0041841004184100415,0.5670937571389365
