,c1,c2,jac,cos
0,ARE,ARG,0.014799154334038054,0.6696341386871683
1,ARE,AUT,0.001564945226917058,0.6450106949743946
2,ARE,AUS,0.0005211047420531526,0.6713856975010382
3,ARE,BGD,0.011591148577449948,0.6265329427204103
4,ARE,BEL,0.013192612137203167,0.6485605044792611
5,ARE,BGR,0.0026109660574412533,0.6915907884859533
6,ARE,BRA,0.0020876826722338203,0.6491071089400167
7,ARE,BWA,0.013192612137203167,0.6049239837495389
8,ARE,CAN,0.0005211047420531526,0.6493993282141338
9,ARE,CHE,0.001564945226917058,0.6471736950003109
10,ARE,CHL,0.011058451816745656,0.6475653823492531
11,ARE,CHN,0.011591148577449948,0.6397770228599088
12,ARE,COL,0.003134796238244514,0.6287161954514147
13,ARE,CUB,0.017488076311605722,0.6599462210855863
14,ARE,CZE,0.014263074484944533,0.6297361186158574
15,ARE,DEU,0.0010427528675703858,0.6439878957457755
16,ARE,EGY,0.02073365231259968,0.674099426531319
17,ARE,ETH,0.0020876826722338203,0.6376284489619339
18,ARE,FRA,0.0,0.6559276157151392
19,ARE,GBR,0.03615758229897464,0.7517990801629488
20,ARE,GHA,0.013192612137203167,0.6244676112930739
21,ARE,GRC,0.014263074484944533,0.6714052825343
22,ARE,HKG,0.007874015748031496,0.6246784611364046
23,ARE,HUN,0.013192612137203167,0.6573453408882818
24,ARE,IDN,0.004709576138147566,0.6847180779432886
25,ARE,IRL,0.0036591740721380033,0.6973591051122386
26,ARE,ISR,0.014263074484944533,0.6783770365081467
27,ARE,IND,0.02073365231259968,0.7022087165271841
28,ARE,ITA,0.015873015873015872,0.7007186935485835
29,ARE,JPN,0.005762179151388162,0.70464040916482
30,ARE,KEN,0.012124406958355299,0.6306076960817506
31,ARE,KOR,0.0026109660574412533,0.6598357199330493
32,ARE,LBN,0.015873015873015872,0.6467678463557406
33,ARE,LTU,0.003134796238244514,0.6671800999991417
34,ARE,LVA,0.014263074484944533,0.6473734553691503
35,ARE,MAR,0.014799154334038054,0.6348972644082945
36,ARE,MEX,0.0041841004184100415,0.647437477131768
37,ARE,MYS,0.014263074484944533,0.6406955776446397
38,ARE,NAM,0.014263074484944533,0.640653905179374
39,ARE,NGA,0.0026109660574412533,0.6775825223951737
40,ARE,NLD,0.003134796238244514,0.678486287228633
41,ARE,NOR,0.0020876826722338203,0.6472091739184558
42,ARE,NZL,0.012124406958355299,0.6514178827454375
43,ARE,PER,0.013192612137203167,0.6329516864838888
44,ARE,PHL,0.017488076311605722,0.6368490528757007
45,ARE,PAK,0.003134796238244514,0.6527510538581979
46,ARE,POL,0.0010427528675703858,0.6817298708305173
