,c1,c2,jac,cos
0,ARE,ARG,0.003134796238244514,0.7187864622942234
1,ARE,AUT,0.0,0.0
2,ARE,AUS,0.003134796238244514,0.8692344745622855
3,ARE,BGD,0.001564945226917058,0.8022939180457838
4,ARE,BEL,0.0036591740721380033,0.7566691855191876
5,ARE,BGR,0.0,0.0
6,ARE,BRA,0.0020876826722338203,0.789084645573358
7,ARE,BWA,0.005235602094240838,0.7285830974825613
8,ARE,CAN,0.0010427528675703858,0.7926017275558918
9,ARE,CHE,0.0,0.7498612641378922
10,ARE,CHL,0.005235602094240838,0.7091237667493021
11,ARE,CHN,0.0005211047420531526,0.7182020745557427
12,ARE,COL,0.005762179151388162,0.7272032542301302
13,ARE,CUB,0.0,0.0
14,ARE,CZE,0.001564945226917058,0.848907379609419
15,ARE,DEU,0.0026109660574412533,0.6897256329377476
16,ARE,EGY,0.0036591740721380033,0.8203842223423877
17,ARE,ETH,0.004709576138147566,0.7740497507714598
18,ARE,FRA,0.0036591740721380033,0.6904465230887472
19,ARE,GBR,0.0010427528675703858,0.8395596036417787
20,ARE,GHA,0.005235602094240838,0.6954656413873831
21,ARE,GRC,0.0020876826722338203,0.8252358212003453
22,ARE,HKG,0.0,0.0
23,ARE,HUN,0.004709576138147566,0.7108033931394341
24,ARE,IDN,0.003134796238244514,0.8056893677276958
25,ARE,IRL,0.0,0.0
26,ARE,ISR,0.0068169900367068695,0.724664615311804
27,ARE,IND,0.0041841004184100415,0.8465613076821604
28,ARE,ITA,0.0,0.0
29,ARE,JPN,0.0020876826722338203,0.7100784384334917
30,ARE,KEN,0.0005211047420531526,0.7817357502952849
31,ARE,KOR,0.0020876826722338203,0.7010831153972918
32,ARE,LBN,0.0010427528675703858,0.7838035920291861
33,ARE,LTU,0.0036591740721380033,0.7498692669658628
34,ARE,LVA,0.005762179151388162,0.7256930824473476
35,ARE,MAR,0.001564945226917058,0.8000247984676453
36,ARE,MEX,0.003134796238244514,0.6980050819883487
37,ARE,MYS,0.0,0.0
38,ARE,NAM,0.004709576138147566,0.7396578019279102
39,ARE,NGA,0.006289308176100629,0.8079158004389344
40,ARE,NLD,0.003134796238244514,0.7175848969049936
41,ARE,NOR,0.001564945226917058,0.8141001035160405
42,ARE,NZL,0.005235602094240838,0.8404631086143044
43,ARE,PER,0.0,0.0
44,ARE,PHL,0.006289308176100629,0.7213257373928326
45,ARE,PAK,0.0036591740721380033,0.8157193600895336
46,ARE,POL,0.0026109660574412533,0.7224163241114712
47,ARE,PRT,0.0,0.0
48,ARE,ROU,0.0041841004184100415,0.7225979035128117
49,ARE,SRB,0.0041841004184100415,0.7272800820730919
50,ARE,RUS,0.004709576138147566,0.7218480382202823
51,ARE,SAU,0.0026109660574412533,0.8783479753793216
52,ARE,SWE,0.0026109660574412533,0.8343237119707657
53,ARE,SGP,0.0020876826722338203,0.8378930922625463
54,ARE,SVN,0.004709576138147566,0.7055140916302618
55,ARE,SVK,0.004709576138147566,0.7231482834758913
56,ARE,SEN,0.004709576138147566,0.833409493907003
57,ARE,THA,0.003134796238244514,0.7089815032973914
58,ARE,TUR,0.0026109660574412533,0.8122366724676345
59,ARE,TWN,0.0041841004184100415,0.7394419257606873
60,ARE,TZA,0.001564945226917058,0.7715310523755917
61,ARE,UKR,0.0026109660574412533,0.7200225458134316
62,ARE,UGA,0.0010427528675703858,0.7923918903009199
63,ARE,USA,0.0036591740721380033,0.7274361485237193
64,ARE,VEN,0.005762179151388162,0.7054060697209464
65,ARE,VNM,0.0041841004184100415,0.7147109226146576
66,ARE,ZAF,0.0020876826722338203,0.803397386111835
67,ARE,ZWE,0.0005211047420531526,0.7411634347606638
68,ARG,AUT,0.0,0.0
69,ARG,AUS,0.0041841004184100415,0.6955745578097307
70,ARG,BGD,0.0026109660574412533,0.6178730297382646
71,ARG,BEL,0.0068169900367068695,0.6198887280588203
72,ARG,BGR,0.0,0.0
73,ARG,BRA,0.0026109660574412533,0.6606148528687759
74,ARG,BWA,0.12874779541446207,0.8403500867225765
75,ARG,CAN,0.0026109660574412533,0.6455528278776903
76,ARG,CHE,0.004709576138147566,0.6367813708046306
77,ARG,CHL,0.26398946675444374,0.919519955239727
78,ARG,CHN,0.0865874363327674,0.8072563832721315
79,ARG,COL,0.1566265060240964,0.8703380944792797
80,ARG,CUB,0.0,0.0
81,ARG,CZE,0.0005211047420531526,0.7019172815082649
82,ARG,DEU,0.17287721441661577,0.86433572252329
83,ARG,EGY,0.001564945226917058,0.6275758705347133
84,ARG,ETH,0.008933263268523384,0.6677910532860848
85,ARG,FRA,0.18811881188118812,0.8825457532387045
86,ARG,GBR,0.0036591740721380033,0.7071817311728507
87,ARG,GHA,0.0026109660574412533,0.5441794728572763
88,ARG,GRC,0.0036591740721380033,0.657095448161399
89,ARG,HKG,0.0,0.0
