,c1,c2,jac,cos
970,DEU,FRA,0.3852813852813853,0.9460879342202337
1142,FRA,NLD,0.33425990271021544,0.9281607225291584
546,BWA,NAM,0.32413793103448274,0.9577145458611626
2168,ROU,UKR,0.3168724279835391,0.9365058116811535
2203,RUS,UKR,0.3150684931506849,0.9367061006067232
1798,LVA,ROU,0.2972972972972973,0.9306486623843645
1926,NAM,SVN,0.29292929292929293,0.9422969860030047
2180,SRB,SVK,0.28859060402684567,0.926768884306144
1387,HUN,SVK,0.28859060402684567,0.9336603044022669
2273,SVK,UKR,0.2774451097804391,0.925730943544697
2116,POL,ROU,0.2749003984063745,0.9260845845884282
743,CHL,UKR,0.26816380449141347,0.9080677370283273
1606,JPN,KOR,0.26732673267326734,0.9232898284392471
1977,NLD,RUS,0.26649076517150394,0.9185084057155127
2298,THA,VNM,0.26649076517150394,0.9245765083396059
77,ARG,CHL,0.26398946675444374,0.919519955239727
1705,KOR,THA,0.2614980289093298,0.913426734406013
829,COL,MEX,0.2606697307944846,0.906262160660339
2255,SVN,SVK,0.2581913499344692,0.9257077506375793
2327,UKR,VEN,0.24271844660194175,0.897911841080595
2090,PHL,VNM,0.2395093608779858,0.9016911342099806
1519,ISR,UKR,0.22527121888959795,0.8995663614689742
2313,TWN,USA,0.22215149586250796,0.9074323098252194
797,CHN,TWN,0.22137404580152673,0.8963259795713906
1853,MEX,NLD,0.22059758423394787,0.8861948211860374
2337,USA,VNM,0.2,0.8784447744594185
2340,VEN,VNM,0.18518518518518517,0.8762821898199866
1113,ETH,TZA,0.0457516339869281,0.928496108339649
1674,KEN,UGA,0.03783783783783784,0.8543775865051592
586,CAN,GBR,0.025093432995194873,0.9353325933103264
677,CHE,SWE,0.011591148577449948,0.8237254267107534
1210,GBR,TZA,0.011591148577449948,0.8445390026135704
456,BRA,CAN,0.011058451816745656,0.868218119262073
1414,IDN,NGA,0.010526315789473684,0.8077409823666312
2332,UGA,VEN,0.009994739610731194,0.6889150598582097
1769,LTU,SWE,0.009994739610731194,0.8210300137234344
1055,EGY,SWE,0.008933263268523384,0.8351569477820598
1834,MAR,SWE,0.008403361344537815,0.8616970953511296
2027,NZL,SRB,0.008403361344537815,0.6991101761356173
1301,GRC,TUR,0.008403361344537815,0.7936451277087725
2285,SEN,UGA,0.007874015748031496,0.8556312960125501
2322,TZA,VNM,0.007874015748031496,0.6523794322146024
1716,LBN,LTU,0.007345225603357817,0.7415052511423448
2004,NOR,SAU,0.007345225603357817,0.8622124195023912
356,BEL,KOR,0.007345225603357817,0.6142743389460467
228,AUS,KEN,0.0068169900367068695,0.7785329910043526
1945,NGA,PAK,0.0068169900367068695,0.7572444646826385
1540,IND,NZL,0.0068169900367068695,0.814930477089179
924,CZE,IDN,0.0068169900367068695,0.8571536064300346
26,ARE,ISR,0.0068169900367068695,0.724664615311804
1259,GHA,UGA,0.006289308176100629,0.6953382336177463
2097,PAK,RUS,0.005762179151388162,0.6994404037746923
320,BGD,TUR,0.005762179151388162,0.7698462980763169
2247,SGP,TZA,0.005762179151388162,0.7589789331518366
2240,SWE,ZWE,0.005235602094240838,0.725707813126093
2221,SAU,USA,0.005235602094240838,0.7111511907228298
2305,TUR,USA,0.004709576138147566,0.7043169143726016
2345,ZAF,ZWE,0.0041841004184100415,0.685017965669039
2343,VNM,ZAF,0.003134796238244514,0.6953729387069153
2060,PER,TUR,0.0,0.0
198,AUT,VNM,0.0,0.0
864,CUB,ETH,0.0,0.0
2151,PRT,USA,0.0,0.0
1341,HKG,SGP,0.0,0.0
418,BGR,KOR,0.0,0.0
1604,ITA,ZWE,0.0,0.0
1452,IRL,MAR,0.0,0.0
1881,MYS,NAM,0.0,0.0
