,c1,c2,jac,cos
970,DEU,FRA,0.27405441274054415,0.9539850058207412
1707,KOR,TWN,0.24432922877511343,0.9445393840788667
797,CHN,TWN,0.24111182934712347,0.9500022869392313
1138,FRA,MEX,0.2182741116751269,0.9296739790013928
1973,NLD,POL,0.21518987341772153,0.9189465247017042
1863,MEX,RUS,0.20376175548589343,0.9250725234509498
2255,SVN,SVK,0.19850187265917604,0.894338519130151
1368,HUN,MEX,0.19477286869943994,0.9195821954542844
2205,RUS,USA,0.19254658385093168,0.9345146171750037
2313,TWN,USA,0.17863720073664824,0.9222023599536264
1634,JPN,TWN,0.17863720073664824,0.9244528602157775
739,CHL,THA,0.1678832116788321,0.8664913839710492
1508,ISR,RUS,0.1657559198542805,0.9196564561080628
2125,POL,THA,0.15732368896925858,0.8663875143358841
2161,ROU,SVN,0.14014251781472684,0.8650830926455991
77,ARG,CHL,0.13744075829383887,0.8266714044954132
2337,USA,VNM,0.12412177985948478,0.8834305721361719
2296,THA,USA,0.11822947000582411,0.8829843304012142
2269,SVK,THA,0.11239860950173812,0.8301051952792656
831,COL,NAM,0.09339407744874716,0.8359909717933737
2084,PHL,TWN,0.09339407744874716,0.8453950343091285
1799,LVA,SRB,0.0835214446952596,0.8309357515446196
2179,SRB,SVN,0.07502799552071669,0.7919821498319137
1918,NAM,POL,0.07023411371237458,0.7939342380939154
2326,UKR,USA,0.06904231625835189,0.8280364708433755
554,BWA,POL,0.06077348066298342,0.7770299407832438
2340,VEN,VNM,0.03615758229897464,0.7395066477203379
1674,KEN,UGA,0.03504043126684636,0.9022352838681476
1115,ETH,UGA,0.03170338527673294,0.8622878339520521
586,CAN,GBR,0.023454157782515993,0.9327653406905413
651,CHE,ISR,0.008933263268523384,0.6390729383681484
2039,NZL,UKR,0.005235602094240838,0.6358138617378123
1416,IDN,NOR,0.005235602094240838,0.7955403208973859
228,AUS,KEN,0.005235602094240838,0.8219530537740886
492,BRA,PHL,0.004709576138147566,0.49281784354285385
2005,NOR,SWE,0.004709576138147566,0.7701687999022012
1540,IND,NZL,0.004709576138147566,0.7862546527401627
2100,PAK,SGP,0.004709576138147566,0.7756277412628436
1038,EGY,MAR,0.0041841004184100415,0.5941564707458098
2305,TUR,USA,0.0041841004184100415,0.720355534945479
340,BEL,DEU,0.0041841004184100415,0.6149510634894306
1835,MAR,SGP,0.0041841004184100415,0.6777686589003574
283,BGD,GRC,0.0041841004184100415,0.8565889598865299
1967,NGA,ZWE,0.0041841004184100415,0.6991271233800286
2226,SWE,SGP,0.0041841004184100415,0.7332196353299681
2,ARE,AUS,0.0041841004184100415,0.898402690917363
2250,SGP,USA,0.0036591740721380033,0.6380585371300997
1733,LBN,RUS,0.0036591740721380033,0.550592949577698
2280,SEN,THA,0.0036591740721380033,0.7234863375303205
1752,LTU,MAR,0.0036591740721380033,0.6831009283842652
1179,GBR,JPN,0.0036591740721380033,0.7056007315193125
1236,GHA,NGA,0.0036591740721380033,0.6324873672784853
1297,GRC,SVN,0.003134796238244514,0.7310028317250635
919,CZE,GBR,0.003134796238244514,0.8404241469429394
2333,UGA,VNM,0.0026109660574412533,0.7196364556655009
2345,ZAF,ZWE,0.0026109660574412533,0.697296095715071
2344,VNM,ZWE,0.0020876826722338203,0.5860854718165248
2321,TZA,VEN,0.0,0.0
911,CUB,VEN,0.0,0.0
2046,PER,PHL,0.0,0.0
149,AUT,EGY,0.0,0.0
454,BGR,ZWE,0.0,0.0
2211,SAU,SGP,0.0,0.0
2136,PRT,ROU,0.0,0.0
1465,IRL,ROU,0.0,0.0
1353,HKG,VNM,0.0,0.0
1604,ITA,ZWE,0.0,0.0
1906,MYS,USA,0.0,0.0
