,c1,c2,jac,cos
129,AUT,AUS,0.34265734265734266,0.9720033712664417
2079,SVN,SVK,0.13744075829383887,0.911195303795085
646,CHE,SWE,0.1254396248534584,0.899214570612587
1993,ROU,RUS,0.11563044741429401,0.8534838817228076
569,CAN,KEN,0.10281447443997703,0.9113188614931799
391,BGR,HUN,0.07563025210084033,0.8523030020317235
1320,IDN,UKR,0.06312292358803986,0.8042200753807748
1446,ITA,LTU,0.05843439911797133,0.8659354772479817
1647,LTU,VNM,0.056105610561056105,0.8525420067304975
1583,KOR,ZAF,0.04860731840524304,0.780953153690861
446,BRA,GBR,0.048034934497816595,0.8225229631733494
767,COL,CUB,0.04065040650406504,0.7850176650170736
977,EGY,ISR,0.04065040650406504,0.8392385197558951
1235,GRC,TWN,0.04008667388949079,0.8196474530519784
2013,SRB,SVN,0.03896103896103896,0.8598421757800112
926,DEU,HUN,0.03839913466738778,0.8163821999770025
1482,JPN,LTU,0.03783783783783784,0.8587235910179284
1416,IND,NLD,0.03783783783783784,0.8040753918966876
1883,NZL,THA,0.03727714748784441,0.8038588457352565
1122,GBR,LTU,0.03615758229897464,0.839268079153657
124,ARG,UKR,0.03615758229897464,0.7750285038335976
1663,LVA,SRB,0.034482758620689655,0.8402865345369611
1930,PHL,UKR,0.03336921420882669,0.7723791318129651
2117,TUR,TWN,0.0328133405056482,0.7794834929947277
1158,GHA,IRL,0.03170338527673294,0.8392941369881604
25,ARE,ISR,0.031149301825993556,0.7964931424472448
346,BEL,MYS,0.031149301825993556,0.8260971002353305
1692,MAR,ROU,0.031149301825993556,0.7992374230178406
663,CHL,CZE,0.029490616621983913,0.8187783738310842
1836,NLD,THA,0.028938906752411574,0.7897336784108127
1333,IRL,LVA,0.028938906752411574,0.8337993729685961
1057,ETH,TWN,0.028387787895018748,0.7922692824000538
834,CUB,KEN,0.027837259100642397,0.8098159040393564
1984,PRT,TUR,0.027287319422150885,0.8054198038159814
750,CHN,SRB,0.02454642475987193,0.801097303034197
216,AUS,ITA,0.024,0.7745207309266982
1246,HUN,ITA,0.02290889717634523,0.8241623274176517
1097,FRA,SGP,0.021820117083555083,0.7810242872689214
1370,ISR,LBN,0.021820117083555083,0.8265944201762783
1850,NOR,PRT,0.01964949548592671,0.8070762282245559
2127,TWN,VEN,0.01964949548592671,0.7994069561438937
2092,SVK,TUR,0.01910828025477707,0.7670756200282677
1773,NAM,PAK,0.01910828025477707,0.7912328767438418
1895,PER,PRT,0.018027571580063628,0.7985663729139507
1962,POL,SVN,0.018027571580063628,0.8369200671231943
1538,KEN,SVN,0.018027571580063628,0.8269606646231309
1597,LBN,POL,0.017488076311605722,0.8088405929073055
1795,NGA,NOR,0.017488076311605722,0.8104073589554112
2115,THA,VNM,0.017488076311605722,0.7787070756786146
1936,PAK,PRT,0.015873015873015872,0.7845778481615927
2035,RUS,UKR,0.015873015873015872,0.8219449811168891
880,CZE,ISR,0.015335801163405606,0.8744433220647724
2069,SGP,SEN,0.015335801163405606,0.7908548381981431
1753,MYS,SWE,0.014799154334038054,0.7749339991161857
2133,TZA,VNM,0.012124406958355299,0.7499573481127325
1727,MEX,SVN,0.011591148577449948,0.788822576226572
2042,SAU,SVN,0.011058451816745656,0.813503432992298
542,BWA,TWN,0.009994739610731194,0.7681721271430804
2060,SWE,TWN,0.00946372239747634,0.7652588095967084
2142,VEN,VNM,0.008403361344537815,0.8146940965681893
2106,SEN,VEN,0.007874015748031496,0.8500836616796991
2136,UKR,VEN,0.007874015748031496,0.7600179042570825
272,BGD,HUN,0.005235602094240838,0.6260404385211631
2140,UGA,VNM,0.0041841004184100415,0.7576998371511109
2144,VNM,ZAF,0.0036591740721380033,0.7191426233315301
