,c1,c2,jac,cos
0,ARE,ARG,0.0068169900367068695,0.8015748077069385
1,ARE,AUT,0.001564945226917058,0.8104258053371256
2,ARE,AUS,0.0026109660574412533,0.7641750898805516
3,ARE,BGD,0.001564945226917058,0.6755086170694946
4,ARE,BEL,0.0020876826722338203,0.7806201801355348
5,ARE,BGR,0.0026109660574412533,0.7959556760519345
6,ARE,BRA,0.0036591740721380033,0.7902571324239828
7,ARE,BWA,0.0005211047420531526,0.7800435013568938
8,ARE,CAN,0.0036591740721380033,0.8346253812747787
9,ARE,CHE,0.005235602094240838,0.7909768379516312
10,ARE,CHL,0.0010427528675703858,0.7510279756047318
11,ARE,CHN,0.006289308176100629,0.8316818465113968
12,ARE,COL,0.0020876826722338203,0.7707844652662935
13,ARE,CUB,0.0005211047420531526,0.7838307149265821
14,ARE,CZE,0.0005211047420531526,0.8161604504935951
15,ARE,DEU,0.001564945226917058,0.8171231765411198
16,ARE,EGY,0.008933263268523384,0.8205286412051703
17,ARE,ETH,0.007345225603357817,0.8152765152536442
18,ARE,FRA,0.0020876826722338203,0.8236194533435947
19,ARE,GBR,0.0036591740721380033,0.8491661547082632
20,ARE,GHA,0.0020876826722338203,0.7634755272592579
21,ARE,GRC,0.0020876826722338203,0.8219114890139746
22,ARE,HUN,0.001564945226917058,0.7878922142050614
23,ARE,IDN,0.007874015748031496,0.8061267334696425
24,ARE,IRL,0.003134796238244514,0.7931113787221482
25,ARE,ISR,0.008933263268523384,0.8810903101492404
26,ARE,IND,0.0068169900367068695,0.851113504661177
27,ARE,ITA,0.003134796238244514,0.8042494414214457
28,ARE,JPN,0.008403361344537815,0.8457046467205566
29,ARE,KEN,0.0010427528675703858,0.7804948815555887
30,ARE,KOR,0.0041841004184100415,0.8002749137786211
31,ARE,LBN,0.011058451816745656,0.8244126768964756
32,ARE,LTU,0.0041841004184100415,0.7615028143884637
33,ARE,LVA,0.0020876826722338203,0.799501272210601
34,ARE,MAR,0.007874015748031496,0.8391564672063295
35,ARE,MEX,0.0036591740721380033,0.8008938664040391
36,ARE,MYS,0.0020876826722338203,0.7647023584272754
37,ARE,NAM,0.004709576138147566,0.7735424554759259
38,ARE,NGA,0.003134796238244514,0.7741058479700154
39,ARE,NLD,0.0026109660574412533,0.8151455888117928
40,ARE,NOR,0.001564945226917058,0.741565659489371
41,ARE,NZL,0.005235602094240838,0.7722662075019222
42,ARE,PER,0.0005211047420531526,0.7841350232828733
43,ARE,PHL,0.0005211047420531526,0.7843173473984458
44,ARE,PAK,0.0041841004184100415,0.7951879152138623
45,ARE,POL,0.003134796238244514,0.7945187071286303
46,ARE,PRT,0.003134796238244514,0.7823608734968032
47,ARE,ROU,0.0020876826722338203,0.7893914844062293
48,ARE,SRB,0.0036591740721380033,0.764804586285386
49,ARE,RUS,0.0036591740721380033,0.8498780223453228
50,ARE,SAU,0.00946372239747634,0.8392871531144223
51,ARE,SWE,0.003134796238244514,0.803659672743119
52,ARE,SGP,0.0026109660574412533,0.7765574131472777
53,ARE,SVN,0.003134796238244514,0.7672264408581945
54,ARE,SVK,0.0010427528675703858,0.7432134959583716
55,ARE,SEN,0.0020876826722338203,0.7931288691400996
56,ARE,THA,0.004709576138147566,0.8364479161858966
57,ARE,TUR,0.011058451816745656,0.8417331270232418
58,ARE,TWN,0.003134796238244514,0.7731557281025654
59,ARE,TZA,0.0020876826722338203,0.789167544661475
60,ARE,UKR,0.004709576138147566,0.842389997706691
61,ARE,UGA,0.0036591740721380033,0.8113765670326566
62,ARE,VEN,0.0041841004184100415,0.7869561491890336
63,ARE,VNM,0.001564945226917058,0.7719854406553522
64,ARE,ZAF,0.006289308176100629,0.8238919918648133
65,ARG,AUT,0.0068169900367068695,0.8081585127478282
66,ARG,AUS,0.014799154334038054,0.8073201374624009
67,ARG,BGD,0.004709576138147566,0.6588181429467281
68,ARG,BEL,0.008403361344537815,0.7877400410597938
69,ARG,BGR,0.0367170626349892,0.8534836923185886
70,ARG,BRA,0.04632152588555858,0.8483675207778503
71,ARG,BWA,0.0020876826722338203,0.702576417278286
72,ARG,CAN,0.015335801163405606,0.861697475909623
73,ARG,CHE,0.01641079936474325,0.8046694542345395
74,ARG,CHL,0.004709576138147566,0.7358825204038943
75,ARG,CHN,0.0026109660574412533,0.7448524204748039
76,ARG,COL,0.022364217252396165,0.8395890528225805
77,ARG,CUB,0.005762179151388162,0.8325903508482482
78,ARG,CZE,0.0020876826722338203,0.7928795268651988
79,ARG,DEU,0.008933263268523384,0.8376890310272648
80,ARG,EGY,0.004709576138147566,0.741127509936304
81,ARG,ETH,0.0020876826722338203,0.734846844680681
82,ARG,FRA,0.023454157782515993,0.8712204756712367
83,ARG,GBR,0.001564945226917058,0.7576413298803392
84,ARG,GHA,0.02454642475987193,0.8298326721169635
85,ARG,GRC,0.0068169900367068695,0.8428006323982629
86,ARG,HUN,0.023454157782515993,0.8454481881833688
87,ARG,IDN,0.018027571580063628,0.8202400224786043
88,ARG,IRL,0.02073365231259968,0.859979147104729
89,ARG,ISR,0.014263074484944533,0.864901456621346
90,ARG,IND,0.0026109660574412533,0.7487820049085924
91,ARG,ITA,0.033925686591276254,0.8675881629184397
92,ARG,JPN,0.012658227848101266,0.840028156083819
93,ARG,KEN,0.0036591740721380033,0.8158347112088496
94,ARG,KOR,0.008933263268523384,0.8134534761478627
95,ARG,LBN,0.003134796238244514,0.7263008094797089
96,ARG,LTU,0.007874015748031496,0.7647809214917982
97,ARG,LVA,0.013727560718057022,0.8121374619319485
98,ARG,MAR,0.004709576138147566,0.7684590444904693
99,ARG,MEX,0.03504043126684636,0.8603684268286997
100,ARG,MYS,0.0010427528675703858,0.690317971218053
101,ARG,NAM,0.0020876826722338203,0.7240980173767037
102,ARG,NGA,0.008933263268523384,0.8013015781056342
103,ARG,NLD,0.006289308176100629,0.8030095252029857
104,ARG,NOR,0.007345225603357817,0.7890792441474098
105,ARG,NZL,0.003134796238244514,0.7363976533387574
106,ARG,PER,0.0026109660574412533,0.7815939213184917
107,ARG,PHL,0.007874015748031496,0.8161412373622419
108,ARG,PAK,0.011058451816745656,0.7887338816044722
109,ARG,POL,0.02073365231259968,0.8596897167876559
110,ARG,PRT,0.028387787895018748,0.8501360279112239
111,ARG,ROU,0.017488076311605722,0.7988926725299554
112,ARG,SRB,0.01964949548592671,0.8134789405873725
113,ARG,RUS,0.008403361344537815,0.8292254900461845
114,ARG,SAU,0.0005211047420531526,0.7158654871403313
115,ARG,SWE,0.013192612137203167,0.8272298832340618
116,ARG,SGP,0.003134796238244514,0.7492058556291107
117,ARG,SVN,0.020191285866099893,0.8194272260295685
118,ARG,SVK,0.014799154334038054,0.7898060823509296
119,ARG,SEN,0.008933263268523384,0.8353238851648971
120,ARG,THA,0.005235602094240838,0.7944821735354082
121,ARG,TUR,0.00946372239747634,0.7900280635004319
122,ARG,TWN,0.001564945226917058,0.7042318989148734
123,ARG,TZA,0.009994739610731194,0.8089016134608438
124,ARG,UKR,0.008933263268523384,0.7740602787339885
125,ARG,UGA,0.011058451816745656,0.7972619620013266
126,ARG,VEN,0.021820117083555083,0.8238493127537383
127,ARG,VNM,0.0068169900367068695,0.760445185448875
128,ARG,ZAF,0.009994739610731194,0.842069262648434
129,AUT,AUS,0.13676731793960922,0.9198583444197194
130,AUT,BGD,0.004709576138147566,0.6593635586131168
131,AUT,BEL,0.011591148577449948,0.8003637652095433
132,AUT,BGR,0.013192612137203167,0.8284516554529217
133,AUT,BRA,0.007874015748031496,0.7817624542324028
134,AUT,BWA,0.0010427528675703858,0.7930496025011909
135,AUT,CAN,0.005235602094240838,0.8217556676880099
136,AUT,CHE,0.012658227848101266,0.8037905911543531
137,AUT,CHL,0.001564945226917058,0.7424999451283201
138,AUT,CHN,0.004709576138147566,0.7700902423716278
139,AUT,COL,0.0041841004184100415,0.796531394367884
