,c1,c2,jac,cos
2079,SVN,SVK,0.19477286869943994,0.9435784459857266
129,AUT,AUS,0.13676731793960922,0.9198583444197194
663,CHL,CZE,0.12412177985948478,0.921282871785225
414,BGR,POL,0.06371191135734072,0.9184702563688432
1264,HUN,POL,0.06077348066298342,0.9141388437621912
1583,KOR,ZAF,0.056105610561056105,0.8827287837225681
1072,FRA,ITA,0.053208996160175534,0.9089151510933154
922,DEU,FRA,0.04860731840524304,0.9068076528395221
70,ARG,BRA,0.04632152588555858,0.8483675207778503
445,BRA,FRA,0.043478260869565216,0.8676723447707583
983,EGY,LBN,0.042911461162411735,0.8370769444080816
1459,ITA,POL,0.041779706999457406,0.8974374770736508
834,CUB,KEN,0.03896103896103896,0.8855033016507498
2013,SRB,SVN,0.03896103896103896,0.8612061425422889
1348,IRL,SRB,0.03839913466738778,0.8586894507402503
1960,POL,SWE,0.03839913466738778,0.8947309543701238
1495,JPN,POL,0.03783783783783784,0.8914390745207381
728,CHN,IND,0.03727714748784441,0.8766301445464519
2035,RUS,UKR,0.03559870550161812,0.9222840118650484
1663,LVA,SRB,0.034482758620689655,0.8433957363289388
646,CHE,SWE,0.0328133405056482,0.8458128519348345
1205,GRC,JPN,0.030595813204508857,0.8861979639574328
1384,ISR,POL,0.030042918454935622,0.9122370958105326
585,CAN,POL,0.028938906752411574,0.882969351131578
1736,MEX,VEN,0.026737967914438502,0.8442791761298746
1855,NOR,SWE,0.026189203634420097,0.8167643745056523
1629,LTU,POL,0.02564102564102564,0.826638786608614
1978,PRT,SWE,0.02454642475987193,0.8535582219902758
1182,GHA,SRB,0.023454157782515993,0.8104601396220804
315,BEL,BGR,0.023454157782515993,0.845000110923062
230,AUS,NZL,0.02290889717634523,0.7899806109089321
1602,LBN,SAU,0.02290889717634523,0.8050240060210669
1405,IND,JPN,0.022364217252396165,0.856644945551264
789,COL,MEX,0.022364217252396165,0.8409082732569023
2117,TUR,TWN,0.022364217252396165,0.814778016677839
1992,ROU,SRB,0.020191285866099893,0.7917078126617371
1116,GBR,IND,0.020191285866099893,0.864049021828155
1033,ETH,MAR,0.01964949548592671,0.8180320974583474
1817,NGA,VEN,0.018027571580063628,0.8183315064416234
1891,NZL,ZAF,0.018027571580063628,0.8327508008269567
2046,SAU,TUR,0.01694915254237288,0.8021413473972966
2141,UGA,ZAF,0.01641079936474325,0.8427339694433669
1831,NLD,SWE,0.015873015873015872,0.8234191489164745
1695,MAR,SAU,0.014263074484944533,0.8009766713259948
1761,MYS,TZA,0.014263074484944533,0.7802996661184082
1322,IDN,VEN,0.013727560718057022,0.8026777825607627
1947,PAK,TUR,0.013192612137203167,0.8100029604329212
2109,THA,TUR,0.012124406958355299,0.8288474909766705
2132,TZA,VEN,0.011591148577449948,0.8124052354498946
2058,SWE,THA,0.011058451816745656,0.8138603747033175
57,ARE,TUR,0.011058451816745656,0.8417331270232418
2142,VEN,VNM,0.011058451816745656,0.7741960466743812
2124,TWN,TZA,0.00946372239747634,0.787167861894138
879,CZE,IRL,0.00946372239747634,0.837315471185562
2097,SVK,VEN,0.008403361344537815,0.7603094556846098
1785,NAM,THA,0.008403361344537815,0.7945725642778746
283,BGD,LVA,0.008403361344537815,0.6643126401009919
1932,PHL,VEN,0.008403361344537815,0.8178090717721195
2070,SGP,THA,0.007874015748031496,0.7919198017132182
1536,KEN,SWE,0.005762179151388162,0.8275485415371358
2144,VNM,ZAF,0.005762179151388162,0.7970983793238905
2138,UKR,ZAF,0.005235602094240838,0.7963049164272261
2103,SEN,TZA,0.004709576138147566,0.8151555701095324
546,BWA,VEN,0.004709576138147566,0.7101246248094096
1892,PER,PHL,0.004709576138147566,0.7905600736080539
