,c1,c2,jac,cos
0,ARE,ARG,0.014263074484944533,0.7529985422605617
1,ARE,AUT,0.00946372239747634,0.7277643599979708
2,ARE,AUS,0.0026109660574412533,0.6891979501725656
3,ARE,BGD,0.010526315789473684,0.7748742423840033
4,ARE,BEL,0.004709576138147566,0.7754755363270099
5,ARE,BGR,0.0041841004184100415,0.7190530713034263
6,ARE,BRA,0.00946372239747634,0.7706778709940267
7,ARE,BWA,0.004709576138147566,0.6447718896465686
8,ARE,CAN,0.003134796238244514,0.7854518792324863
9,ARE,CHE,0.005235602094240838,0.745912199065705
10,ARE,CHL,0.001564945226917058,0.6913406695174683
11,ARE,CHN,0.004709576138147566,0.7859187529870219
12,ARE,COL,0.013192612137203167,0.7444083785609217
13,ARE,CUB,0.012124406958355299,0.776717424267887
14,ARE,CZE,0.0026109660574412533,0.7752357328333823
15,ARE,DEU,0.006289308176100629,0.8037026082496972
16,ARE,EGY,0.009994739610731194,0.7418012967494595
17,ARE,ETH,0.014799154334038054,0.7654699879168732
18,ARE,FRA,0.004709576138147566,0.7903291367606553
19,ARE,GHA,0.0036591740721380033,0.7300757277586458
20,ARE,GRC,0.004709576138147566,0.7354275256534083
21,ARE,HUN,0.0036591740721380033,0.7350235886266332
22,ARE,IDN,0.00946372239747634,0.7881509352460218
23,ARE,IRL,0.008933263268523384,0.7955625625293438
24,ARE,ISR,0.008933263268523384,0.7508658170063756
25,ARE,IND,0.007874015748031496,0.8151164722625341
26,ARE,ITA,0.0026109660574412533,0.7814665247693928
27,ARE,JPN,0.001564945226917058,0.71647843185343
28,ARE,KEN,0.0068169900367068695,0.7538134726029911
29,ARE,KOR,0.014799154334038054,0.7979124992647056
30,ARE,LBN,0.011058451816745656,0.7642711340199004
31,ARE,LTU,0.010526315789473684,0.720212049044206
32,ARE,LVA,0.004709576138147566,0.7149471541818324
33,ARE,MAR,0.0036591740721380033,0.7233683209369612
34,ARE,MEX,0.007345225603357817,0.7987711733824261
35,ARE,MYS,0.012124406958355299,0.8237448197209986
36,ARE,NAM,0.0041841004184100415,0.7028096224836666
37,ARE,NGA,0.007345225603357817,0.7534909117510695
38,ARE,NLD,0.004709576138147566,0.7334381055051575
39,ARE,NOR,0.005762179151388162,0.7545360356122669
40,ARE,NZL,0.0020876826722338203,0.734601856055495
41,ARE,PER,0.012658227848101266,0.7498622540648595
42,ARE,PHL,0.006289308176100629,0.7774218645616499
43,ARE,PAK,0.004709576138147566,0.7902803133111825
44,ARE,POL,0.007345225603357817,0.7389866046244665
45,ARE,PRT,0.0041841004184100415,0.721205444506349
