,c1,c2,jac,cos
2068,RUS,UKR,0.20451693851944794,0.9586089178902326
1579,KOR,ZAF,0.1314083677077195,0.8876381598408011
771,CHN,TWN,0.119533527696793,0.9430981034370431
256,AUS,ZAF,0.11757857974388825,0.9193581408131707
359,BEL,POL,0.08967082860385925,0.9068774163657678
1909,NZL,ZAF,0.0738255033557047,0.8551158437847366
1090,FRA,ITA,0.07202680067001675,0.9131362476871872
1277,IDN,MYS,0.06904231625835189,0.9022009282288037
1981,POL,ROU,0.06725958866036687,0.8696947368732633
1438,ITA,MEX,0.06725958866036687,0.9052247437648782
2120,SVN,SVK,0.06371191135734072,0.8756598463126412
173,AUT,POL,0.06077348066298342,0.8429871761404579
61,ARE,USA,0.059602649006622516,0.8706001560973817
1728,MEX,RUS,0.05785123966942149,0.8937207479416175
946,DEU,ITA,0.056686846450192625,0.9145460629562213
297,BGD,PAK,0.054945054945054944,0.8988978818713363
1761,MYS,SGP,0.054365733113673806,0.9163270409420488
2042,SRB,SWE,0.05378704720087816,0.8523424697618279
1841,NLD,SRB,0.053208996160175534,0.8373493401753964
2021,ROU,SRB,0.04975396391470749,0.8712233811437147
1324,IRL,NZL,0.04918032786885246,0.8546581085419476
1630,LTU,ROU,0.04860731840524304,0.8714485436186199
1978,PAK,ZAF,0.048034934497816595,0.8840143207821933
2078,SAU,SVK,0.04689203925845147,0.8245582802859395
914,CZE,POL,0.04689203925845147,0.8705089964304943
71,ARG,BRA,0.04404567699836868,0.845546766383642
2180,TWN,VNM,0.042911461162411735,0.8129000507407605
1471,JPN,KOR,0.041779706999457406,0.888091595750318
798,COL,LTU,0.041779706999457406,0.8168068628544201
1408,IND,PAK,0.04121475054229935,0.9178544967319655
1581,LBN,LTU,0.04008667388949079,0.8249168552096754
1243,HUN,POL,0.03896103896103896,0.835435796176465
1870,NOR,SWE,0.03896103896103896,0.8331559053247559
2138,SVK,UKR,0.03839913466738778,0.8343319695106639
1523,KEN,POL,0.03839913466738778,0.8168519241971746
497,BRA,VNM,0.03783783783783784,0.8179251498588548
1048,ETH,LTU,0.03336921420882669,0.8136581158907842
1932,PER,VNM,0.03225806451612903,0.7951559966510668
600,CAN,SGP,0.030595813204508857,0.8915783336853766
2117,SGP,VNM,0.030042918454935622,0.8525691304035353
865,CUB,ROU,0.028938906752411574,0.8449978727239286
2172,TUR,VNM,0.028938906752411574,0.8377039739906506
999,EGY,LBN,0.027837259100642397,0.7934235597257072
1205,GRC,SWE,0.027837259100642397,0.8269175550165332
715,CHL,THA,0.026737967914438502,0.8042849123464605
1355,ISR,LBN,0.026189203634420097,0.797720218114543
422,BGR,SRB,0.02564102564102564,0.8030882668782865
2152,SEN,VEN,0.025093432995194873,0.8028574951190177
521,BWA,KOR,0.024,0.7955278869469763
2018,PRT,VNM,0.023454157782515993,0.7713083503866491
1663,LVA,ROU,0.023454157782515993,0.8382517627319067
1947,PHL,THA,0.02290889717634523,0.8245497985210738
2093,SWE,SVK,0.022364217252396165,0.7869289678988538
2208,VNM,ZAF,0.02127659574468085,0.7966414853796521
2160,THA,UGA,0.02127659574468085,0.7938204576984936
2191,UKR,USA,0.02127659574468085,0.8130709206912587
2210,ZAF,ZWE,0.02127659574468085,0.8127892838218419
655,CHE,SWE,0.01910828025477707,0.7904275969607538
1806,NGA,NOR,0.01910828025477707,0.8201970537206391
2207,VEN,ZWE,0.01856763925729443,0.7678970375675596
2199,UGA,ZAF,0.01856763925729443,0.8069983336815866
1714,MAR,ZWE,0.01641079936474325,0.7792158249733869
1146,GHA,NAM,0.015873015873015872,0.7883885747711137
2201,USA,VEN,0.012658227848101266,0.7914713877309084
1797,NAM,TZA,0.010526315789473684,0.6811705948243113
2184,TZA,UGA,0.005235602094240838,0.6882896365229918
