,c1,c2,jac,cos
131,AUT,AUS,0.2516297262059974,0.9564224988360827
61,ARE,USA,0.12742219612448621,0.8971442630366951
2120,SVN,SVK,0.119533527696793,0.8965778149784107
2068,RUS,UKR,0.08535895986433013,0.9398276212555874
655,CHE,SWE,0.07142857142857142,0.7837261425050582
556,BWA,ZAF,0.055525013743815285,0.8752452932250157
771,CHN,TWN,0.05147864184008762,0.8972174287876924
1579,KOR,ZAF,0.04975396391470749,0.7370065842724303
1324,IRL,NZL,0.04746317512274959,0.79395920239122
1834,NLD,NZL,0.04689203925845147,0.8100838506939647
1990,POL,THA,0.03783783783783784,0.774579479894111
1277,IDN,MYS,0.03727714748784441,0.7739655652281021
1630,LTU,ROU,0.0367170626349892,0.754223765752019
1048,ETH,LTU,0.031149301825993556,0.7939875987794573
1900,NZL,THA,0.029490616621983913,0.758858203668307
1824,NGA,TWN,0.024,0.7013443421702057
2026,ROU,SVN,0.023454157782515993,0.731766647173185
232,AUS,NZL,0.022364217252396165,0.7487328213352943
1499,JPN,TWN,0.022364217252396165,0.7218343414057136
1786,NAM,SRB,0.02127659574468085,0.6772806210845288
968,DEU,RUS,0.02127659574468085,0.7472053786060998
1380,ISR,THA,0.02073365231259968,0.6902590500796822
814,COL,SRB,0.020191285866099893,0.7177223570610511
577,CAN,KEN,0.01910828025477707,0.7362184631830394
671,CHL,CHN,0.018027571580063628,0.7378545753791103
2180,TWN,VNM,0.015335801163405606,0.733655893522957
1762,MYS,SVN,0.014799154334038054,0.7212474692672274
114,ARG,SAU,0.014799154334038054,0.6731442922067348
1225,HUN,ITA,0.014799154334038054,0.7272557488858248
259,BGD,BGR,0.014799154334038054,0.7376001050992893
1112,FRA,RUS,0.014263074484944533,0.7267319596703353
2042,SRB,SWE,0.013727560718057022,0.6943324913583009
1683,MAR,MEX,0.013727560718057022,0.723732056189744
1721,MEX,PER,0.013727560718057022,0.6874773530998473
1917,PER,RUS,0.013192612137203167,0.7204415021190894
359,BEL,POL,0.013192612137203167,0.7198028489663362
1435,ITA,LTU,0.013192612137203167,0.729115157087166
2166,TUR,TWN,0.012658227848101266,0.6862418036856281
2160,THA,UGA,0.012658227848101266,0.6957111035236939
2152,SEN,VEN,0.012124406958355299,0.690513236030991
1581,LBN,LTU,0.011591148577449948,0.6935058431415996
2205,VEN,VNM,0.011058451816745656,0.7229497332171619
1541,KEN,VEN,0.010526315789473684,0.7247213461669728
435,BGR,UGA,0.010526315789473684,0.7114826418506609
1669,LVA,SVN,0.010526315789473684,0.7531713197870588
878,CUB,UKR,0.00946372239747634,0.7013170977659127
2092,SWE,SVN,0.00946372239747634,0.7060513921195362
2138,SVK,UKR,0.00946372239747634,0.7686468131311947
2006,PRT,SGP,0.00946372239747634,0.6621669421525329
993,EGY,ISR,0.008933263268523384,0.6931706344013601
1866,NOR,ROU,0.008403361344537815,0.5961912454047168
931,CZE,USA,0.008403361344537815,0.6832283032128404
1193,GRC,NLD,0.007874015748031496,0.7479972605683216
484,BRA,SWE,0.007345225603357817,0.6568915299579152
2202,USA,VNM,0.007345225603357817,0.7110567961861863
2106,SGP,SVN,0.007345225603357817,0.6633648200093867
1408,IND,PAK,0.007345225603357817,0.7417938083276543
2083,SAU,TZA,0.0068169900367068695,0.5786695991675658
2197,UGA,VEN,0.006289308176100629,0.694376351147199
2210,ZAF,ZWE,0.006289308176100629,0.6178240804447127
1977,PAK,VNM,0.005762179151388162,0.6476422070266514
2191,UKR,USA,0.005762179151388162,0.7463950169395873
1140,GHA,LBN,0.005235602094240838,0.7195223077307492
1953,PHL,USA,0.005235602094240838,0.6985070759359996
2209,VNM,ZWE,0.004709576138147566,0.6452864204714635
2186,TZA,VEN,0.004709576138147566,0.6246913438341558
