,c1,c2,jac,cos
2203,RUS,UKR,0.2946729602157788,0.9665049386868086
1634,JPN,TWN,0.1545399879735418,0.9253050499528921
1662,KEN,RUS,0.12609970674486803,0.8629822623979612
2311,TWN,UKR,0.10726643598615918,0.8813906051170518
1488,ISR,KEN,0.09902690326273612,0.8402991013321766
1707,KOR,TWN,0.06844741235392321,0.8124957337396275
538,BWA,KEN,0.053208996160175534,0.7773716640521728
2327,UKR,VEN,0.01856763925729443,0.7463910244873221
1007,DEU,SVK,0.013727560718057022,0.7905856097623357
723,CHL,NOR,0.00946372239747634,0.6995329428636338
1461,IRL,PHL,0.00946372239747634,0.764069065868979
1268,GRC,IRL,0.007345225603357817,0.7908272649198281
2307,TUR,VNM,0.0068169900367068695,0.8498786677869962
1373,HUN,NOR,0.0068169900367068695,0.7968630185455837
2123,POL,SVK,0.005762179151388162,0.5959460199514754
1878,MEX,VNM,0.005762179151388162,0.7714892073093629
2004,NOR,SAU,0.004709576138147566,0.7804652568185355
1986,NLD,TWN,0.004709576138147566,0.6142871759538453
2075,PHL,RUS,0.0041841004184100415,0.6708913972752139
217,AUS,GBR,0.0041841004184100415,0.7542607897916157
156,AUT,HUN,0.0041841004184100415,0.7267484293423955
2252,SGP,VNM,0.0041841004184100415,0.6378199927805663
622,CAN,SVK,0.0041841004184100415,0.49018194135328297
2105,PAK,TUR,0.0041841004184100415,0.7677126810241918
503,BRA,SVK,0.0036591740721380033,0.5998415294537117
2343,VNM,ZAF,0.003134796238244514,0.7314526493859093
2267,SVN,ZWE,0.003134796238244514,0.693854991099984
1208,GBR,TUR,0.003134796238244514,0.8137264648742348
2340,VEN,VNM,0.0026109660574412533,0.6313084771956
2275,SVK,USA,0.0020876826722338203,0.6969472997376975
2216,SAU,TUR,0.0020876826722338203,0.7981017031216024
2339,USA,ZWE,0.001564945226917058,0.6893625853256744
2345,ZAF,ZWE,0.001564945226917058,0.6113129532658749
128,ARG,UKR,0.0,0.0
340,BEL,DEU,0.0,0.0
1782,LTU,VNM,0.0,0.0
1809,LVA,TWN,0.0,0.0
1724,LBN,NOR,0.0,0.0
1572,ITA,MAR,0.0,0.0
1404,IDN,JPN,0.0,0.0
1545,IND,PRT,0.0,0.0
2159,ROU,SWE,0.0,0.0
2144,PRT,SEN,0.0,0.0
2175,SRB,RUS,0.0,0.0
42,ARE,NZL,0.0,0.0
2065,PER,USA,0.0,0.0
2299,THA,ZAF,0.0,0.0
2290,SEN,ZWE,0.0,0.0
2335,UGA,ZWE,0.0,0.0
2324,TZA,ZWE,0.0,0.0
2239,SWE,ZAF,0.0,0.0
1896,MYS,SGP,0.0,0.0
1911,NAM,NGA,0.0,0.0
1827,MAR,PAK,0.0,0.0
1940,NGA,NLD,0.0,0.0
2021,NZL,PER,0.0,0.0
1343,HKG,SVK,0.0,0.0
284,BGD,HKG,0.0,0.0
692,CHE,ZWE,0.0,0.0
816,COL,HUN,0.0,0.0
805,CHN,ZWE,0.0,0.0
415,BGR,ITA,0.0,0.0
861,CUB,CZE,0.0,0.0
1218,GHA,GRC,0.0,0.0
1130,FRA,ITA,0.0,0.0
1120,ETH,ZWE,0.0,0.0
936,CZE,MEX,0.0,0.0
1070,EGY,ZWE,0.0,0.0
