,c1,c2,jac,cos
1611,KEN,ZWE,0.3168724279835391,0.9472356217612589
2187,SVN,SVK,0.2549019607843137,0.9614718423012788
1293,HUN,JPN,0.14832535885167464,0.8310437053553789
1272,GRC,SWE,0.14832535885167464,0.8358236941184274
2052,POL,SWE,0.13609467455621302,0.834966528706379
1760,MAR,POL,0.10982658959537572,0.8307303161660125
1543,JPN,MEX,0.10662824207492795,0.8099039375503864
388,BGR,BWA,0.10154905335628227,0.8272753660668817
534,BWA,MAR,0.09526525955504848,0.8186724339753048
843,COL,VEN,0.09090909090909091,0.9236345859383213
1812,MEX,ZWE,0.09090909090909091,0.8054360316641779
683,CHL,COL,0.08413325804630152,0.9020845415358749
1650,LBN,MAR,0.08229988726042842,0.7926335795573488
76,ARG,CHL,0.08047270680922904,0.9054442086027166
2172,SWE,ZWE,0.07865168539325842,0.7443972045684456
963,DEU,ITA,0.07804604154969118,0.9058394420694311
1063,ETH,JPN,0.07804604154969118,0.7671694315518995
2157,SAU,ZWE,0.07502799552071669,0.7831570820616746
2276,VNM,ZWE,0.0738255033557047,0.7905162652897664
451,BRA,CHL,0.06371191135734072,0.9078871642182064
1451,ISR,UKR,0.05726872246696035,0.867136465631146
1406,IRL,THA,0.05726872246696035,0.8482753561629194
1110,FRA,ITA,0.056686846450192625,0.8863131545020432
1334,IDN,IND,0.053208996160175534,0.8681923726490739
630,CHE,DEU,0.052054794520547946,0.8538132521121855
1637,KOR,THA,0.05147864184008762,0.8221073275408503
2112,SRB,SVK,0.05090311986863711,0.820265129449856
896,CUB,VEN,0.05090311986863711,0.8708368925140402
219,AUS,IRL,0.05032822757111598,0.874536857746842
2093,ROU,SVN,0.04975396391470749,0.8354991512346719
1703,LTU,SVN,0.04975396391470749,0.8703388051513395
756,CHN,KOR,0.048034934497816595,0.8764088182894724
1877,NGA,PAK,0.04689203925845147,0.8592434263685196
2241,TUR,ZWE,0.0457516339869281,0.7090857208155795
1736,LVA,SVN,0.045182362547632006,0.8151852998134619
2036,PAK,THA,0.04065040650406504,0.8289118919627717
185,AUT,SVK,0.04008667388949079,0.8286872137082009
1933,NOR,ROU,0.03896103896103896,0.8451201569559463
1516,ITA,PRT,0.03783783783783784,0.8642921706156627
2205,SVK,UKR,0.03783783783783784,0.8358284275092196
2247,TWN,VNM,0.03615758229897464,0.777807683809959
2175,SGP,SEN,0.03559870550161812,0.8194151568923028
2217,SEN,UGA,0.03504043126684636,0.8330686360267721
1475,IND,PAK,0.034482758620689655,0.8676998246169108
2013,PHL,SEN,0.033925686591276254,0.7873088767528424
2227,THA,UGA,0.031149301825993556,0.8128573508434767
570,CAN,COL,0.030595813204508857,0.8680106139860013
2256,TZA,ZWE,0.030042918454935622,0.7633959846412827
302,BGD,PAK,0.029490616621983913,0.8424106177964413
2074,PRT,SVN,0.028938906752411574,0.8556632284126713
1,ARE,AUT,0.027287319422150885,0.7947219548548075
1860,NAM,SEN,0.02127659574468085,0.8054386124661262
1047,EGY,UGA,0.020191285866099893,0.8000354465698076
1823,MYS,ROU,0.017488076311605722,0.8075309629663239
1154,GBR,IRL,0.017488076311605722,0.8316679223579078
2259,UKR,VEN,0.01694915254237288,0.815616266038002
2268,USA,VEN,0.01641079936474325,0.8600044939841516
1900,NLD,NOR,0.014263074484944533,0.8570704706966732
2135,RUS,UKR,0.013727560718057022,0.8534065315094501
335,BEL,DEU,0.012124406958355299,0.8690644797613883
943,CZE,TWN,0.010526315789473684,0.743543086486999
1998,PER,VEN,0.00946372239747634,0.8030247826229933
1974,NZL,VEN,0.008933263268523384,0.7906750138819933
1229,GHA,SVN,0.006289308176100629,0.8161613231835677
2264,UGA,VEN,0.005762179151388162,0.7746472834832052
2272,VEN,VNM,0.0041841004184100415,0.6247515409518258
2277,ZAF,ZWE,0.0010427528675703858,0.6880365834444891
