,c1,c2,jac,cos
0,ARE,ARG,0.0,0.7314097236303027
1,ARE,AUT,0.001564945226917058,0.7653615862404333
2,ARE,AUS,0.0026109660574412533,0.7564684978695984
3,ARE,BGD,0.001564945226917058,0.643261708835298
4,ARE,BEL,0.0005211047420531526,0.7330926656619365
5,ARE,BGR,0.0026109660574412533,0.749927383834264
6,ARE,BRA,0.003134796238244514,0.7678421457321432
7,ARE,BWA,0.0026109660574412533,0.6354735301029247
8,ARE,CAN,0.0026109660574412533,0.7663792720234054
9,ARE,CHE,0.0005211047420531526,0.7571375252080575
10,ARE,CHL,0.0010427528675703858,0.7932678290906876
11,ARE,CHN,0.0026109660574412533,0.628786605307211
12,ARE,COL,0.0010427528675703858,0.7567833986392613
13,ARE,CUB,0.0005211047420531526,0.8021161249434237
14,ARE,CZE,0.0026109660574412533,0.750717100770838
15,ARE,DEU,0.001564945226917058,0.6111965963690362
16,ARE,EGY,0.0005211047420531526,0.7097468610092651
17,ARE,ETH,0.0,0.761979374037578
18,ARE,FRA,0.0005211047420531526,0.6228301151495921
19,ARE,GBR,0.0,0.0
20,ARE,GHA,0.001564945226917058,0.8225751535543575
21,ARE,GRC,0.0,0.6069250296790933
22,ARE,HUN,0.001564945226917058,0.7881197314098755
23,ARE,IDN,0.001564945226917058,0.6383220056488945
24,ARE,IRL,0.0010427528675703858,0.6267063657413704
25,ARE,ISR,0.0041841004184100415,0.776519183350365
26,ARE,IND,0.001564945226917058,0.6194899962085763
27,ARE,ITA,0.0010427528675703858,0.7806976411280009
28,ARE,JPN,0.0026109660574412533,0.7625734948805732
29,ARE,KEN,0.0010427528675703858,0.754126635792891
30,ARE,KOR,0.0036591740721380033,0.7742867510983199
31,ARE,LBN,0.0010427528675703858,0.7456446110273206
32,ARE,LTU,0.0020876826722338203,0.7373060104038975
33,ARE,LVA,0.0020876826722338203,0.8485689111416498
34,ARE,MAR,0.0010427528675703858,0.7258110537358878
35,ARE,MEX,0.0010427528675703858,0.6445010731936476
36,ARE,MYS,0.003134796238244514,0.6391987478723837
37,ARE,NAM,0.0026109660574412533,0.7691639972455943
38,ARE,NGA,0.0010427528675703858,0.7773536716221757
39,ARE,NLD,0.001564945226917058,0.7589893778359507
40,ARE,NOR,0.0020876826722338203,0.7459246755665908
41,ARE,PER,0.0010427528675703858,0.7769307442700704
42,ARE,PHL,0.0020876826722338203,0.7223799552026835
43,ARE,PAK,0.0010427528675703858,0.741406949431257
44,ARE,POL,0.0010427528675703858,0.6127188399410535
45,ARE,PRT,0.0036591740721380033,0.8021119981779777
46,ARE,ROU,0.0010427528675703858,0.6273892528116554
47,ARE,SRB,0.001564945226917058,0.7362193862278769
48,ARE,RUS,0.0005211047420531526,0.7530712437097199
49,ARE,SAU,0.0020876826722338203,0.7756895829529503
50,ARE,SWE,0.0010427528675703858,0.6320069002216504
51,ARE,SGP,0.0010427528675703858,0.6458105053522841
52,ARE,SVN,0.0005211047420531526,0.676634074690751
53,ARE,SVK,0.0020876826722338203,0.7301256905457885
54,ARE,SEN,0.0036591740721380033,0.675318538921655
55,ARE,THA,0.001564945226917058,0.7413453201583952
56,ARE,TUR,0.001564945226917058,0.7321009147452042
57,ARE,TWN,0.0010427528675703858,0.7267255016094035
58,ARE,TZA,0.0005211047420531526,0.7442923047114096
59,ARE,UKR,0.0010427528675703858,0.7376258874923204
60,ARE,UGA,0.0010427528675703858,0.7863723360232696
