,c1,c2,jac,cos
0,ARE,ARG,0.008933263268523384,0.7888014302225368
1,ARE,AUT,0.02290889717634523,0.7912048236813145
2,ARE,AUS,0.01856763925729443,0.8108334312272183
3,ARE,BGD,0.01694915254237288,0.7846841063228113
4,ARE,BEL,0.0005211047420531526,0.7968571217802596
5,ARE,BGR,0.006289308176100629,0.655079092278683
6,ARE,BRA,0.0041841004184100415,0.7821829548243452
7,ARE,BWA,0.0026109660574412533,0.6330993899976146
8,ARE,CAN,0.017488076311605722,0.7977657958613666
9,ARE,CHE,0.015873015873015872,0.7624941695389931
10,ARE,CHL,0.006289308176100629,0.7870589359837203
11,ARE,CHN,0.007874015748031496,0.7923100951052775
12,ARE,COL,0.008933263268523384,0.7977038432179651
13,ARE,CUB,0.008403361344537815,0.7702143256447488
14,ARE,CZE,0.0068169900367068695,0.7819429013850463
15,ARE,DEU,0.009994739610731194,0.8125021693691153
16,ARE,EGY,0.012658227848101266,0.7592173916809345
17,ARE,ETH,0.006289308176100629,0.656547603676825
18,ARE,FRA,0.005235602094240838,0.8138109440607336
19,ARE,GBR,0.004709576138147566,0.740435287510473
20,ARE,GHA,0.0036591740721380033,0.7785841385382658
21,ARE,GRC,0.0041841004184100415,0.6373192208497706
22,ARE,HUN,0.0020876826722338203,0.625566116247399
23,ARE,IDN,0.01910828025477707,0.7636624763337392
24,ARE,IRL,0.008403361344537815,0.7811437421406292
25,ARE,ISR,0.021820117083555083,0.8058059502385208
26,ARE,IND,0.009994739610731194,0.7909412474137685
27,ARE,ITA,0.008933263268523384,0.7699519470260971
28,ARE,JPN,0.004709576138147566,0.6351751482572265
29,ARE,KEN,0.0020876826722338203,0.6101762921310644
30,ARE,KOR,0.01910828025477707,0.783225193692021
31,ARE,LBN,0.007345225603357817,0.6705812405581805
32,ARE,LTU,0.015335801163405606,0.7775311402931233
33,ARE,LVA,0.008403361344537815,0.7218116757484583
34,ARE,MAR,0.0068169900367068695,0.6667469998122901
35,ARE,MEX,0.003134796238244514,0.6223267071156202
36,ARE,MYS,0.010526315789473684,0.7858797307438136
37,ARE,NAM,0.011058451816745656,0.7804849751958257
38,ARE,NGA,0.024,0.8026562661320291
39,ARE,NLD,0.0041841004184100415,0.7784591621082381
40,ARE,NOR,0.024,0.8211167208929004
41,ARE,NZL,0.003134796238244514,0.784412609769531
42,ARE,PER,0.0026109660574412533,0.7462155788558215
43,ARE,PHL,0.017488076311605722,0.7663540882061112
44,ARE,PAK,0.022364217252396165,0.8272048054693312
45,ARE,POL,0.003134796238244514,0.6143025100423838
46,ARE,PRT,0.010526315789473684,0.8088459566607262
47,ARE,ROU,0.014263074484944533,0.7651473500437056
48,ARE,SRB,0.008403361344537815,0.7589933924322865
49,ARE,RUS,0.0020876826722338203,0.7981939116623868
50,ARE,SAU,0.017488076311605722,0.7007089305042346
51,ARE,SWE,0.004709576138147566,0.6440282761393723
52,ARE,SGP,0.011058451816745656,0.7843667928621293
53,ARE,SVN,0.014799154334038054,0.7686602587568198
54,ARE,SVK,0.01694915254237288,0.7832660997809817
55,ARE,SEN,0.012658227848101266,0.7737861232119626
56,ARE,THA,0.021820117083555083,0.7822760955215415
