,c1,c2,jac,cos
1611,KEN,ZWE,0.29817444219066935,0.9497363166984187
2187,SVN,SVK,0.23314065510597304,0.9513561314039917
1272,GRC,SWE,0.14558472553699284,0.8399036666003082
1293,HUN,JPN,0.1449016100178891,0.8323105148649524
1543,JPN,MEX,0.11498257839721254,0.8175722842405312
1760,MAR,POL,0.10790536641661858,0.8396898820500103
388,BGR,BWA,0.10726643598615918,0.8266571089167292
2052,POL,SWE,0.10408280621046578,0.8299550466201654
1063,ETH,JPN,0.09277177006260671,0.778133707898971
545,BWA,POL,0.08535895986433013,0.8107900821917384
1812,MEX,ZWE,0.0847457627118644,0.8002502154204802
76,ARG,CHL,0.0798650168728909,0.9103762221412769
1703,LTU,SVN,0.07683679192372406,0.8825373824213025
2163,SWE,TUR,0.07563025210084033,0.7772839057816713
1650,LBN,MAR,0.0738255033557047,0.7984132505238614
1621,KOR,NOR,0.0738255033557047,0.8882234684739007
1334,IDN,IND,0.07142857142857142,0.8740558462540036
793,COL,CUB,0.07142857142857142,0.8922996509109506
2276,VNM,ZWE,0.07083100948131622,0.785241205144816
2155,SAU,VNM,0.06430155210643015,0.75289468230411
896,CUB,VEN,0.06253458771444383,0.8978890617375264
683,CHL,COL,0.061946902654867256,0.8865164577829485
1889,NGA,THA,0.06135986733001658,0.8533148895995875
453,BRA,COL,0.059602649006622516,0.9034294393375526
1939,NOR,SVN,0.059018201875344733,0.8737855912479506
171,AUT,NOR,0.056686846450192625,0.859025536345538
1382,IRL,LTU,0.054945054945054944,0.8653055402048484
2036,PAK,THA,0.054365733113673806,0.8691947928689916
582,CAN,IRL,0.05263157894736842,0.8676609194094258
219,AUS,IRL,0.052054794520547946,0.8810247765013182
2205,SVK,UKR,0.04860731840524304,0.8615163158771451
2093,ROU,SVN,0.04689203925845147,0.8302950036885094
1454,ISR,VEN,0.045182362547632006,0.8700169778137871
752,CHN,IND,0.043478260869565216,0.8875110347516155
1487,IND,THA,0.04121475054229935,0.8478468708891743
2239,TUR,VNM,0.04008667388949079,0.7264593736885444
1843,NAM,NGA,0.03896103896103896,0.8363413598724284
1110,FRA,ITA,0.03896103896103896,0.8865389014445215
2247,TWN,VNM,0.03783783783783784,0.775611253060366
976,DEU,NOR,0.03783783783783784,0.8713322361352888
1530,ITA,UKR,0.03727714748784441,0.8640849097115908
2176,SGP,THA,0.03336921420882669,0.8243964177126288
2014,PHL,THA,0.0328133405056482,0.8105375487613007
2226,THA,UKR,0.0328133405056482,0.8000909366211454
2256,TZA,ZWE,0.03225806451612903,0.7625593500022534
2259,UKR,VEN,0.030595813204508857,0.8564644965869632
663,CHE,SRB,0.030595813204508857,0.825062799647511
2135,RUS,UKR,0.028387787895018748,0.8825160004770213
2217,SEN,UGA,0.027837259100642397,0.8101687793838244
2112,SRB,SVK,0.026737967914438502,0.8025631935096657
1154,GBR,IRL,0.02564102564102564,0.8535258488771922
296,BGD,NGA,0.02454642475987193,0.8236953327067158
1723,LVA,NOR,0.024,0.7881191715194953
1832,MYS,THA,0.024,0.8132078122586908
38,ARE,NGA,0.024,0.8026562661320291
373,BEL,SVN,0.02127659574468085,0.8871729059568021
2074,PRT,SVN,0.02073365231259968,0.8528436397073177
1922,NLD,USA,0.020191285866099893,0.8865013666423273
2268,USA,VEN,0.015335801163405606,0.8688277539545655
1229,GHA,SVN,0.014799154334038054,0.8373281546857656
1012,EGY,IND,0.013727560718057022,0.8036333472658517
948,CZE,VEN,0.011591148577449948,0.8517511624084626
1998,PER,VEN,0.00946372239747634,0.8315291968148539
2272,VEN,VNM,0.005762179151388162,0.6681317400419089
1974,NZL,VEN,0.004709576138147566,0.8042037941704414
2263,UGA,USA,0.0041841004184100415,0.7856224170247915
2277,ZAF,ZWE,0.0005211047420531526,0.686840379437845
