,c1,c2,jac,cos
0,ARG,AUT,0.006289308176100629,0.7943599427896921
1,ARG,AUS,0.015335801163405606,0.8286473029813974
2,ARG,BGD,0.007345225603357817,0.7773674679325935
3,ARG,BEL,0.014799154334038054,0.8265400558808446
4,ARG,BGR,0.001564945226917058,0.8097772032834868
5,ARG,BRA,0.06018774157923799,0.906772280873855
6,ARG,BWA,0.005762179151388162,0.8247425407840834
7,ARG,CAN,0.003134796238244514,0.8016621799061852
8,ARG,CHE,0.011591148577449948,0.847117615002332
9,ARG,CHL,0.04008667388949079,0.8538114640397895
10,ARG,CHN,0.0036591740721380033,0.8095305063232021
11,ARG,COL,0.009994739610731194,0.7863572464856311
12,ARG,CUB,0.013727560718057022,0.8535925636250905
13,ARG,CZE,0.00946372239747634,0.7740890946418658
14,ARG,DEU,0.017488076311605722,0.8677494083528081
15,ARG,EGY,0.013727560718057022,0.8594559082013398
16,ARG,ETH,0.0036591740721380033,0.7667957740122745
17,ARG,FRA,0.012658227848101266,0.864025176350444
18,ARG,GBR,0.0026109660574412533,0.8023485390955873
19,ARG,GHA,0.04404567699836868,0.847418776986723
20,ARG,GRC,0.009994739610731194,0.812697257081466
21,ARG,HUN,0.01964949548592671,0.8547108744760429
22,ARG,IDN,0.0036591740721380033,0.74337976032625
23,ARG,IRL,0.009994739610731194,0.8228552501498202
24,ARG,ISR,0.0036591740721380033,0.7842653830904799
25,ARG,IND,0.003134796238244514,0.8201327702223691
26,ARG,ITA,0.0010427528675703858,0.7702502333244494
27,ARG,JPN,0.00946372239747634,0.8352329452547811
28,ARG,KEN,0.003134796238244514,0.788763217707735
29,ARG,KOR,0.007874015748031496,0.7919505350141771
30,ARG,LBN,0.006289308176100629,0.8135108747165688
31,ARG,LTU,0.010526315789473684,0.7787036575377098
32,ARG,LVA,0.0026109660574412533,0.7634918278815958
33,ARG,MAR,0.008933263268523384,0.8240520152189565
34,ARG,MEX,0.010526315789473684,0.8082492306067693
35,ARG,MYS,0.0036591740721380033,0.8016886633579663
36,ARG,NAM,0.007874015748031496,0.8069222888180644
37,ARG,NGA,0.014799154334038054,0.8352625739964521
38,ARG,NLD,0.04632152588555858,0.8769785757287356
39,ARG,NOR,0.01641079936474325,0.8475536180117692
