,c1,c2,jac,cos
0,ARG,AUT,0.007345225603357817,0.7301617789775819
1,ARG,AUS,0.01856763925729443,0.789730187265608
2,ARG,BGD,0.0041841004184100415,0.692396496577737
3,ARG,BEL,0.004709576138147566,0.7126477664263139
4,ARG,BGR,0.0041841004184100415,0.7291564222969451
5,ARG,BRA,0.042911461162411735,0.8440136351737774
6,ARG,BWA,0.0041841004184100415,0.7272829123928871
7,ARG,CAN,0.004709576138147566,0.744268466492665
8,ARG,CHE,0.0036591740721380033,0.7007424227258966
9,ARG,CHL,0.02073365231259968,0.794410994778634
10,ARG,CHN,0.006289308176100629,0.7535939293791576
11,ARG,COL,0.009994739610731194,0.7060967485112357
12,ARG,CUB,0.009994739610731194,0.7770172930410165
13,ARG,CZE,0.0026109660574412533,0.6562973029686536
14,ARG,DEU,0.004709576138147566,0.7712860551089228
15,ARG,EGY,0.004709576138147566,0.7896696925229375
16,ARG,ETH,0.003134796238244514,0.6712548272632806
17,ARG,FRA,0.003134796238244514,0.788967427461586
18,ARG,GBR,0.0020876826722338203,0.713948855011787
19,ARG,GHA,0.011591148577449948,0.7517265803992518
20,ARG,GRC,0.006289308176100629,0.7164944185430389
21,ARG,HUN,0.0010427528675703858,0.6976947469464875
22,ARG,IDN,0.007874015748031496,0.6961753733085337
23,ARG,IRL,0.01641079936474325,0.7758154732629536
24,ARG,ISR,0.0026109660574412533,0.6814817984418611
25,ARG,IND,0.00946372239747634,0.7625739737477748
26,ARG,ITA,0.006289308176100629,0.7296785415882315
27,ARG,JPN,0.00946372239747634,0.7627211328500813
28,ARG,KEN,0.0068169900367068695,0.747299121814039
29,ARG,KOR,0.003134796238244514,0.7223180796104225
30,ARG,LBN,0.007345225603357817,0.7445168252643145
31,ARG,LTU,0.0026109660574412533,0.7006242274390287
32,ARG,LVA,0.0026109660574412533,0.6709407573702649
33,ARG,MAR,0.0068169900367068695,0.744526417381211
34,ARG,MEX,0.018027571580063628,0.7194747506175737
35,ARG,MYS,0.0005211047420531526,0.6906433440885177
36,ARG,NAM,0.007345225603357817,0.7292337141965992
37,ARG,NGA,0.0041841004184100415,0.7165233724903203
38,ARG,NLD,0.00946372239747634,0.7602867455638599
39,ARG,NOR,0.0036591740721380033,0.7319345696928818
40,ARG,NZL,0.005762179151388162,0.6839653620414986
41,ARG,PER,0.023454157782515993,0.8077563605482571
42,ARG,PHL,0.005762179151388162,0.7547819583348312
43,ARG,PAK,0.003134796238244514,0.6955624391089346
44,ARG,POL,0.0010427528675703858,0.7092034714711556
45,ARG,PRT,0.02454642475987193,0.7822497848705383
46,ARG,ROU,0.004709576138147566,0.7387183504941294
47,ARG,SRB,0.0036591740721380033,0.677687839815063
48,ARG,RUS,0.0026109660574412533,0.7118171149195577
49,ARG,SAU,0.003134796238244514,0.7514813152838247
50,ARG,SWE,0.005762179151388162,0.7212181426214782
51,ARG,SGP,0.0020876826722338203,0.6624633324944091
52,ARG,SVN,0.0020876826722338203,0.6552608489314639
53,ARG,SVK,0.0005211047420531526,0.6022868694637792
54,ARG,SEN,0.015873015873015872,0.7920759892448503
55,ARG,THA,0.004709576138147566,0.7019962977387707
56,ARG,TUR,0.0005211047420531526,0.7049864298438272
57,ARG,TWN,0.0010427528675703858,0.6606794558460218
58,ARG,TZA,0.008403361344537815,0.7236868356831525
59,ARG,UKR,0.0020876826722338203,0.678746753831426
60,ARG,UGA,0.006289308176100629,0.7417973056378713
61,ARG,USA,0.0068169900367068695,0.7384949350230281
62,ARG,VEN,0.01964949548592671,0.7637085607499897
63,ARG,VNM,0.005762179151388162,0.6904187353760384
64,ARG,ZWE,0.0026109660574412533,0.6414020176474018
65,AUT,AUS,0.008403361344537815,0.7840766454512138
66,AUT,BGD,0.0026109660574412533,0.6835830659505585
67,AUT,BEL,0.01641079936474325,0.7734304088918073
68,AUT,BGR,0.006289308176100629,0.7626053780441489
69,AUT,BRA,0.013192612137203167,0.8024488567831569
70,AUT,BWA,0.003134796238244514,0.7347429812464521
71,AUT,CAN,0.0026109660574412533,0.7458006400329501
72,AUT,CHE,0.018027571580063628,0.7500330460435454
73,AUT,CHL,0.011058451816745656,0.7708493478550456
74,AUT,CHN,0.0068169900367068695,0.7755322162264322
75,AUT,COL,0.0,0.6067176541701967
76,AUT,CUB,0.001564945226917058,0.7323678263058995
77,AUT,CZE,0.018027571580063628,0.7386423407443559
78,AUT,DEU,0.05032822757111598,0.879726342861524
79,AUT,EGY,0.004709576138147566,0.8107954835374009
80,AUT,ETH,0.0010427528675703858,0.6651683296428558
81,AUT,FRA,0.022364217252396165,0.8698780190789268
82,AUT,GBR,0.0068169900367068695,0.7739782053885279
83,AUT,GHA,0.008403361344537815,0.746293641226796
84,AUT,GRC,0.01694915254237288,0.7680325441934295
