,c1,c2,jac,cos
2067,SVN,SVK,0.279147235176549,0.9459756339975159
2019,RUS,UKR,0.20150187734668334,0.9565739315870014
1800,NLD,PRT,0.14626865671641792,0.8887903813348682
1190,GRC,TUR,0.1320754716981132,0.9103967258466292
1963,PRT,SEN,0.08229988726042842,0.8801018906518964
706,CHN,TWN,0.06430155210643015,0.9032545351829172
288,BEL,NLD,0.06371191135734072,0.907379021841338
782,CUB,KEN,0.059602649006622516,0.858195108781781
640,CHL,PRT,0.054945054945054944,0.8579356274058519
152,AUS,IND,0.05378704720087816,0.893753003243167
1222,HUN,PRT,0.053208996160175534,0.8168813178386093
78,AUT,DEU,0.05032822757111598,0.879726342861524
900,DEU,PRT,0.05032822757111598,0.8751821902016568
5,ARG,BRA,0.042911461162411735,0.8440136351737774
2111,TUR,UKR,0.04065040650406504,0.8135542346852563
1135,GHA,PRT,0.03952355170546833,0.8169892291728298
1768,NGA,NOR,0.0328133405056482,0.7827034487268303
1997,SRB,SVK,0.030595813204508857,0.7563508644305849
378,BRA,CHL,0.030042918454935622,0.8731392891025238
1760,NAM,TZA,0.028938906752411574,0.7829919675262549
1938,POL,RUS,0.026189203634420097,0.8516564051355905
2093,SEN,TZA,0.026189203634420097,0.8220627343270123
714,COL,CUB,0.02564102564102564,0.8082581567494874
590,CHE,SWE,0.025093432995194873,0.780201150942749
2125,TZA,UGA,0.02454642475987193,0.8188339246500277
2122,TWN,VNM,0.02290889717634523,0.7215858977680174
1486,KEN,NAM,0.021820117083555083,0.7855998280105734
850,CZE,PRT,0.02073365231259968,0.7961576919273078
1881,PER,SEN,0.02073365231259968,0.8496084728163
1044,FRA,PRT,0.02073365231259968,0.839918300397762
1533,KOR,RUS,0.02073365231259968,0.82508856810216
1259,IDN,NZL,0.020191285866099893,0.7890680865714722
357,BGR,SRB,0.01964949548592671,0.773998059704234
1588,LTU,NAM,0.01910828025477707,0.7581087371037764
534,CAN,SWE,0.018027571580063628,0.8626111136272389
458,BWA,LTU,0.018027571580063628,0.768344588465247
1068,GBR,IRL,0.017488076311605722,0.842893274732577
226,BGD,NGA,0.01694915254237288,0.7518437315129956
2130,UKR,UGA,0.01641079936474325,0.7561981037902282
1387,IND,RUS,0.01641079936474325,0.8524288347273375
934,EGY,LBN,0.015873015873015872,0.8527956553963857
1830,NOR,SWE,0.015873015873015872,0.7846989549732744
1552,LBN,MAR,0.015873015873015872,0.8308749425666357
1707,MEX,VEN,0.014799154334038054,0.6992404302545342
1620,LVA,NAM,0.014799154334038054,0.7430301267322427
1664,MAR,SAU,0.014263074484944533,0.8351162725337926
1859,NZL,THA,0.013727560718057022,0.6955215775621987
1471,JPN,TWN,0.013727560718057022,0.7599842335801996
1011,ETH,UKR,0.013727560718057022,0.7127281376557778
1348,ISR,RUS,0.013727560718057022,0.8168169660793949
1300,IRL,NZL,0.013192612137203167,0.7758710340601516
2084,SVK,UKR,0.013192612137203167,0.745607946337616
1894,PHL,PRT,0.013192612137203167,0.8016818909556368
1725,MYS,SGP,0.012124406958355299,0.7165864860293207
1983,ROU,TUR,0.012124406958355299,0.7660198156563632
2102,THA,TZA,0.012124406958355299,0.6993432679483036
2066,SGP,ZWE,0.012124406958355299,0.6698711399990048
2142,VEN,VNM,0.010526315789473684,0.6938455707800341
1417,ITA,NZL,0.010526315789473684,0.7544171777117998
1933,PAK,VNM,0.008933263268523384,0.6911594202902244
2140,USA,VNM,0.008933263268523384,0.7293613189619006
2045,SWE,TUR,0.007874015748031496,0.7726496974297461
2025,SAU,SWE,0.007345225603357817,0.8295748507219988
2138,UGA,ZWE,0.006289308176100629,0.6879830057443568
2144,VNM,ZWE,0.004709576138147566,0.6407870446084863
