,c1,c2,jac,cos
1342,KEN,NGA,0.33797909407665505,0.9520187246556199
124,AUS,CAN,0.28256513026052105,0.9373358545257892
1,ARG,AUS,0.2774451097804391,0.9289097920357628
472,CAN,KEN,0.2749003984063745,0.9228808706603514
1536,MYS,PAK,0.27236580516898606,0.9455027196394289
1598,NGA,ZWE,0.271523178807947,0.9249641815633984
1139,IDN,MYS,0.2483745123537061,0.9379032941603607
1244,IND,MYS,0.24031007751937986,0.9324913185342142
1217,ISR,PAK,0.23631680618158404,0.9235232797562535
542,CHE,SWE,0.2260536398467433,0.9223003949189849
1693,PAK,ZWE,0.21059268600252207,0.9050075803936012
619,CHN,IND,0.20603015075376885,0.9258809266754656
679,COL,NGA,0.16646415552855406,0.8927924336943037
79,AUT,GRC,0.1587205793602897,0.8362857788995136
1106,HUN,NOR,0.15384615384615385,0.8419888557628019
1496,MAR,SEN,0.1524609843937575,0.8477958169185416
1041,GHA,SEN,0.15176964607078583,0.8329680185276719
269,BEL,NOR,0.15038945476333135,0.8413520558080869
1081,GRC,THA,0.15038945476333135,0.8473694055125308
819,DEU,NOR,0.14695340501792115,0.8413750349557418
1632,NOR,THA,0.1449016100178891,0.8334848226815453
1794,SEN,THA,0.1320754716981132,0.8206305315566718
1669,PHL,THA,0.12941176470588237,0.8472128287755332
411,BWA,GHA,0.1267605633802817,0.8325096320516385
291,BGR,BWA,0.12478031634446397,0.8339421133340107
1599,NLD,NOR,0.12478031634446397,0.832758087853986
1281,ITA,NOR,0.12215078901227353,0.8146379229797381
857,EGY,MAR,0.12215078901227353,0.8465299970418666
1568,NAM,SEN,0.1169284467713787,0.8275628630137377
1767,SGP,THA,0.11239860950173812,0.8235376738812837
1808,THA,ZWE,0.10982658959537572,0.7777104400809249
1470,LVA,SEN,0.1047180667433832,0.7982929918085248
1415,LBN,SEN,0.09902690326273612,0.7985324192938279
1441,LTU,SVN,0.09714285714285714,0.8046274985229132
1777,SVN,THA,0.09401709401709402,0.7833559264639487
1756,SWE,THA,0.0847457627118644,0.8022123173745349
784,CZE,SVN,0.08108108108108109,0.7943631023152908
1389,KOR,TWN,0.07083100948131622,0.8400250922998634
1822,TZA,VEN,0.052054794520547946,0.8063954568267626
1818,TWN,VEN,0.03170338527673294,0.7794977220590195
1829,VEN,ZWE,0.029490616621983913,0.757815625928979
385,BRA,SRB,0.02127659574468085,0.8797495694206168
1183,IRL,POL,0.02127659574468085,0.9539382362841816
1506,MEX,NAM,0.01694915254237288,0.7529407267367383
179,BGD,BRA,0.01694915254237288,0.8995037356289418
949,FRA,PER,0.014799154334038054,0.8265366675533804
912,ETH,ROU,0.014263074484944533,0.9212563524521539
723,CUB,MEX,0.013727560718057022,0.8634136802314405
1725,ROU,SRB,0.012658227848101266,0.9121139208055158
1642,PER,POL,0.012124406958355299,0.8965842800243216
1790,SVK,UKR,0.011058451816745656,0.7700435811565968
589,CHL,PRT,0.010526315789473684,0.7255193050326993
1308,JPN,MEX,0.010526315789473684,0.8302029759260421
1742,SRB,SVK,0.00946372239747634,0.8305483140879282
1696,POL,SRB,0.007874015748031496,0.889977336107305
1814,TUR,ZWE,0.007874015748031496,0.7133788928571934
1005,GBR,TZA,0.0068169900367068695,0.6822644815769897
1825,UKR,VEN,0.006289308176100629,0.674722209162572
1716,PRT,SEN,0.0036591740721380033,0.6214946285280323
1827,UGA,VEN,0.0026109660574412533,0.691345369101489
