,c1,c2,jac,cos
124,AUS,CAN,0.22059758423394787,0.9449548224232504
1,ARG,AUS,0.21904761904761905,0.9425712111742369
806,DEU,ITA,0.2175015852885225,0.9395791718781056
542,CHE,SWE,0.1903285802851829,0.9006790888682997
60,AUT,AUS,0.18518518518518517,0.922642503964152
1568,NAM,SEN,0.1497005988023952,0.8738939426321096
1627,NOR,SWE,0.14353782013103036,0.8585194336448536
454,CAN,CHN,0.14285714285714285,0.8859848364504994
1041,GHA,SEN,0.14285714285714285,0.8631002673137947
1055,GRC,ITA,0.1394658753709199,0.8509736197636331
1342,KEN,NGA,0.13676731793960922,0.868760748178775
238,BEL,CHE,0.13274336283185842,0.8678432248963361
1397,LBN,MAR,0.13074204946996468,0.8447638207403615
1496,MAR,SEN,0.12609970674486803,0.8583170504368617
857,EGY,MAR,0.12412177985948478,0.8398371044915377
1093,HUN,ITA,0.11627906976744186,0.8511768790070187
1275,ITA,MAR,0.11498257839721254,0.8362876433911512
1668,PHL,SEN,0.11304347826086956,0.832684072149586
428,BWA,NAM,0.10790536641661858,0.8253655171408826
1685,PAK,SEN,0.10599078341013825,0.8372766416076609
1251,IND,PAK,0.1047180667433832,0.847862343825754
619,CHN,IND,0.10408280621046578,0.8667250751725708
1205,ISR,LBN,0.09839816933638444,0.81407494465427
1756,SWE,THA,0.09839816933638444,0.8320239995175107
1590,NGA,SEN,0.09777015437392796,0.8527210849281008
1139,IDN,MYS,0.09651627641347801,0.8331249734813992
1424,LTU,LVA,0.09339407744874716,0.8285172038480001
305,BGR,GRC,0.09028960817717206,0.7983632909058973
1458,LVA,NOR,0.08967082860385925,0.8263459969622352
749,CZE,DEU,0.0890527509926262,0.8106555458824498
1794,SEN,THA,0.08843537414965986,0.8106640170342312
675,COL,MAR,0.07744107744107744,0.817567084457343
1607,NLD,SWE,0.07744107744107744,0.8003795615496757
1767,SGP,THA,0.07202680067001675,0.7944856650631138
1546,MYS,THA,0.06135986733001658,0.798890749085529
1808,THA,ZWE,0.06018774157923799,0.7772723641018335
1777,SVN,THA,0.055525013743815285,0.7753152684525679
1368,KOR,MAR,0.0367170626349892,0.7286945421105514
1829,VEN,ZWE,0.020191285866099893,0.7674804904389505
1819,TWN,ZWE,0.01910828025477707,0.7334379381232751
1823,TZA,ZWE,0.01641079936474325,0.7538170872974602
712,CUB,IRL,0.015873015873015872,0.940083044876028
912,ETH,ROU,0.00946372239747634,0.9184301009664322
1183,IRL,POL,0.008403361344537815,0.9527407070751338
1655,PER,UKR,0.008403361344537815,0.8061067556587456
351,BRA,CUB,0.007345225603357817,0.8526804005767558
1790,SVK,UKR,0.0068169900367068695,0.7291137300079037
602,CHL,UGA,0.006289308176100629,0.7500861655536951
197,BGD,IRL,0.005762179151388162,0.9016890548367652
1695,POL,ROU,0.004709576138147566,0.9037149281936411
1308,JPN,MEX,0.004709576138147566,0.8304721049840077
1513,MEX,POL,0.004709576138147566,0.8800288606975748
1725,ROU,SRB,0.0041841004184100415,0.8925341031006574
943,FRA,MEX,0.0041841004184100415,0.7874191718811849
1739,SRB,SWE,0.0036591740721380033,0.7025413595724121
1001,GBR,SEN,0.0036591740721380033,0.5959533482459628
1824,UKR,UGA,0.0026109660574412533,0.7310772355433341
1828,UGA,ZWE,0.0020876826722338203,0.6676582688482414
1716,PRT,SEN,0.0020876826722338203,0.601715083981551
1810,TUR,TZA,0.001564945226917058,0.7336250607826608
