,c1,c2,jac,cos
2075,SVK,SVN,0.3296398891966759,0.9670280551202332
2014,RUS,UKR,0.14558472553699284,0.9496580880733098
2034,SAU,ARE,0.12941176470588237,0.9254296005117664
482,BGR,SRB,0.1254396248534584,0.9249285390531082
847,EGY,LBN,0.12084063047285463,0.9350535487818666
1370,ISR,RUS,0.11304347826086956,0.9280706486241899
1089,GRC,ITA,0.10599078341013825,0.9324840571490997
1021,DEU,SWE,0.10535405872193437,0.9255568834705193
1525,LBN,SAU,0.10344827586206896,0.9136594627521395
945,FRA,ITA,0.10154905335628227,0.9378238483441351
662,CHN,TUR,0.10091743119266056,0.9117939957370379
165,AUT,NGA,0.09965635738831616,0.9035275729554509
1490,LVA,SRB,0.09965635738831616,0.8892092736849123
723,COL,VEN,0.09651627641347801,0.9348044854217307
1819,NOR,SWE,0.09401709401709402,0.9073267876376867
1917,POL,SRB,0.09339407744874716,0.8903953993041918
1282,IDN,PHL,0.09277177006260671,0.8984652252327108
393,BRA,GRC,0.09152927799886298,0.9101001134325707
5,ARG,BRA,0.09152927799886298,0.926322099048764
1569,LTU,TWN,0.09152927799886298,0.8951627371628599
2061,SRB,SWE,0.09090909090909091,0.9099955346603427
1733,NLD,CHE,0.08967082860385925,0.9350080299935452
1851,PAK,TUR,0.08597285067873303,0.9156714482526535
260,BEL,BGR,0.08229988726042842,0.905275233736643
1983,ROU,SRB,0.07683679192372406,0.8911745564910379
815,CZE,SRB,0.07502799552071669,0.8686405969100789
1908,PHL,VEN,0.07502799552071669,0.9077839844608127
918,ETH,SRB,0.07442641298265248,0.8726605697859229
1647,MEX,VEN,0.0738255033557047,0.905240798051217
2158,TZA,UGA,0.07322526551145891,0.8876874522149812
81,AUS,DEU,0.07322526551145891,0.9003478558198851
1654,MAR,NOR,0.07202680067001675,0.8925417780438868
2047,SEN,TZA,0.07023411371237458,0.8736604898058542
2120,SWE,CHE,0.07023411371237458,0.9159689213725911
1237,IND,PAK,0.06963788300835655,0.9060381174681715
1407,ITA,PRT,0.06725958866036687,0.9094234719835703
1883,PER,VEN,0.06666666666666667,0.8795608720507757
1057,GHA,PHL,0.06430155210643015,0.8660660704065278
1944,PRT,SWE,0.06371191135734072,0.8936026287875515
1441,JPN,NOR,0.06371191135734072,0.8824250486189491
1766,NZL,THA,0.06312292358803986,0.8481775114053047
561,CHL,CZE,0.059602649006622516,0.864135369594565
1321,IRL,NOR,0.056686846450192625,0.8746433040531489
777,CUB,VEN,0.056686846450192625,0.905645948133817
1696,NAM,SEN,0.055525013743815285,0.8608518792669977
2154,TWN,VNM,0.054945054945054944,0.8113244671245688
526,CAN,NLD,0.05378704720087816,0.8971740877853599
1203,HUN,SRB,0.053208996160175534,0.8989992768844803
2167,THA,UGA,0.05090311986863711,0.8437193596351619
248,BGD,THA,0.05032822757111598,0.8435527184978846
2209,VEN,ZWE,0.048034934497816595,0.8518164547495244
2112,ZAF,UGA,0.04746317512274959,0.8298364536496663
2136,CHE,TUR,0.04689203925845147,0.8945151583636662
2180,TUR,VEN,0.0457516339869281,0.8820509075972941
1791,NGA,SWE,0.0457516339869281,0.8732328700758981
2099,SVN,UKR,0.045182362547632006,0.8280843608402312
2189,UGA,ZWE,0.04404567699836868,0.8242491509178484
362,BWA,SEN,0.043478260869565216,0.8036729190730795
1164,HKG,TWN,0.042911461162411735,0.809395149961723
1606,MYS,THA,0.03615758229897464,0.8445599899584146
2198,ARE,VEN,0.03170338527673294,0.8600975709907752
2193,UKR,VEN,0.026737967914438502,0.8488683945239246
2210,VNM,ZWE,0.023454157782515993,0.7592824739507634
2205,USA,VEN,0.013192612137203167,0.8321147270524061
1966,KOR,SWE,0.008403361344537815,0.858522584688878
2202,GBR,VEN,0.0036591740721380033,0.8075251047603292
