,c1,c2,jac,cos
2075,SVK,SVN,0.2946729602157788,0.9621308390689901
2014,RUS,UKR,0.14763897190675435,0.9465596889366413
482,BGR,SRB,0.0835214446952596,0.9024804933620121
145,AUT,DEU,0.08047270680922904,0.9116293403172332
2034,SAU,ARE,0.0798650168728909,0.9189192520428565
1721,NLD,POL,0.07804604154969118,0.8900903392053504
865,EGY,SAU,0.07202680067001675,0.9268150730553205
1353,ISR,LBN,0.06844741235392321,0.9166014481856289
1021,DEU,SWE,0.06607440310938367,0.9041852022614292
5,ARG,BRA,0.06430155210643015,0.8821569730422831
561,CHL,CZE,0.06430155210643015,0.8755436929889967
945,FRA,ITA,0.06077348066298342,0.9200600943678758
1525,LBN,SAU,0.05843439911797133,0.9000848532215976
1819,NOR,SWE,0.05785123966942149,0.8731918364504001
400,BRA,ITA,0.053208996160175534,0.8980413856321062
631,CHN,JPN,0.05263157894736842,0.8954379805398752
1121,GRC,TUR,0.05263157894736842,0.898461733292202
1417,ITA,SWE,0.052054794520547946,0.8825187031814534
1917,POL,SRB,0.05032822757111598,0.8514127092246874
2061,SRB,SWE,0.04860731840524304,0.8767068749998113
1569,LTU,TWN,0.0457516339869281,0.8745795900538126
1908,PHL,VEN,0.04461371055495103,0.8390461410943489
81,AUS,DEU,0.042911461162411735,0.8776912978798745
1696,NAM,SEN,0.041779706999457406,0.8340140091212344
723,COL,VEN,0.03952355170546833,0.870108746386198
815,CZE,SRB,0.03839913466738778,0.8283396994336614
1490,LVA,SRB,0.0367170626349892,0.8298364944344513
2124,SWE,TUR,0.0367170626349892,0.8641465838334432
1050,GHA,NAM,0.03615758229897464,0.8238446683644567
1321,IRL,NOR,0.03615758229897464,0.8341193066832319
1282,IDN,PHL,0.03615758229897464,0.8234098523536804
1203,HUN,SRB,0.03615758229897464,0.8404608843646652
2154,TWN,VNM,0.03615758229897464,0.7787232554794501
260,BEL,BGR,0.034482758620689655,0.8515427444217836
1456,JPN,SWE,0.033925686591276254,0.8472814443826548
2047,SEN,TZA,0.033925686591276254,0.8278935967398697
745,CUB,MEX,0.03336921420882669,0.8381772978163974
1669,MAR,SWE,0.03336921420882669,0.8575270523302866
892,ETH,IDN,0.03336921420882669,0.8245011447604249
1751,NZL,POL,0.03225806451612903,0.8037814506862724
1944,PRT,SWE,0.030595813204508857,0.8352833640871832
2158,TZA,UGA,0.030042918454935622,0.8190470576979602
1983,ROU,SRB,0.030042918454935622,0.8432558198538587
503,CAN,CUB,0.029490616621983913,0.8626687953558081
1237,IND,PAK,0.027287319422150885,0.8471014476600819
1647,MEX,VEN,0.027287319422150885,0.7952856575505577
1848,PAK,TWN,0.027287319422150885,0.7687132259315653
2183,UGA,UKR,0.026737967914438502,0.8077703339812687
2092,SVN,SWE,0.025093432995194873,0.8145382655011
380,BWA,ZWE,0.02454642475987193,0.7671332760393442
230,BGD,PAK,0.024,0.7991966270048732
1883,PER,VEN,0.02290889717634523,0.8059188857235283
2112,ZAF,UGA,0.02290889717634523,0.7610738412181918
1776,NGA,NOR,0.02127659574468085,0.7925610221133005
1598,MYS,SRB,0.02127659574468085,0.8109843148507683
2173,THA,VNM,0.02073365231259968,0.7802636707107176
2209,VEN,ZWE,0.01964949548592671,0.7927719568145778
1164,HKG,TWN,0.01910828025477707,0.7639116981737846
2193,UKR,VEN,0.015873015873015872,0.7662187289625771
2198,ARE,VEN,0.014263074484944533,0.8030898565160179
2177,TUR,ARE,0.013727560718057022,0.8194495641334351
2135,CHE,THA,0.012658227848101266,0.7863557207871701
2210,VNM,ZWE,0.010526315789473684,0.7238668064561395
1959,KOR,RUS,0.005235602094240838,0.8225550685833343
2201,GBR,USA,0.0036591740721380033,0.7807950855618597
2205,USA,VEN,0.0036591740721380033,0.7700344945223814
