,c1,c2,jac,cos
2075,SVK,SVN,0.2260536398467433,0.9662141383649295
2014,RUS,UKR,0.19775421085464753,0.9621212240484073
847,EGY,LBN,0.18153846153846154,0.9504985696822884
483,BGR,SVK,0.16930572472594396,0.9496058269769339
723,COL,VEN,0.16152450090744103,0.9498315805931533
816,CZE,SVK,0.16012084592145015,0.942482003570241
145,AUT,DEU,0.15942028985507245,0.9457394073612577
1353,ISR,LBN,0.1587205793602897,0.9519271671353017
2058,SRB,SVK,0.1510791366906475,0.938577683061926
1483,LVA,POL,0.14832535885167464,0.9324032323797594
1819,NOR,SWE,0.14763897190675435,0.9278255687166564
1918,POL,SVK,0.14763897190675435,0.9406290567401233
1525,LBN,SAU,0.14285714285714285,0.9367018141942833
659,CHN,TWN,0.1421772754312909,0.9470099785967493
1623,MEX,PER,0.1408199643493761,0.9396429129152052
2158,TZA,UGA,0.1408199643493761,0.9480728774005251
230,BGD,PAK,0.13744075829383887,0.9389936684640241
414,BRA,PER,0.1354228267297457,0.9321008545672479
1010,DEU,POL,0.1354228267297457,0.936695103396629
1664,MAR,SEN,0.13074204946996468,0.9181623445892033
380,BWA,ZWE,0.12808460634547592,0.9301653267600148
1196,HUN,POL,0.12742219612448621,0.9313289523188223
8,ARG,CHL,0.12280701754385964,0.9211593993058279
1282,IDN,PHL,0.12215078901227353,0.9314212451173062
908,ETH,PAK,0.119533527696793,0.9052193215212045
1696,NAM,SEN,0.119533527696793,0.9121475558354635
1105,GRC,POL,0.11757857974388825,0.9154218443394065
1556,LTU,POL,0.1169284467713787,0.9263457411117814
1883,PER,VEN,0.11627906976744186,0.9320236200982421
2173,THA,VNM,0.11627906976744186,0.9223032567436035
2047,SEN,TZA,0.11304347826086956,0.9246681728184338
580,CHL,MEX,0.11304347826086956,0.9084803057187026
2154,TWN,VNM,0.11046847888953153,0.9132131395848232
1082,GHA,ZWE,0.10726643598615918,0.9223237901207311
1909,PHL,VNM,0.10662824207492795,0.9086434746019526
1840,PAK,SAU,0.10599078341013825,0.9157141925162541
2022,SAU,SRB,0.10599078341013825,0.8881220525894982
2189,UGA,ZWE,0.10599078341013825,0.9190702080327835
2120,SWE,CHE,0.10535405872193437,0.917764656935763
745,CUB,MEX,0.10281447443997703,0.9273350579816392
1984,ROU,SVK,0.10218140068886337,0.9117358148540197
1460,JPN,THA,0.10154905335628227,0.9030525213164657
295,BEL,POL,0.09902690326273612,0.911342409805504
945,FRA,ITA,0.09902690326273612,0.9202437525058692
1732,NLD,SWE,0.09526525955504848,0.9112106688871888
1406,ITA,POL,0.09401709401709402,0.9086145914992944
1237,IND,PAK,0.09277177006260671,0.9187724669081462
119,AUS,TWN,0.09152927799886298,0.891800789051511
1804,NGA,ZWE,0.08781869688385269,0.9168462465479094
1164,HKG,TWN,0.07925801011804384,0.8859628982658997
2092,SVN,SWE,0.07744107744107744,0.8921423834258161
2119,ZAF,ZWE,0.07322526551145891,0.8774454224583405
2180,TUR,VEN,0.06666666666666667,0.8928194611437295
2135,CHE,THA,0.06607440310938367,0.894649707110591
1750,NZL,PHL,0.06135986733001658,0.8578183196040625
1939,PRT,SEN,0.059602649006622516,0.8635635050196696
1596,MYS,SAU,0.05843439911797133,0.8840085269849303
1336,IRL,SWE,0.056105610561056105,0.8832587462503032
2210,VNM,ZWE,0.054945054945054944,0.8599758916253178
2209,VEN,ZWE,0.053208996160175534,0.8727217619902442
526,CAN,NLD,0.052054794520547946,0.8706492396505571
2198,ARE,VEN,0.04632152588555858,0.861885437288198
2193,UKR,VEN,0.04121475054229935,0.882258011226227
2201,GBR,USA,0.01694915254237288,0.8288931300079615
1968,KOR,TWN,0.015873015873015872,0.8626653713514996
2205,USA,VEN,0.015335801163405606,0.842987640283219
