,c1,c2,jac,cos
2075,SVK,SVN,0.3882863340563991,0.9705569823633864
2014,RUS,UKR,0.16293155663234404,0.9458440218636145
2120,SWE,CHE,0.158021712907117,0.9250432104870298
865,EGY,SAU,0.12742219612448621,0.9341884724693975
936,FRA,DEU,0.11822947000582411,0.9260435924720891
1298,IDN,THA,0.11822947000582411,0.9075428863861905
1371,ISR,SAU,0.11627906976744186,0.9114691046608532
5,ARG,BRA,0.11498257839721254,0.9149673493907914
391,BRA,DEU,0.1136890951276102,0.9213461509860295
1766,NZL,THA,0.11304347826086956,0.8960219567142487
1901,PHL,THA,0.10918544194107452,0.8948071004629048
659,CHN,TWN,0.10662824207492795,0.9361923470039699
1010,DEU,POL,0.10281447443997703,0.9056637490833154
1121,GRC,TUR,0.10281447443997703,0.923600539854678
475,BGR,POL,0.10028653295128939,0.8820024707386028
1925,POL,THA,0.09902690326273612,0.8892601069581151
1983,ROU,SRB,0.09526525955504848,0.8976256580662454
708,COL,SRB,0.09464082098061574,0.90767631084582
1840,PAK,SAU,0.09464082098061574,0.9122583052683698
2031,SAU,TUR,0.09401709401709402,0.9060760534606903
1237,IND,PAK,0.09401709401709402,0.922828556831038
100,AUS,NZL,0.09090909090909091,0.884183243483048
808,CZE,POL,0.08843537414965986,0.8878760777262455
1624,MEX,PHL,0.08597285067873303,0.8905055272755752
1596,MYS,SAU,0.08597285067873303,0.8850420307566979
177,AUT,SRB,0.0847457627118644,0.8715328384798389
1460,JPN,THA,0.0847457627118644,0.8945971782799803
589,CHL,PHL,0.0835214446952596,0.8985662268976047
230,BGD,PAK,0.07744107744107744,0.9267124858284492
1733,NLD,CHE,0.07623318385650224,0.8626571255373008
2066,SRB,TUR,0.07502799552071669,0.8931976556435958
1413,ITA,SRB,0.07442641298265248,0.872896381842315
1860,PER,PHL,0.07322526551145891,0.8824247541457041
2147,TWN,TUR,0.07322526551145891,0.894512850973922
1132,HKG,IDN,0.07322526551145891,0.8674532011861709
1471,LVA,LTU,0.07142857142857142,0.8636047039545189
1525,LBN,SAU,0.06963788300835655,0.8770242205366765
1808,NOR,POL,0.06607440310938367,0.8418197953455888
2135,CHE,THA,0.06430155210643015,0.8606082877774971
514,CAN,IDN,0.06253458771444383,0.8948387016648962
1658,MAR,POL,0.061946902654867256,0.8380037182069668
1337,IRL,CHE,0.06077348066298342,0.8332726615362245
1936,PRT,ROU,0.06018774157923799,0.8683204619658857
1578,LTU,VEN,0.059602649006622516,0.8335390251437739
295,BEL,POL,0.05785123966942149,0.8383788106789227
754,CUB,PHL,0.05726872246696035,0.873204496067134
2173,THA,VNM,0.05726872246696035,0.8554528792279056
2210,VNM,ZWE,0.05147864184008762,0.8177074974372762
2110,ZAF,THA,0.05090311986863711,0.8515963128457481
2208,VEN,VNM,0.04975396391470749,0.8205491062740892
2182,TUR,ZWE,0.04860731840524304,0.854988540510935
1779,NGA,PHL,0.04632152588555858,0.8331901330461904
2093,SVN,CHE,0.0457516339869281,0.8162742249547061
1183,HUN,LBN,0.042911461162411735,0.7942255108762006
1045,GHA,LBN,0.04065040650406504,0.8338481082003143
2163,TZA,VEN,0.04008667388949079,0.8436653444092572
2200,ARE,ZWE,0.03615758229897464,0.837771967860696
2187,UGA,VEN,0.03559870550161812,0.7965144720069106
899,ETH,LTU,0.03504043126684636,0.7527171697804834
1689,NAM,PHL,0.033925686591276254,0.8177234017097176
2044,SEN,SWE,0.03170338527673294,0.7904348276879927
2193,UKR,VEN,0.02454642475987193,0.798404574973064
354,BWA,PER,0.020191285866099893,0.8252224092639263
2204,GBR,ZWE,0.008933263268523384,0.7963665444173211
2207,USA,ZWE,0.008933263268523384,0.795466382699275
1968,KOR,TWN,0.007874015748031496,0.8518598755307157
