,c1,c2,jac,cos
0,ARG,AUS,0.04746317512274959,0.7236700042208251
1,ARG,AUT,0.048034934497816595,0.6904683778247419
2,ARG,BGD,0.012658227848101266,0.638154603571859
3,ARG,BEL,0.011591148577449948,0.679275170283209
4,ARG,BWA,0.00946372239747634,0.6352205722608609
5,ARG,BRA,0.015873015873015872,0.6785325731617555
6,ARG,BGR,0.00946372239747634,0.6828025955520276
7,ARG,CAN,0.006289308176100629,0.6465071615520088
8,ARG,CHL,0.011591148577449948,0.6260824945240397
9,ARG,CHN,0.008933263268523384,0.6451412908536633
10,ARG,COL,0.00946372239747634,0.6208183403039862
11,ARG,CUB,0.011591148577449948,0.6960813032284648
12,ARG,CZE,0.005235602094240838,0.6521816900770555
13,ARG,EGY,0.04121475054229935,0.7262982153942221
14,ARG,ETH,0.055525013743815285,0.7059224618289968
15,ARG,FRA,0.012658227848101266,0.6839207696371278
16,ARG,DEU,0.011058451816745656,0.6467019667286468
17,ARG,GHA,0.0041841004184100415,0.6924186558518716
18,ARG,GRC,0.01694915254237288,0.6536948350491338
19,ARG,HKG,0.007874015748031496,0.5883114845743742
20,ARG,HUN,0.008403361344537815,0.6728684601053858
21,ARG,IND,0.0041841004184100415,0.6607007689648257
22,ARG,IDN,0.0068169900367068695,0.6555838202488616
23,ARG,IRL,0.01641079936474325,0.6834602779440943
24,ARG,ISR,0.015335801163405606,0.6686915266020504
25,ARG,ITA,0.0041841004184100415,0.6300147653157476
26,ARG,JPN,0.012658227848101266,0.6719189502737621
27,ARG,LVA,0.007874015748031496,0.6969848314537445
28,ARG,LBN,0.0036591740721380033,0.6307193040369222
29,ARG,LTU,0.0068169900367068695,0.6292758433144058
30,ARG,MYS,0.012658227848101266,0.678328967146717
31,ARG,MEX,0.008933263268523384,0.6541851901329646
32,ARG,MAR,0.00946372239747634,0.6378432190886679
33,ARG,NAM,0.008403361344537815,0.6245012825167664
34,ARG,NLD,0.007874015748031496,0.6401753014316441
35,ARG,NZL,0.005235602094240838,0.6387538618056818
