,c1,c2,jac,cos
2146,TWN,THA,0.3034623217922607,0.9213352966549163
2075,SVK,SVN,0.2516297262059974,0.9349042838984517
66,AUS,AUT,0.245136186770428,0.9147499110955868
1221,IND,IDN,0.2113564668769716,0.9296725493634579
1213,HUN,UGA,0.14014251781472684,0.8751697377481837
2183,UGA,UKR,0.13007651559741024,0.8380182357124848
1508,LBN,LTU,0.12808460634547592,0.8314663884911907
568,CHL,HKG,0.11627906976744186,0.7710256334325224
1391,ITA,JPN,0.11563044741429401,0.8285604011775783
2014,RUS,UKR,0.10535405872193437,0.8793538321119899
1268,IDN,JPN,0.10535405872193437,0.8322772269148866
1686,NAM,NOR,0.1047180667433832,0.7981986917644882
1310,IRL,JPN,0.09965635738831616,0.824073635515393
2026,SAU,SWE,0.09839816933638444,0.8289826816234082
1739,NLD,UKR,0.09714285714285714,0.7897383052665552
381,BRA,BGR,0.09526525955504848,0.8036285171629634
1775,NZL,ZWE,0.09464082098061574,0.7948272229530983
260,BEL,BGR,0.09401709401709402,0.8547508806911057
1471,LVA,LTU,0.09339407744874716,0.8252899475040321
1351,ISR,JPN,0.09028960817717206,0.8259704631461147
143,AUT,ETH,0.08535895986433013,0.7667161480957608
497,BGR,VEN,0.08047270680922904,0.7629455618144657
833,EGY,ETH,0.07563025210084033,0.8012476295981938
1776,NGA,NOR,0.07502799552071669,0.8111781204264455
822,CZE,TZA,0.07322526551145891,0.7642605619052606
2157,TZA,TUR,0.07023411371237458,0.7631342363721707
2208,VEN,VNM,0.06548279689234185,0.7261937029835
2044,SEN,SWE,0.064891846921797,0.7846486365584838
616,CHN,CUB,0.06430155210643015,0.8114234753826819
1833,PAK,PER,0.06371191135734072,0.7884331857564952
937,FRA,GHA,0.06371191135734072,0.8391243721434036
1980,ROU,RUS,0.05843439911797133,0.8436189617093097
223,BGD,MEX,0.05726872246696035,0.7239607016395514
14,ARG,ETH,0.055525013743815285,0.7059224618289968
2061,SRB,SWE,0.053208996160175534,0.7772271514965723
671,COL,CUB,0.052054794520547946,0.776392195872807
346,BWA,MEX,0.05090311986863711,0.7140712338671401
1616,MEX,MAR,0.04860731840524304,0.7276273343234609
1818,NOR,ZAF,0.04860731840524304,0.7337756740358794
1861,PER,POL,0.04746317512274959,0.7575110323608417
1121,GRC,TUR,0.04689203925845147,0.8235148950459962
2166,THA,TUR,0.04632152588555858,0.7331922631451464
916,ETH,SAU,0.042911461162411735,0.7329252381798688
986,DEU,GHA,0.04121475054229935,0.7610178073062399
1582,MYS,MAR,0.04008667388949079,0.7299431842755996
1445,JPN,POL,0.0367170626349892,0.7622270290293041
1911,POL,PRT,0.03559870550161812,0.7548888073049442
501,CAN,CHN,0.031149301825993556,0.7363211431418623
2092,SVN,SWE,0.031149301825993556,0.7473656934930866
2195,UKR,ZWE,0.030042918454935622,0.6864923200402414
1559,LTU,ROU,0.026189203634420097,0.7362701626752779
1175,HKG,ZWE,0.026189203634420097,0.6685656837422754
733,CUB,HKG,0.025093432995194873,0.7438956618426927
2124,SWE,TUR,0.022364217252396165,0.7571123636185809
2139,CHE,ARE,0.02127659574468085,0.7811656042277408
2196,ARE,GBR,0.02127659574468085,0.6876858085733998
2180,TUR,VEN,0.020191285866099893,0.696540574353314
1072,GHA,TZA,0.01856763925729443,0.7079657912953512
1910,PHL,ZWE,0.01856763925729443,0.7086917048087951
1659,MAR,PRT,0.01641079936474325,0.7209867564865374
1939,PRT,SEN,0.014799154334038054,0.7510242740872335
2113,ZAF,UKR,0.014799154334038054,0.602492596762368
2210,VNM,ZWE,0.011591148577449948,0.6794263712301238
2201,GBR,USA,0.007874015748031496,0.7093484385853862
2207,USA,ZWE,0.005235602094240838,0.7199140754335576
1976,KOR,USA,0.0,0.0
