,c1,c2,jac,cos
2075,SVK,SVN,0.2113564668769716,0.924600056699935
2146,TWN,THA,0.16293155663234404,0.8950540030941658
2014,RUS,UKR,0.11304347826086956,0.9396974064113776
1221,IND,IDN,0.10918544194107452,0.9003854549965481
66,AUS,AUT,0.07563025210084033,0.8495170716907244
994,DEU,ITA,0.07262569832402235,0.8923769936497998
936,FRA,DEU,0.067853170189099,0.8833547941004493
1483,LVA,POL,0.055525013743815285,0.8245148196866512
2059,SRB,SVN,0.054365733113673806,0.831637493439054
482,BGR,SRB,0.05378704720087816,0.8347385089212687
2183,UGA,UKR,0.053208996160175534,0.790959833977406
1213,HUN,UGA,0.05147864184008762,0.7929981675924049
1121,GRC,TUR,0.05090311986863711,0.910763761798921
2034,SAU,ARE,0.04404567699836868,0.8444548822178481
616,CHN,CUB,0.042911461162411735,0.848978802040449
847,EGY,LBN,0.041779706999457406,0.848838780972766
438,BRA,VEN,0.041779706999457406,0.7830819266420698
145,AUT,DEU,0.04008667388949079,0.8457543710259162
1914,POL,RUS,0.04008667388949079,0.8504473005342085
560,CHL,CUB,0.03952355170546833,0.8249085122501444
816,CZE,SVK,0.0367170626349892,0.817234930460579
1980,ROU,RUS,0.03615758229897464,0.8539106850221416
1508,LBN,LTU,0.0328133405056482,0.8101477420770982
2055,SEN,VEN,0.0328133405056482,0.7765716671377981
1732,NLD,SWE,0.03225806451612903,0.7717165059983281
1319,IRL,NZL,0.03225806451612903,0.7643386224224666
1370,ISR,RUS,0.03225806451612903,0.830310161688127
5,ARG,BRA,0.031149301825993556,0.7566834828057962
1268,IDN,JPN,0.031149301825993556,0.7917897694198517
1406,ITA,POL,0.030595813204508857,0.8257104773222915
1623,MEX,PER,0.028387787895018748,0.771811568632457
501,CAN,CHN,0.027287319422150885,0.8156401340029813
260,BEL,BGR,0.026737967914438502,0.7971857360773057
899,ETH,LTU,0.026189203634420097,0.7316395265733849
742,CUB,LBN,0.026189203634420097,0.8204063432033639
1819,NOR,SWE,0.025093432995194873,0.761402665837282
2124,SWE,TUR,0.025093432995194873,0.7914480200996349
1776,NGA,NOR,0.02290889717634523,0.69437468665994
1445,JPN,POL,0.022364217252396165,0.7520441093035877
709,COL,SVK,0.022364217252396165,0.7639445232623561
2158,TZA,UGA,0.022364217252396165,0.8151472533519546
1883,PER,VEN,0.021820117083555083,0.7704183800992906
2109,ZAF,TZA,0.02127659574468085,0.7838346047776464
1556,LTU,POL,0.02073365231259968,0.7433434997699664
2208,VEN,VNM,0.020191285866099893,0.7641328874646565
1747,NZL,NOR,0.01964949548592671,0.7150564216555434
196,BGD,BWA,0.01856763925729443,0.7315178398441311
1714,NAM,ZWE,0.018027571580063628,0.7770239590537129
2092,SVN,SWE,0.018027571580063628,0.7537065837557649
1164,HKG,TWN,0.017488076311605722,0.7321763150548412
1663,MAR,SAU,0.01641079936474325,0.7713829913631824
1942,PRT,SVN,0.01641079936474325,0.7354348898014058
378,BWA,VEN,0.015873015873015872,0.7228248472702925
1851,PAK,TUR,0.014263074484944533,0.7718125503686304
1072,GHA,TZA,0.013727560718057022,0.7854612171807224
1886,PHL,POL,0.013192612137203167,0.7391673333965271
2177,TUR,ARE,0.013192612137203167,0.8067021602271744
2134,CHE,TZA,0.012124406958355299,0.7967382418405358
2196,ARE,GBR,0.011058451816745656,0.7485545772975846
2169,THA,ARE,0.011058451816745656,0.7683773514387916
1592,MYS,PRT,0.00946372239747634,0.7113487060388946
2190,UKR,ARE,0.005762179151388162,0.7143343217807894
2201,GBR,USA,0.005762179151388162,0.731848167526817
1968,KOR,TWN,0.0041841004184100415,0.7696265416026583
2210,VNM,ZWE,0.0041841004184100415,0.7016381610690245
2205,USA,VEN,0.0026109660574412533,0.7285594803862113
