,c1,c2,jac,cos
0,ARG,AUS,0.028387787895018748,0.8429816607152569
1,ARG,AUT,0.06548279689234185,0.8908606587297051
2,ARG,BGD,0.053208996160175534,0.8576581025037955
3,ARG,BEL,0.053208996160175534,0.8717722897301582
4,ARG,BWA,0.042911461162411735,0.8369414178005888
5,ARG,BRA,0.1117544875506659,0.9217661253804512
6,ARG,BGR,0.09090909090909091,0.9011801886698729
7,ARG,CAN,0.02073365231259968,0.8176300858471598
8,ARG,CHL,0.1421772754312909,0.9348999654547959
9,ARG,CHN,0.023454157782515993,0.8395589038709378
10,ARG,COL,0.10854503464203233,0.9336147169641086
11,ARG,CUB,0.07142857142857142,0.8892958298627791
12,ARG,CZE,0.06963788300835655,0.8610068264028746
13,ARG,EGY,0.06430155210643015,0.8965070045014994
14,ARG,ETH,0.05726872246696035,0.8732165805359987
15,ARG,FRA,0.04860731840524304,0.8811170889501312
16,ARG,DEU,0.06077348066298342,0.8709041695842028
17,ARG,GHA,0.056105610561056105,0.8746731155558035
18,ARG,GRC,0.06963788300835655,0.8789908230868891
19,ARG,HKG,0.030042918454935622,0.8184397778728079
20,ARG,HUN,0.0829103214890017,0.8831068990921184
21,ARG,IND,0.02290889717634523,0.8184438116185044
22,ARG,IDN,0.06904231625835189,0.8912470429188788
23,ARG,IRL,0.030595813204508857,0.8562644868856814
24,ARG,ISR,0.03559870550161812,0.8458599539391167
25,ARG,ITA,0.07744107744107744,0.9076693461356545
26,ARG,JPN,0.04918032786885246,0.840724372181608
27,ARG,LVA,0.06666666666666667,0.8719538765903063
28,ARG,LBN,0.07142857142857142,0.8879406812462378
29,ARG,LTU,0.059018201875344733,0.8678475303071614
30,ARG,MYS,0.027837259100642397,0.8394656900334814
31,ARG,MEX,0.0847457627118644,0.9108169178563204
32,ARG,MAR,0.07322526551145891,0.8753709911681643
33,ARG,NAM,0.03727714748784441,0.8343131296072442
34,ARG,NLD,0.05378704720087816,0.866610316834055
35,ARG,NZL,0.028938906752411574,0.8044648818524728
36,ARG,NGA,0.03615758229897464,0.8464524468675998
37,ARG,NOR,0.05843439911797133,0.8548763460019241
38,ARG,PAK,0.03896103896103896,0.8565464088920978
39,ARG,PER,0.1117544875506659,0.9286062180398377
40,ARG,PHL,0.08169014084507042,0.9059511921371652
41,ARG,POL,0.06904231625835189,0.8794544655637673
42,ARG,PRT,0.0958904109589041,0.9051261928985125
43,ARG,KOR,0.0068169900367068695,0.8400308038596433
44,ARG,ROU,0.06607440310938367,0.8848763529887372
45,ARG,RUS,0.0367170626349892,0.8301835677733896
46,ARG,SAU,0.054365733113673806,0.8615994312015318
47,ARG,SEN,0.07322526551145891,0.8953322298489208
48,ARG,SRB,0.09215017064846416,0.8976078486045215
49,ARG,SVK,0.059018201875344733,0.8787604021510291
50,ARG,SVN,0.06548279689234185,0.8705612292019883
51,ARG,ZAF,0.030042918454935622,0.8210104363437531
52,ARG,SWE,0.059018201875344733,0.8567855724086302
53,ARG,CHE,0.07202680067001675,0.8941927666807754
54,ARG,TWN,0.04975396391470749,0.8596918445452105
55,ARG,TZA,0.06430155210643015,0.8970917623902714
56,ARG,THA,0.056686846450192625,0.8723584513458705
57,ARG,TUR,0.04461371055495103,0.8624483216646932
58,ARG,UGA,0.04065040650406504,0.8492059434749828
59,ARG,UKR,0.030042918454935622,0.8359061399943809
60,ARG,ARE,0.04065040650406504,0.8464629150970633
61,ARG,GBR,0.0068169900367068695,0.8123764988467712
62,ARG,USA,0.005762179151388162,0.7897052758742045
63,ARG,VEN,0.10918544194107452,0.9365428516656165
64,ARG,VNM,0.054945054945054944,0.8604650808452156
65,ARG,ZWE,0.056686846450192625,0.8723479441355142
66,AUS,AUT,0.04121475054229935,0.8696624133179135
67,AUS,BGD,0.02127659574468085,0.8182314551203096
68,AUS,BEL,0.01856763925729443,0.8381827906592669
69,AUS,BWA,0.02454642475987193,0.8141060098413779
70,AUS,BRA,0.029490616621983913,0.8384382185500607
71,AUS,BGR,0.01856763925729443,0.8317098502367043
72,AUS,CAN,0.04689203925845147,0.8650341515507187
73,AUS,CHL,0.02564102564102564,0.8193629206462317
74,AUS,CHN,0.05147864184008762,0.8752878414918361
75,AUS,COL,0.03170338527673294,0.8473475749643389
76,AUS,CUB,0.020191285866099893,0.8088225922315637
77,AUS,CZE,0.018027571580063628,0.7954508345086052
78,AUS,EGY,0.026737967914438502,0.860641133897471
79,AUS,ETH,0.024,0.8134015474940973
80,AUS,FRA,0.01964949548592671,0.8378489593870128
81,AUS,DEU,0.045182362547632006,0.8668872154601904
82,AUS,GHA,0.02073365231259968,0.8327652261550473
83,AUS,GRC,0.025093432995194873,0.8288315073926387
84,AUS,HKG,0.02127659574468085,0.8093699130705786
85,AUS,HUN,0.027837259100642397,0.8379591687484529
86,AUS,IND,0.028938906752411574,0.8238330901515304
87,AUS,IDN,0.04746317512274959,0.8721546172450281
88,AUS,IRL,0.03504043126684636,0.8619297639201294
89,AUS,ISR,0.03615758229897464,0.8504305476507856
90,AUS,ITA,0.023454157782515993,0.8354113777737313
91,AUS,JPN,0.028938906752411574,0.8187277866053119
92,AUS,LVA,0.03336921420882669,0.8365486871340038
