,c1,c2,jac,cos
2014,RUS,UKR,0.1524609843937575,0.9577941367114207
2075,SVK,SVN,0.14353782013103036,0.9418378316285547
8,ARG,CHL,0.1421772754312909,0.9348999654547959
816,CZE,SVK,0.1387900355871886,0.9393246740809285
1918,POL,SVK,0.13676731793960922,0.9424798159452195
483,BGR,SVK,0.13609467455621302,0.9472728637645406
414,BRA,PER,0.1340815121086828,0.9380978465488742
149,AUT,HUN,0.1334120425029516,0.936802864812669
723,COL,VEN,0.13274336283185842,0.952846773369619
1483,LVA,POL,0.12941176470588237,0.9263939438997446
1196,HUN,POL,0.12941176470588237,0.9370369569821126
1623,MEX,PER,0.12874779541446207,0.9388248106662724
588,CHL,PER,0.12808460634547592,0.9269149086941342
659,CHN,TWN,0.1267605633802817,0.9461565466133565
847,EGY,LBN,0.12412177985948478,0.9347924094442792
1282,IDN,PHL,0.12346401404330018,0.9354504547417467
2058,SRB,SVK,0.12280701754385964,0.9317321190951794
230,BGD,PAK,0.11888111888111888,0.9316628520429064
1010,DEU,POL,0.11888111888111888,0.93513038568117
1664,MAR,SEN,0.11822947000582411,0.9228243622813264
2165,TZA,ZWE,0.10918544194107452,0.9303833882214775
1819,NOR,SWE,0.10726643598615918,0.9176022744531951
925,ETH,TZA,0.1047180667433832,0.9278488191739768
1371,ISR,SAU,0.10408280621046578,0.9182821547890426
2047,SEN,TZA,0.10344827586206896,0.9322073836127782
1112,GRC,SRB,0.10344827586206896,0.9074669805661757
1984,ROU,SVK,0.10218140068886337,0.9168018537667152
1525,LBN,SAU,0.10028653295128939,0.9224863796129812
777,CUB,VEN,0.09965635738831616,0.9271777377008531
2189,UGA,ZWE,0.09777015437392796,0.9052349486955228
1564,LTU,SVK,0.09777015437392796,0.9228050875273486
1883,PER,VEN,0.09714285714285714,0.9312816887618386
1072,GHA,TZA,0.0958904109589041,0.9264654801314812
1417,ITA,SWE,0.09526525955504848,0.9016052976424144
1237,IND,PAK,0.09090909090909091,0.9177232542904226
370,BWA,TZA,0.08967082860385925,0.9016225163428071
1732,NLD,SWE,0.08843537414965986,0.9008338229482432
2154,TWN,VNM,0.08781869688385269,0.9063432634285138
1460,JPN,THA,0.08597285067873303,0.9000815260900578
1909,PHL,VNM,0.08413325804630152,0.8978091147254141
1804,NGA,ZWE,0.0835214446952596,0.9118267281396105
2173,THA,VNM,0.0829103214890017,0.9065639469686642
1848,PAK,TWN,0.0829103214890017,0.8950759832708014
288,BEL,NLD,0.08169014084507042,0.9144148815139879
2034,SAU,ARE,0.08108108108108109,0.8956304143204259
2120,SWE,CHE,0.08108108108108109,0.9052753181849583
2092,SVN,SWE,0.07744107744107744,0.8847332322332134
945,FRA,ITA,0.07744107744107744,0.9251593647118302
1936,PRT,ROU,0.07744107744107744,0.8939031298265147
1704,NAM,TZA,0.06725958866036687,0.8933087399357651
1164,HKG,TWN,0.06666666666666667,0.8851706701183808
100,AUS,NZL,0.06607440310938367,0.8747956432846876
1590,MYS,PHL,0.06371191135734072,0.8970009084249865
2209,VEN,ZWE,0.06371191135734072,0.8783622480093395
2119,ZAF,ZWE,0.055525013743815285,0.8645663647583521
2193,UKR,VEN,0.05090311986863711,0.8715022143882846
1319,IRL,NZL,0.05090311986863711,0.8517930321195694
2180,TUR,VEN,0.04860731840524304,0.8834612789000843
2134,CHE,TZA,0.04746317512274959,0.8935508227147617
2210,VNM,ZWE,0.04632152588555858,0.8533600231342466
1775,NZL,ZWE,0.04234527687296417,0.8419333849973571
527,CAN,NZL,0.03952355170546833,0.8251633035362629
2199,ARE,VNM,0.03559870550161812,0.8363450954636117
1968,KOR,TWN,0.012124406958355299,0.8636967522920544
2205,USA,VEN,0.008933263268523384,0.8304604808612589
2201,GBR,USA,0.008403361344537815,0.8181035753297524
