,c1,c2,jac,cos
0,ARG,AUS,0.0328133405056482,0.8266795968940572
1,ARG,AUT,0.0738255033557047,0.8231916970858407
2,ARG,BGD,0.03896103896103896,0.8099550553786071
3,ARG,BEL,0.04008667388949079,0.8524559917165141
4,ARG,BWA,0.011058451816745656,0.7717580114050974
5,ARG,BRA,0.0865874363327674,0.8579824451530734
6,ARG,BGR,0.06077348066298342,0.8095712367551914
7,ARG,CAN,0.029490616621983913,0.8193026054907367
8,ARG,CHL,0.055525013743815285,0.8094715122324647
9,ARG,CHN,0.01910828025477707,0.8057508764945811
10,ARG,COL,0.056686846450192625,0.8430651811696435
11,ARG,CUB,0.05090311986863711,0.8241773927854816
12,ARG,CZE,0.04404567699836868,0.8199234865351982
13,ARG,EGY,0.043478260869565216,0.8085420865963178
14,ARG,ETH,0.03615758229897464,0.771841237684151
15,ARG,FRA,0.056105610561056105,0.854199034454843
16,ARG,DEU,0.04461371055495103,0.8481592813889222
17,ARG,GHA,0.00946372239747634,0.7455092462579197
18,ARG,GRC,0.05032822757111598,0.8080013417052391
19,ARG,HKG,0.012124406958355299,0.7471996776810531
20,ARG,HUN,0.052054794520547946,0.8108608844101585
21,ARG,IND,0.011591148577449948,0.7945551281986979
22,ARG,IDN,0.04689203925845147,0.8514038529936382
23,ARG,IRL,0.04860731840524304,0.8395773195956515
24,ARG,ISR,0.04065040650406504,0.8229967466807
25,ARG,ITA,0.07502799552071669,0.874157860184031
26,ARG,JPN,0.030042918454935622,0.8057759818101256
27,ARG,LVA,0.04975396391470749,0.8006128657612427
28,ARG,LBN,0.05090311986863711,0.8315475490945358
29,ARG,LTU,0.03783783783783784,0.7792835836228829
30,ARG,MYS,0.015873015873015872,0.7954012761478906
31,ARG,MEX,0.05785123966942149,0.8544534258469764
32,ARG,MAR,0.029490616621983913,0.7805079118109037
33,ARG,NAM,0.00946372239747634,0.730256147004581
34,ARG,NLD,0.05147864184008762,0.7966629596553475
35,ARG,NZL,0.04404567699836868,0.8192390387113884
36,ARG,NGA,0.021820117083555083,0.741151625843707
37,ARG,NOR,0.042911461162411735,0.7880697618550182
38,ARG,PAK,0.01964949548592671,0.7944422068778367
39,ARG,PER,0.05032822757111598,0.8247081304701165
40,ARG,PHL,0.05843439911797133,0.813818530159241
41,ARG,POL,0.06077348066298342,0.8182871097489403
42,ARG,PRT,0.04689203925845147,0.7982616351661517
43,ARG,KOR,0.0026109660574412533,0.8095763867261629
44,ARG,ROU,0.06963788300835655,0.8345580001491791
45,ARG,RUS,0.030595813204508857,0.8057190617887474
46,ARG,SAU,0.04008667388949079,0.7997124388954658
47,ARG,SEN,0.011591148577449948,0.7608872398582376
48,ARG,SRB,0.06725958866036687,0.840050667818952
49,ARG,SVK,0.053208996160175534,0.8197741045560182
50,ARG,SVN,0.03727714748784441,0.7782943107705249
51,ARG,ZAF,0.0367170626349892,0.7808805919188915
52,ARG,SWE,0.06844741235392321,0.8266790591820584
53,ARG,CHE,0.0367170626349892,0.7989074486178136
54,ARG,TWN,0.03559870550161812,0.7728384945693256
