,c1,c2,jac,cos
994,DEU,ITA,0.170018281535649,0.944442110446141
2014,RUS,UKR,0.16293155663234404,0.9422455884375214
945,FRA,ITA,0.15942028985507245,0.9454261456077228
2075,SVK,SVN,0.1510791366906475,0.9161219192723896
230,BGD,PAK,0.13274336283185842,0.9303193237889905
270,BEL,DEU,0.12346401404330018,0.9351343011278818
1917,POL,SRB,0.11563044741429401,0.8809824307379293
1983,ROU,SRB,0.1136890951276102,0.9022096288905211
2061,SRB,SWE,0.10535405872193437,0.8777434197084021
1851,PAK,TUR,0.10344827586206896,0.9146812914391232
439,BRA,VNM,0.10344827586206896,0.8615844272020418
1422,ITA,TUR,0.10281447443997703,0.9279100624744838
659,CHN,TWN,0.10218140068886337,0.9207478050907122
177,AUT,SRB,0.10154905335628227,0.8816587565232319
867,EGY,SRB,0.09965635738831616,0.8689369772468654
1121,GRC,TUR,0.09777015437392796,0.9133236352670667
100,AUS,NZL,0.09777015437392796,0.900910395731676
1353,ISR,LBN,0.09651627641347801,0.9067471912330456
1527,LBN,SRB,0.09464082098061574,0.8870481073826066
1490,LVA,SRB,0.09464082098061574,0.878399508562888
1468,JPN,VNM,0.09277177006260671,0.8830594890527276
762,CUB,SRB,0.08843537414965986,0.8678629962111954
2145,TWN,TZA,0.08720271800679502,0.8680977616710438
5,ARG,BRA,0.0865874363327674,0.8579824451530734
1306,IDN,VNM,0.0847457627118644,0.8921167641930525
815,CZE,SRB,0.08413325804630152,0.8743031536486991
1819,NOR,SWE,0.08413325804630152,0.8582434743852416
1203,HUN,SRB,0.08413325804630152,0.8648331540820106
2131,SWE,VNM,0.08169014084507042,0.8499206612616865
2022,SAU,SRB,0.07865168539325842,0.8675115950637843
1309,IRL,ITA,0.07804604154969118,0.8933834897254253
478,BGR,ROU,0.07623318385650224,0.8823705251727317
1237,IND,PAK,0.07502799552071669,0.9082356428520695
2173,THA,VNM,0.0738255033557047,0.839853736200971
1868,PER,SRB,0.0738255033557047,0.8506222530550065
589,CHL,PHL,0.067853170189099,0.8385836498583974
1623,MEX,PER,0.06666666666666667,0.8830231193493302
1761,NZL,ZAF,0.06666666666666667,0.8434314220782211
708,COL,SRB,0.06548279689234185,0.8681152751810454
1732,NLD,SWE,0.06312292358803986,0.8325660074318427
2181,TUR,VNM,0.059018201875344733,0.8675058351980781
2118,ZAF,VNM,0.05785123966942149,0.8138825907523229
1897,PHL,SWE,0.05726872246696035,0.8308713978714247
2164,TZA,VNM,0.054365733113673806,0.834643618442472
1588,MYS,PAK,0.052054794520547946,0.8811844642678315
1944,PRT,SWE,0.052054794520547946,0.8273604265796278
1164,HKG,TWN,0.052054794520547946,0.8084695857584696
910,ETH,PHL,0.04975396391470749,0.8112462652956235
2188,UGA,VNM,0.04860731840524304,0.8265022766790426
1559,LTU,ROU,0.04689203925845147,0.8307500279079081
2103,SVN,VEN,0.04008667388949079,0.8120395900589773
1656,MAR,PER,0.04008667388949079,0.8058790820403884
1793,NGA,TWN,0.04008667388949079,0.7912551611886889
544,CAN,SWE,0.03896103896103896,0.8442942075980918
2142,CHE,VEN,0.03783783783783784,0.8080461909881445
2209,VEN,ZWE,0.033925686591276254,0.7972482040967219
2210,VNM,ZWE,0.031149301825993556,0.7929290559363451
2199,ARE,VNM,0.031149301825993556,0.8188472736006662
2193,UKR,VEN,0.030042918454935622,0.7953380212743468
363,BWA,SRB,0.02127659574468085,0.8130477224912707
1063,GHA,SAU,0.01694915254237288,0.7896359695985098
2055,SEN,VEN,0.01694915254237288,0.7746022240903342
1697,NAM,SRB,0.013192612137203167,0.7695140905237936
1968,KOR,TWN,0.008933263268523384,0.8390696164689222
2201,GBR,USA,0.007874015748031496,0.8250146072456558
2205,USA,VEN,0.005762179151388162,0.7755867260658684
