,c1,c2,jac,cos
66,AUS,AUT,0.26816380449141347,0.9341945821627016
2075,SVK,SVN,0.2395093608779858,0.906180682803689
1736,NLD,THA,0.07142857142857142,0.7643776596012068
2014,RUS,UKR,0.07142857142857142,0.8689092091276548
1318,IRL,NLD,0.06607440310938367,0.7987832366154104
1766,NZL,THA,0.061946902654867256,0.7605268485437006
1925,POL,THA,0.052054794520547946,0.7126310913373329
2135,CHE,THA,0.04975396391470749,0.702048686479297
2034,SAU,ARE,0.04008667388949079,0.7299974504107212
1353,ISR,LBN,0.03727714748784441,0.7436309838830115
1014,DEU,RUS,0.0367170626349892,0.7466172338048789
1565,LTU,SVN,0.03615758229897464,0.6833544432073484
1793,NGA,TWN,0.03504043126684636,0.6539219677038074
1490,LVA,SRB,0.03336921420882669,0.7432661967449812
2120,SWE,CHE,0.0328133405056482,0.7557311634266799
899,ETH,LTU,0.03170338527673294,0.7034892110472859
1525,LBN,SAU,0.031149301825993556,0.7046473405338253
843,EGY,ISR,0.030595813204508857,0.7417533485905634
461,BGR,LVA,0.030042918454935622,0.7341441527017581
558,CHL,CHN,0.028938906752411574,0.7161887923728899
1985,ROU,SVN,0.027837259100642397,0.6869413311838433
693,COL,NAM,0.027837259100642397,0.6414073739797502
960,FRA,PHL,0.026737967914438502,0.7688860718295405
659,CHN,TWN,0.026737967914438502,0.7595047030579589
1697,NAM,SRB,0.026189203634420097,0.6794795307041958
1272,IDN,MYS,0.02454642475987193,0.7295500667092655
1180,HUN,ITA,0.024,0.7207813910063583
1458,JPN,TWN,0.023454157782515993,0.7110226093224702
1164,HKG,TWN,0.023454157782515993,0.6477284558884612
2196,ARE,GBR,0.023454157782515993,0.7261880982232392
1406,ITA,POL,0.022364217252396165,0.689554668338011
2154,TWN,VNM,0.022364217252396165,0.656668568721941
211,BGD,HKG,0.02127659574468085,0.7029097130235584
2058,SRB,SVK,0.01910828025477707,0.6803299320917117
177,AUT,SRB,0.018027571580063628,0.6705492117265704
438,BRA,VEN,0.018027571580063628,0.6262784353112173
63,ARG,VEN,0.018027571580063628,0.6643878250319486
1865,PER,RUS,0.017488076311605722,0.68859259855718
1089,GRC,ITA,0.017488076311605722,0.7192032314859961
2157,TZA,TUR,0.01694915254237288,0.6488607679185795
768,CUB,TWN,0.01641079936474325,0.6332745829991575
1899,PHL,TWN,0.01641079936474325,0.6297838744229024
2040,SEN,SRB,0.01641079936474325,0.697933889870903
1598,MYS,SRB,0.015873015873015872,0.6897038435783411
1840,PAK,SAU,0.015335801163405606,0.6748340089204116
259,BEL,BRA,0.015335801163405606,0.6867184218256052
2095,SVN,TZA,0.014799154334038054,0.6099534557290794
2208,VEN,VNM,0.014263074484944533,0.6201222954979975
1045,GHA,LBN,0.013727560718057022,0.7040866824375799
1616,MEX,MAR,0.013727560718057022,0.6224725052399163
544,CAN,SWE,0.012658227848101266,0.6953454420581148
1223,IND,ISR,0.012658227848101266,0.7191754541466983
1949,PRT,TUR,0.012658227848101266,0.6737168078055538
1817,NOR,SVN,0.012124406958355299,0.6612322918777169
2173,THA,VNM,0.011591148577449948,0.6190110550080625
364,BWA,SVK,0.010526315789473684,0.6199883579213147
2183,UGA,UKR,0.009994739610731194,0.6352914049519885
1650,MAR,NAM,0.009994739610731194,0.5675972067557885
2181,TUR,VNM,0.00946372239747634,0.644097089105979
2205,USA,VEN,0.008403361344537815,0.6777179204385874
2210,VNM,ZWE,0.007345225603357817,0.6095478284400954
2119,ZAF,ZWE,0.006289308176100629,0.6267684476370197
2201,GBR,USA,0.006289308176100629,0.7527384669993015
832,CZE,ZWE,0.006289308176100629,0.6016343827433275
2194,UKR,VNM,0.005762179151388162,0.5887190488694309
1958,KOR,ROU,0.0,0.0
