,c1,c2,jac,cos
2014,RUS,UKR,0.13744075829383887,0.9055658526972499
2075,SVK,SVN,0.1347517730496454,0.8300800232664158
659,CHN,TWN,0.1340815121086828,0.9231455320275099
2208,VEN,VNM,0.12808460634547592,0.8020259964830297
1685,NAM,NGA,0.1117544875506659,0.8635956242137565
2040,SEN,SRB,0.10218140068886337,0.8129384766894996
1616,MEX,MAR,0.09714285714285714,0.8140792014028854
798,CZE,MEX,0.09651627641347801,0.8252765147167344
1557,LTU,PRT,0.09526525955504848,0.8026046264022408
1221,IND,IDN,0.09152927799886298,0.876792242191122
1142,HKG,MAR,0.08967082860385925,0.8151996652184382
1851,PAK,TUR,0.08535895986433013,0.8212358055068393
742,CUB,LBN,0.07442641298265248,0.8099499902319406
1319,IRL,NZL,0.07202680067001675,0.8492829085122358
1819,NOR,SWE,0.06963788300835655,0.8163515829236015
14,ARG,ETH,0.06725958866036687,0.8194930552846013
318,BEL,VNM,0.06666666666666667,0.8252231619060139
1490,LVA,SRB,0.064891846921797,0.8487748610658556
1289,IDN,SEN,0.06253458771444383,0.8043643876470767
2120,SWE,CHE,0.056105610561056105,0.805126917824339
1528,LBN,SVK,0.054365733113673806,0.7982156250511685
692,COL,MAR,0.05378704720087816,0.783873676650509
459,BGR,ITA,0.05147864184008762,0.8275920015003313
1985,ROU,SVN,0.04975396391470749,0.7964509305012115
156,AUT,LVA,0.045182362547632006,0.8412528808923249
1715,NLD,NZL,0.04404567699836868,0.785726673633445
214,BGD,IDN,0.043478260869565216,0.7418425485548104
2104,SVN,VNM,0.04008667388949079,0.7931151491823245
1388,ISR,VEN,0.03952355170546833,0.7729603198856765
914,ETH,ROU,0.03839913466738778,0.7814004490926314
1421,ITA,THA,0.03783783783783784,0.8077594746523644
2146,TWN,THA,0.03504043126684636,0.842612281395909
2022,SAU,SRB,0.03225806451612903,0.7737442418392722
2183,UGA,UKR,0.03225806451612903,0.7695529071191693
74,AUS,CHN,0.03170338527673294,0.8637702506460805
961,FRA,POL,0.031149301825993556,0.7803845770891182
410,BRA,NZL,0.031149301825993556,0.7448533517959414
1751,NZL,POL,0.028387787895018748,0.7577470679588995
2064,SRB,TZA,0.026737967914438502,0.8152747310212207
579,CHL,MYS,0.026737967914438502,0.7788962977465196
1595,MYS,RUS,0.025093432995194873,0.7845770357273465
1911,POL,PRT,0.024,0.7216027314115722
1951,PRT,UKR,0.02290889717634523,0.7084951407454426
1783,NGA,ROU,0.02073365231259968,0.7680120097120927
332,BWA,GHA,0.01910828025477707,0.7801626952098352
843,EGY,ISR,0.01856763925729443,0.7973768253080464
1075,GHA,UGA,0.01856763925729443,0.8480915628919461
1013,DEU,ROU,0.018027571580063628,0.7843255977379455
1088,GRC,ISR,0.017488076311605722,0.800869803095989
509,CAN,GHA,0.01641079936474325,0.83805844369069
1900,PHL,TZA,0.015873015873015872,0.7958252143180015
2118,ZAF,VNM,0.015335801163405606,0.7306411255011336
2193,UKR,VEN,0.013192612137203167,0.6692805232911635
2158,TZA,UGA,0.012124406958355299,0.8310248827107475
2198,ARE,VEN,0.009994739610731194,0.7121091548944632
2176,TUR,UKR,0.00946372239747634,0.7027667057038229
1204,HUN,SVK,0.00946372239747634,0.7379313731487586
1664,MAR,SEN,0.00946372239747634,0.707215509726459
1864,PER,ROU,0.008933263268523384,0.7564150922390864
1458,JPN,TWN,0.007874015748031496,0.8022796028966293
2167,THA,UGA,0.007345225603357817,0.7981596524675181
2137,CHE,UGA,0.005235602094240838,0.8221621717972843
2210,VNM,ZWE,0.004709576138147566,0.7377835084973344
2202,GBR,VEN,0.0041841004184100415,0.6586808806388735
2205,USA,VEN,0.0041841004184100415,0.6691728421966596
1973,KOR,UKR,0.0,0.0
