,c1,c2,jac,cos
2014,RUS,UKR,0.17503059975520197,0.9473540584553347
2075,SVK,SVN,0.14421930870083433,0.8997030777085732
1490,LVA,SRB,0.07804604154969118,0.8413097134540178
145,AUT,DEU,0.07804604154969118,0.9075258841154953
659,CHN,TWN,0.07442641298265248,0.9129456996836547
482,BGR,SRB,0.07262569832402235,0.8429674439130107
1010,DEU,POL,0.07262569832402235,0.8987178893342246
945,FRA,ITA,0.06963788300835655,0.9175668998394223
1914,POL,RUS,0.06844741235392321,0.8911004963185568
1089,GRC,ITA,0.06077348066298342,0.9073737003441813
2034,SAU,ARE,0.06018774157923799,0.8483250272599829
414,BRA,PER,0.059602649006622516,0.8306445473215552
808,CZE,POL,0.059018201875344733,0.8563098302975639
847,EGY,LBN,0.056686846450192625,0.8078528479834763
1685,NAM,NGA,0.054945054945054944,0.8308599344355145
1819,NOR,SWE,0.04975396391470749,0.8160927934370321
1406,ITA,POL,0.04860731840524304,0.8773804674536279
2040,SEN,SRB,0.04632152588555858,0.8078846007185212
1525,LBN,SAU,0.04404567699836868,0.8061706014404434
2120,SWE,CHE,0.04404567699836868,0.8271163231818216
588,CHL,PER,0.043478260869565216,0.7922540587458536
2058,SRB,SVK,0.042911461162411735,0.8281563018553025
753,CUB,PER,0.041779706999457406,0.814877895727573
1900,PHL,TZA,0.04121475054229935,0.8134232144240181
1794,NGA,TZA,0.04065040650406504,0.8162846025977092
2158,TZA,UGA,0.03952355170546833,0.8483372703277718
1983,ROU,SRB,0.03952355170546833,0.8098956874890917
1221,IND,IDN,0.03839913466738778,0.8739951710473731
2173,THA,VNM,0.03783783783783784,0.8290935468670205
1371,ISR,SAU,0.03783783783783784,0.8179165225133515
1282,IDN,PHL,0.03727714748784441,0.81628275006653
72,AUS,CAN,0.03559870550161812,0.823833291950347
1460,JPN,THA,0.03504043126684636,0.8639037037634619
2208,VEN,VNM,0.03504043126684636,0.7816396619019099
1851,PAK,TUR,0.034482758620689655,0.8166624935795453
1319,IRL,NZL,0.03336921420882669,0.7870882796981031
2146,TWN,THA,0.03170338527673294,0.8315756243291942
1883,PER,VEN,0.03170338527673294,0.7971478594613495
1196,HUN,POL,0.03170338527673294,0.8042534469933054
1606,MYS,THA,0.031149301825993556,0.8511280526618471
1623,MEX,PER,0.030595813204508857,0.7771331863243863
270,BEL,DEU,0.030595813204508857,0.8421899501013423
699,COL,PER,0.029490616621983913,0.7944926687878493
63,ARG,VEN,0.029490616621983913,0.8069914731831982
1664,MAR,SEN,0.028387787895018748,0.7583211322607724
1765,NZL,TZA,0.028387787895018748,0.7713802194914315
2109,ZAF,TZA,0.027837259100642397,0.7890944224109196
544,CAN,SWE,0.02564102564102564,0.7780162857253449
1164,HKG,TWN,0.024,0.7869259659727219
1557,LTU,PRT,0.023454157782515993,0.7782266726474549
2189,UGA,ZWE,0.022364217252396165,0.7719353752613861
1053,GHA,NGA,0.021820117083555083,0.7925536001474873
2177,TUR,ARE,0.021820117083555083,0.8137462192282917
332,BWA,GHA,0.02073365231259968,0.7813182372371876
1940,PRT,SRB,0.020191285866099893,0.7936305761581145
1732,NLD,SWE,0.01856763925729443,0.7585030899346643
930,ETH,ARE,0.01856763925729443,0.7889276429500852
212,BGD,HUN,0.015873015873015872,0.7422947894497971
2135,CHE,THA,0.015335801163405606,0.8079010456102141
2095,SVN,TZA,0.012658227848101266,0.753378776456882
2200,ARE,ZWE,0.011591148577449948,0.7801891162085851
2210,VNM,ZWE,0.011058451816745656,0.7277492942297853
2193,UKR,VEN,0.009994739610731194,0.7340418151805658
1976,KOR,USA,0.0036591740721380033,0.809992618908448
2202,GBR,VEN,0.0026109660574412533,0.7605267096160356
2205,USA,VEN,0.0026109660574412533,0.7168270903285516
