,c1,c2,jac,cos
2075,SVK,SVN,0.26398946675444374,0.9703986567962791
2014,RUS,UKR,0.20527306967984935,0.958225705740634
847,EGY,LBN,0.18081180811808117,0.9483972348213925
483,BGR,SVK,0.1800860479409957,0.9436717322109714
1819,NOR,SWE,0.16152450090744103,0.9305252053009192
2058,SRB,SVK,0.16012084592145015,0.9323617680751193
723,COL,VEN,0.15942028985507245,0.9381731822798944
1664,MAR,SEN,0.15732368896925858,0.9187755817676535
1471,LVA,LTU,0.15732368896925858,0.93669458008202
1623,MEX,PER,0.1559301625526791,0.9363451332952208
816,CZE,SVK,0.1559301625526791,0.926605582748217
145,AUT,DEU,0.1552346570397112,0.9403256227555717
2158,TZA,UGA,0.15384615384615385,0.9427229206101374
1353,ISR,LBN,0.15315315315315314,0.9429685763639347
1918,POL,SVK,0.14832535885167464,0.9291468940768552
1525,LBN,SAU,0.14832535885167464,0.929649756237353
230,BGD,PAK,0.14695340501792115,0.9302612663429478
1021,DEU,SWE,0.14421930870083433,0.9283050497096116
380,BWA,ZWE,0.14421930870083433,0.9262542259954955
1196,HUN,POL,0.14149821640903687,0.9281042994713365
2173,THA,VNM,0.1387900355871886,0.9219491602627298
5,ARG,BRA,0.13811499703615887,0.9139282490425289
1696,NAM,SEN,0.1347517730496454,0.9126718808370569
1121,GRC,TUR,0.1347517730496454,0.9266061583419353
414,BRA,PER,0.1347517730496454,0.9264971717665974
2047,SEN,TZA,0.1334120425029516,0.9213580519448847
1564,LTU,SVK,0.13007651559741024,0.9234630545613488
1282,IDN,PHL,0.12874779541446207,0.9294589457865602
1883,PER,VEN,0.12874779541446207,0.9264355710015926
580,CHL,MEX,0.12478031634446397,0.9101171419277228
1901,PHL,THA,0.12412177985948478,0.9202267703707439
1237,IND,PAK,0.12346401404330018,0.9200948433578492
291,BEL,NOR,0.12149532710280374,0.9050428074270627
1460,JPN,THA,0.12084063047285463,0.9041496550752901
2189,UGA,ZWE,0.11822947000582411,0.9093828380021557
2154,TWN,VNM,0.11822947000582411,0.9127621035810516
902,ETH,MAR,0.11498257839721254,0.8948034840874115
1717,NLD,NOR,0.11304347826086956,0.8945424783583067
2120,SWE,CHE,0.11304347826086956,0.9204953274611137
659,CHN,TWN,0.11239860950173812,0.921993258477172
1075,GHA,UGA,0.11239860950173812,0.9050434430607016
2022,SAU,SRB,0.11046847888953153,0.8832351993782037
1840,PAK,SAU,0.10854503464203233,0.9003813631669609
1984,ROU,SVK,0.10790536641661858,0.909140292899405
745,CUB,MEX,0.10281447443997703,0.9189616057537418
1406,ITA,POL,0.10281447443997703,0.9077680913000981
945,FRA,ITA,0.10218140068886337,0.9166448264463041
1804,NGA,ZWE,0.10091743119266056,0.9178402189314038
66,AUS,AUT,0.09965635738831616,0.9027436564751398
2092,SVN,SWE,0.09777015437392796,0.8937884507614942
1164,HKG,TWN,0.09277177006260671,0.8859141949767482
1590,MYS,PHL,0.0890527509926262,0.9075535485361944
2135,CHE,THA,0.08413325804630152,0.8968758932114453
1321,IRL,NOR,0.0835214446952596,0.881253990962359
2176,TUR,UKR,0.08108108108108109,0.8913167631567038
2119,ZAF,ZWE,0.07925801011804384,0.8679166796661187
1939,PRT,SEN,0.07502799552071669,0.8694047678498595
2209,VEN,ZWE,0.0738255033557047,0.8775235618535137
526,CAN,NLD,0.07083100948131622,0.8721987465478168
2193,UKR,VEN,0.07083100948131622,0.8829680053063416
2210,VNM,ZWE,0.07023411371237458,0.8599270567598244
2198,ARE,VEN,0.05726872246696035,0.8487017120904551
1775,NZL,ZWE,0.034482758620689655,0.8620819943281274
2201,GBR,USA,0.01694915254237288,0.8099386743293154
1968,KOR,TWN,0.01694915254237288,0.8118502835655259
2205,USA,VEN,0.01694915254237288,0.8251628527099361
