,c1,c2,jac,cos
2075,SVK,SVN,0.16012084592145015,0.9425895386027183
2014,RUS,UKR,0.15176964607078583,0.9478118543062768
414,BRA,PER,0.15176964607078583,0.9317455726393973
8,ARG,CHL,0.15176964607078583,0.9284922746932136
149,AUT,HUN,0.1449016100178891,0.9332330832043813
1918,POL,SVK,0.1449016100178891,0.9315975634290201
1196,HUN,POL,0.14149821640903687,0.9284181977047443
588,CHL,PER,0.1394658753709199,0.925293410174754
1471,LVA,LTU,0.1394658753709199,0.9296738080836161
1819,NOR,SWE,0.13811499703615887,0.9150273305474848
699,COL,PER,0.13609467455621302,0.9395670404158047
483,BGR,SVK,0.1354228267297457,0.9414418387073694
1623,MEX,PER,0.1334120425029516,0.9326862733392225
816,CZE,SVK,0.1314083677077195,0.9232188548040315
2158,TZA,UGA,0.12941176470588237,0.9258195576876944
1282,IDN,PHL,0.1267605633802817,0.930358419393589
1010,DEU,POL,0.12609970674486803,0.9263876779637465
230,BGD,PAK,0.12609970674486803,0.923130691371714
2058,SRB,SVK,0.1254396248534584,0.9223000041430536
925,ETH,TZA,0.1254396248534584,0.9246338998368545
865,EGY,SAU,0.12412177985948478,0.9198358323861582
1664,MAR,SEN,0.12215078901227353,0.921921910405013
2047,SEN,TZA,0.12149532710280374,0.9280605117107926
1983,ROU,SRB,0.11627906976744186,0.9051123346661601
1237,IND,PAK,0.11627906976744186,0.9191045513151253
1556,LTU,POL,0.11563044741429401,0.9209688957147296
2173,THA,VNM,0.1111111111111111,0.9054411471879946
1732,NLD,SWE,0.11046847888953153,0.8991295455081167
1112,GRC,SRB,0.10662824207492795,0.8966319965106587
1860,PER,PHL,0.10662824207492795,0.9047133132280685
291,BEL,NOR,0.10599078341013825,0.9025969235290573
1072,GHA,TZA,0.10599078341013825,0.924498846753653
777,CUB,VEN,0.10599078341013825,0.9192259140017337
659,CHN,TWN,0.1047180667433832,0.9248374007742515
2120,SWE,CHE,0.10281447443997703,0.9059668980595392
2189,UGA,ZWE,0.10218140068886337,0.8987258841273198
370,BWA,TZA,0.10154905335628227,0.8994129390426256
1525,LBN,SAU,0.10154905335628227,0.912707755562762
1804,NGA,ZWE,0.10154905335628227,0.9121488157204884
1900,PHL,TZA,0.09839816933638444,0.9091559867316108
1417,ITA,SWE,0.09777015437392796,0.9023423654203929
2154,TWN,VNM,0.09651627641347801,0.9007380043854579
2092,SVN,SWE,0.09526525955504848,0.8820863530997648
1590,MYS,PHL,0.09464082098061574,0.905215690717299
1460,JPN,THA,0.09464082098061574,0.9003647165959305
1936,PRT,ROU,0.09152927799886298,0.8936647153077122
1371,ISR,SAU,0.09090909090909091,0.8995036569792236
945,FRA,ITA,0.0865874363327674,0.9214344208610102
1164,HKG,TWN,0.08535895986433013,0.8848367653891692
1848,PAK,TWN,0.08413325804630152,0.8819779191048819
2028,SAU,TWN,0.08169014084507042,0.8693126387563945
2209,VEN,ZWE,0.08047270680922904,0.8827222040255053
2135,CHE,THA,0.07083100948131622,0.8814532086541885
1704,NAM,TZA,0.06548279689234185,0.8855282577081962
2193,UKR,VEN,0.06312292358803986,0.871803730772846
1321,IRL,NOR,0.061946902654867256,0.8676440905621241
2210,VNM,ZWE,0.061946902654867256,0.8498118598286186
72,AUS,CAN,0.06077348066298342,0.8724270356665852
2181,TUR,VNM,0.059602649006622516,0.8500119663000084
2109,ZAF,TZA,0.059018201875344733,0.8646230183153958
2196,ARE,GBR,0.04065040650406504,0.8276099268785235
515,CAN,IRL,0.03783783783783784,0.8379959066105273
1775,NZL,ZWE,0.026189203634420097,0.8529929047113322
2201,GBR,USA,0.013727560718057022,0.8028549847779082
1968,KOR,TWN,0.013727560718057022,0.8167602579378549
2205,USA,VEN,0.009994739610731194,0.8089435667533
