,c1,c2,jac,cos
2075,SVK,SVN,0.16717325227963525,0.9506856697788968
2014,RUS,UKR,0.16646415552855406,0.957756156769703
149,AUT,HUN,0.13074204946996468,0.9241951609068974
2158,TZA,UGA,0.12346401404330018,0.9251163977289686
230,BGD,PAK,0.11757857974388825,0.9262488305714314
373,BWA,UGA,0.1169284467713787,0.9111011914537724
2059,SRB,SVN,0.11627906976744186,0.916006714072796
482,BGR,SRB,0.11627906976744186,0.924248690665485
816,CZE,SVK,0.11498257839721254,0.9278233879993822
8,ARG,CHL,0.11304347826086956,0.9245024617069725
723,COL,VEN,0.1117544875506659,0.9380892764279262
659,CHN,TWN,0.10982658959537572,0.9198525518773231
1819,NOR,SWE,0.10982658959537572,0.9203884950945245
847,EGY,LBN,0.10854503464203233,0.9239478187193421
1204,HUN,SVK,0.10599078341013825,0.9218833044982175
414,BRA,PER,0.10599078341013825,0.9196014351335151
588,CHL,PER,0.10281447443997703,0.916728500082404
1082,GHA,ZWE,0.10154905335628227,0.9115554835464384
1647,MEX,VEN,0.10154905335628227,0.9280190665584321
1664,MAR,SEN,0.10028653295128939,0.909247294259898
1121,GRC,TUR,0.09902690326273612,0.9165193651310339
1556,LTU,POL,0.09777015437392796,0.9078290988435469
1353,ISR,LBN,0.09526525955504848,0.9289335475670707
1918,POL,SVK,0.09339407744874716,0.9200113808286222
2189,UGA,ZWE,0.09277177006260671,0.9087235470665616
1883,PER,VEN,0.09090909090909091,0.9177462849949468
1021,DEU,SWE,0.09028960817717206,0.9083967958546679
2173,THA,VNM,0.09028960817717206,0.9071124938617369
1282,IDN,PHL,0.09028960817717206,0.9204750555363277
1237,IND,PAK,0.0890527509926262,0.9085440779049062
2154,TWN,VNM,0.08597285067873303,0.8886999266948753
1525,LBN,SAU,0.08535895986433013,0.9129846300348741
1983,ROU,SRB,0.08535895986433013,0.897507611151604
1804,NGA,ZWE,0.0847457627118644,0.9100114510771629
1732,NLD,SWE,0.0829103214890017,0.8982211662720248
288,BEL,NLD,0.08108108108108109,0.9067751590972767
2047,SEN,TZA,0.08108108108108109,0.902828482251899
935,ETH,ZWE,0.08047270680922904,0.8954627805362632
1458,JPN,TWN,0.07925801011804384,0.8982554757438257
777,CUB,VEN,0.07804604154969118,0.9109727037811026
1707,NAM,UGA,0.07744107744107744,0.8863696279969563
1840,PAK,SAU,0.07442641298265248,0.8908665773728572
2120,SWE,CHE,0.07262569832402235,0.9035151367645355
1901,PHL,THA,0.07262569832402235,0.8951744870802558
1164,HKG,TWN,0.07202680067001675,0.8837391055944868
1406,ITA,POL,0.06725958866036687,0.890874861998206
1471,LVA,LTU,0.06666666666666667,0.867583525884799
2034,SAU,ARE,0.064891846921797,0.8862788854357737
1588,MYS,PAK,0.06430155210643015,0.8932195466116158
1936,PRT,ROU,0.06371191135734072,0.88087694227044
66,AUS,AUT,0.061946902654867256,0.8732500855963796
2092,SVN,SWE,0.06135986733001658,0.8634568268712979
945,FRA,ITA,0.059018201875344733,0.9135851991826899
2209,VEN,ZWE,0.056686846450192625,0.8713030690341351
2135,CHE,THA,0.056686846450192625,0.8848118615685502
1321,IRL,NOR,0.054365733113673806,0.8617833763086861
2181,TUR,VNM,0.05378704720087816,0.8477087067452058
2109,ZAF,TZA,0.052054794520547946,0.8488475658716391
2193,UKR,VEN,0.04918032786885246,0.8710531597676995
2210,VNM,ZWE,0.03615758229897464,0.8333493460267701
529,CAN,NOR,0.03225806451612903,0.8153847946404482
2198,ARE,VEN,0.02564102564102564,0.8356315595217501
1775,NZL,ZWE,0.02073365231259968,0.84510391995734
2201,GBR,USA,0.01641079936474325,0.7912399174347217
2205,USA,VEN,0.007874015748031496,0.8015807977683056
1968,KOR,TWN,0.0068169900367068695,0.8178499493453006
