,c1,c2,jac,cos
2014,RUS,UKR,0.1771919068056407,0.9665873587836745
2075,SVK,SVN,0.14353782013103036,0.9505338040900656
816,CZE,SVK,0.1267605633802817,0.942046526673848
2158,TZA,UGA,0.12609970674486803,0.936065668021085
149,AUT,HUN,0.12084063047285463,0.9259282938920905
659,CHN,TWN,0.11888111888111888,0.9475356519172322
723,COL,VEN,0.1169284467713787,0.9498175269862158
482,BGR,SRB,0.11563044741429401,0.934060855597783
2059,SRB,SVN,0.11239860950173812,0.9178669199373823
847,EGY,LBN,0.1117544875506659,0.9301404241609312
8,ARG,CHL,0.10982658959537572,0.9304018294773844
1819,NOR,SWE,0.10408280621046578,0.9196672024317144
348,BWA,NAM,0.10408280621046578,0.9124186150690915
1196,HUN,POL,0.10344827586206896,0.9145996615522356
1353,ISR,LBN,0.10281447443997703,0.9374793665188411
230,BGD,PAK,0.09965635738831616,0.9330216628101557
414,BRA,PER,0.09777015437392796,0.9238622683824027
588,CHL,PER,0.09651627641347801,0.9167512340246603
1647,MEX,VEN,0.0958904109589041,0.9352758490685567
2189,UGA,ZWE,0.0958904109589041,0.9178827248764625
1664,MAR,SEN,0.09464082098061574,0.9092324464170828
1556,LTU,POL,0.09277177006260671,0.9130807036546178
1918,POL,SVK,0.09277177006260671,0.9318295503616216
1010,DEU,POL,0.09152927799886298,0.9236133322865224
1525,LBN,SAU,0.0890527509926262,0.9222665623742927
777,CUB,VEN,0.08843537414965986,0.9241852608263149
1883,PER,VEN,0.08781869688385269,0.9223862117897691
1121,GRC,TUR,0.08720271800679502,0.9264476981436943
288,BEL,NLD,0.08597285067873303,0.9135610142948166
1282,IDN,PHL,0.0847457627118644,0.9232614416271289
2173,THA,VNM,0.0847457627118644,0.9047853880105359
1082,GHA,ZWE,0.08229988726042842,0.9184979106083236
1714,NAM,ZWE,0.08108108108108109,0.9002271018597693
2050,SEN,UGA,0.07865168539325842,0.885484697071651
1804,NGA,ZWE,0.0738255033557047,0.9108295178704853
917,ETH,SEN,0.07202680067001675,0.8889327445688815
1983,ROU,SRB,0.07142857142857142,0.899982370266214
2154,TWN,VNM,0.06904231625835189,0.8895423410164155
1840,PAK,SAU,0.06844741235392321,0.9022240416956585
2120,SWE,CHE,0.067853170189099,0.9020934927176332
1406,ITA,POL,0.067853170189099,0.8943020382918077
1732,NLD,SWE,0.06725958866036687,0.8947154068823533
1471,LVA,LTU,0.06430155210643015,0.8803212775769329
2034,SAU,ARE,0.06430155210643015,0.909226003133629
1458,JPN,TWN,0.06253458771444383,0.8997409985814152
1237,IND,PAK,0.06077348066298342,0.9047389732240034
1901,PHL,THA,0.059018201875344733,0.896547754360724
1164,HKG,TWN,0.05785123966942149,0.8778575890129424
945,FRA,ITA,0.056105610561056105,0.9175241857689395
2092,SVN,SWE,0.054945054945054944,0.8641255539283167
1775,NZL,ZWE,0.04975396391470749,0.8480191202490774
1936,PRT,ROU,0.04860731840524304,0.8796612187523274
119,AUS,TWN,0.04689203925845147,0.870384247991479
2119,ZAF,ZWE,0.04689203925845147,0.8567579328667353
2209,VEN,ZWE,0.042911461162411735,0.8688605303893701
1588,MYS,PAK,0.04234527687296417,0.8782783280359394
2135,CHE,THA,0.04065040650406504,0.8788300277670299
2180,TUR,VEN,0.03727714748784441,0.8717656906769295
1321,IRL,NOR,0.03504043126684636,0.8547082744124672
2193,UKR,VEN,0.03225806451612903,0.8684367532015052
2210,VNM,ZWE,0.027837259100642397,0.8260201099831136
527,CAN,NZL,0.026189203634420097,0.827865559254607
2196,ARE,GBR,0.021820117083555083,0.8187189031547204
2201,GBR,USA,0.014263074484944533,0.8097709425080454
2205,USA,VEN,0.0068169900367068695,0.8242551139718879
1968,KOR,TWN,0.006289308176100629,0.8688140480955404
