,c1,c2,jac,cos
0,ARG,AUS,0.09464082098061574,0.8401568193204996
1,ARG,AUT,0.055525013743815285,0.8182016092261584
2,ARG,BGD,0.020191285866099893,0.7407208594533982
3,ARG,BEL,0.0,0.0
4,ARG,BWA,0.0,0.0
5,ARG,BRA,0.06666666666666667,0.822650746281941
6,ARG,BGR,0.056105610561056105,0.8093194349391984
7,ARG,CAN,0.026189203634420097,0.7474041660699942
8,ARG,CHL,0.0,0.0
9,ARG,CHN,0.07865168539325842,0.8342452602457476
10,ARG,COL,0.08967082860385925,0.8622800188988241
11,ARG,CUB,0.03336921420882669,0.782034226799862
12,ARG,CZE,0.0,0.0
13,ARG,EGY,0.04008667388949079,0.7780411758320992
14,ARG,ETH,0.04975396391470749,0.7645338494681001
15,ARG,FRA,0.0,0.0
16,ARG,DEU,0.0,0.0
17,ARG,GHA,0.0,0.0
18,ARG,GRC,0.04404567699836868,0.7792692419221621
19,ARG,HKG,0.0,0.0
20,ARG,HUN,0.03783783783783784,0.7459201191954073
21,ARG,IND,0.06725958866036687,0.8170932209698901
22,ARG,IDN,0.09651627641347801,0.8420324150318036
23,ARG,IRL,0.03896103896103896,0.776025275227063
24,ARG,ISR,0.0,0.0
25,ARG,ITA,0.04121475054229935,0.796693677445058
26,ARG,JPN,0.0738255033557047,0.8078173446349476
27,ARG,LVA,0.026737967914438502,0.7473942590072736
28,ARG,LBN,0.030595813204508857,0.7700304798424331
29,ARG,LTU,0.0,0.0
30,ARG,MYS,0.04632152588555858,0.7758159830150608
31,ARG,MEX,0.04860731840524304,0.7973352103818399
32,ARG,MAR,0.0,0.0
33,ARG,NAM,0.0,0.0
34,ARG,NLD,0.045182362547632006,0.779971373948241
35,ARG,NZL,0.0,0.0
36,ARG,NGA,0.067853170189099,0.809507470976181
37,ARG,NOR,0.020191285866099893,0.7082781766416542
38,ARG,PAK,0.08229988726042842,0.8221457284316266
39,ARG,PER,0.0,0.0
40,ARG,PHL,0.054945054945054944,0.8096623242859337
41,ARG,POL,0.0328133405056482,0.7568525007360732
42,ARG,PRT,0.07202680067001675,0.8163770811126622
43,ARG,KOR,0.0,0.0
44,ARG,ROU,0.03504043126684636,0.7655617430367149
45,ARG,RUS,0.0,0.0
46,ARG,SAU,0.0,0.0
47,ARG,SEN,0.0,0.0
48,ARG,SRB,0.030595813204508857,0.7721294176665306
49,ARG,SVK,0.0367170626349892,0.790184259515755
50,ARG,SVN,0.03615758229897464,0.7781075266453217
51,ARG,ZAF,0.03336921420882669,0.74650644891925
52,ARG,SWE,0.0,0.0
53,ARG,CHE,0.03727714748784441,0.7860109842317499
54,ARG,TWN,0.05032822757111598,0.7801844662207735
55,ARG,TZA,0.08597285067873303,0.8309102180695717
56,ARG,THA,0.02454642475987193,0.7333397524557655
57,ARG,TUR,0.02564102564102564,0.7397134704896374
58,ARG,UGA,0.09714285714285714,0.8331160105835069
