,c1,c2,jac,cos
2075,SVK,SVN,0.2774451097804391,0.974981262394318
2158,TZA,UGA,0.20376175548589343,0.9447329125859312
1797,NGA,UGA,0.1643420254699818,0.909986678648807
1849,PAK,TZA,0.1314083677077195,0.893737981542297
1221,IND,IDN,0.12808460634547592,0.9042096070743332
626,CHN,IND,0.12215078901227353,0.8810501551533073
1297,IDN,TZA,0.1136890951276102,0.8860558688525386
123,AUS,UGA,0.11046847888953153,0.8672965993968862
1468,JPN,VNM,0.09965635738831616,0.8536775006740681
58,ARG,UGA,0.09714285714285714,0.8331160105835069
2188,UGA,VNM,0.09464082098061574,0.8341210138847864
483,BGR,SVK,0.09090909090909091,0.8906197462825551
139,AUT,COL,0.08967082860385925,0.8627337956144306
702,COL,PRT,0.08535895986433013,0.8560317386567238
2196,ARE,GBR,0.0829103214890017,0.8269183219788461
833,EGY,ETH,0.08047270680922904,0.8396798096777152
1900,PHL,TZA,0.07502799552071669,0.8576643966336228
910,ETH,PHL,0.07322526551145891,0.8422391359582444
2201,GBR,USA,0.07202680067001675,0.824706653782313
1590,MYS,PHL,0.07023411371237458,0.8477897094981699
2154,TWN,VNM,0.06963788300835655,0.8395445074878132
1733,NLD,CHE,0.06904231625835189,0.8327825518851077
1108,GRC,ROU,0.06844741235392321,0.8100042546937605
428,BRA,CHE,0.06844741235392321,0.8280239376794375
1988,ROU,CHE,0.06371191135734072,0.8190929442521517
1913,POL,ROU,0.06253458771444383,0.79036477729506
2144,CHE,ZWE,0.06253458771444383,0.828676839285928
1343,IRL,UKR,0.06135986733001658,0.8138801101860316
1947,PRT,TZA,0.06077348066298342,0.8075320904381428
2195,UKR,ZWE,0.05843439911797133,0.8132625317714519
745,CUB,MEX,0.052054794520547946,0.7956460758548438
1199,HUN,ROU,0.052054794520547946,0.7810905704197325
2116,ZAF,USA,0.05147864184008762,0.7954942900042689
1486,LVA,ROU,0.05090311986863711,0.7969002261994049
222,BGD,MYS,0.05090311986863711,0.8240941447090547
2058,SRB,SVK,0.05032822757111598,0.8323708415714413
1624,MEX,PHL,0.04975396391470749,0.8040792489502621
2099,SVN,UKR,0.04746317512274959,0.8225780499660211
523,CAN,MEX,0.04632152588555858,0.7899752003375089
1409,ITA,ROU,0.0457516339869281,0.8069310849512252
2210,VNM,ZWE,0.04404567699836868,0.7770711128604932
1533,LBN,TWN,0.04234527687296417,0.8004634854270591
2166,THA,TUR,0.04121475054229935,0.7825635807570077
1823,NOR,THA,0.03783783783783784,0.7556659601427188
2176,TUR,UKR,0.0367170626349892,0.7937164499290978
2207,USA,ZWE,0.025093432995194873,0.7318718565257792
1960,KOR,SAU,0.0,0.0
1577,LTU,USA,0.0,0.0
2035,SAU,GBR,0.0,0.0
2004,RUS,SVK,0.0,0.0
2040,SEN,SRB,0.0,0.0
2208,VEN,VNM,0.0,0.0
258,BEL,BWA,0.0,0.0
1714,NAM,ZWE,0.0,0.0
1866,PER,SAU,0.0,0.0
1746,NZL,NGA,0.0,0.0
2127,SWE,ARE,0.0,0.0
1668,MAR,ZAF,0.0,0.0
377,BWA,USA,0.0,0.0
785,CZE,GRC,0.0,0.0
950,FRA,MYS,0.0,0.0
596,CHL,SEN,0.0,0.0
1173,HKG,VEN,0.0,0.0
1390,ISR,ZWE,0.0,0.0
1018,DEU,SVK,0.0,0.0
1039,GHA,IDN,0.0,0.0
