,c1,c2,jac,cos
66,AUS,AUT,0.17647058823529413,0.939559336326691
1221,IND,IDN,0.16646415552855406,0.9352719602376672
2201,GBR,USA,0.1490125673249551,0.9188857287207463
2183,UGA,UKR,0.12874779541446207,0.8947010320199262
2075,SVK,SVN,0.11757857974388825,0.9220806681808379
440,BRA,ZWE,0.07262569832402235,0.8495944458270654
2196,ARE,GBR,0.06844741235392321,0.8205686613696282
2116,ZAF,USA,0.06607440310938367,0.8554527357359759
2174,THA,ZWE,0.064891846921797,0.8332522934182116
1272,IDN,MYS,0.061946902654867256,0.8655578624432535
875,EGY,THA,0.061946902654867256,0.8064649065935341
2135,CHE,THA,0.054945054945054944,0.8268736883833175
1490,LVA,SRB,0.054945054945054944,0.8045322431715914
1794,NGA,TZA,0.05263157894736842,0.8247976809279897
171,AUT,PRT,0.05147864184008762,0.7904990642333886
2065,SRB,THA,0.05032822757111598,0.7895107057858481
682,COL,IDN,0.04918032786885246,0.8351980146782112
444,BGR,COL,0.04860731840524304,0.8280615073901537
1940,PRT,SRB,0.045182362547632006,0.7990548702898377
2165,TZA,ZWE,0.04461371055495103,0.8283032581139173
1460,JPN,THA,0.04404567699836868,0.791201200340315
892,ETH,IDN,0.043478260869565216,0.8179447128370007
750,CUB,NGA,0.04234527687296417,0.7925239215404085
197,BGD,BRA,0.04234527687296417,0.7834808284421807
2145,TWN,TZA,0.04121475054229935,0.815789323101563
631,CHN,JPN,0.04121475054229935,0.7948903859326006
1332,IRL,SRB,0.04065040650406504,0.7790269374672473
1128,GRC,VNM,0.04065040650406504,0.7922127511944587
2093,SVN,CHE,0.04008667388949079,0.8117803310594043
1917,POL,SRB,0.03896103896103896,0.7895563498222924
534,CAN,PRT,0.03839913466738778,0.7497309078664335
1901,PHL,THA,0.03839913466738778,0.8169868775487261
1,ARG,AUT,0.03783783783783784,0.7825915722494294
1600,MYS,SVN,0.0367170626349892,0.8151341618317519
1848,PAK,TWN,0.03615758229897464,0.8184293564193197
1534,LBN,TZA,0.03615758229897464,0.8089317632645039
2210,VNM,ZWE,0.03559870550161812,0.7943950438964196
2195,UKR,ZWE,0.03559870550161812,0.796574427845848
1999,ROU,VNM,0.033925686591276254,0.7829113596335392
1809,NOR,PRT,0.03225806451612903,0.7313107200784568
1728,NLD,SRB,0.028938906752411574,0.7625182149363062
1191,HUN,NGA,0.027287319422150885,0.7379684276000039
1626,MEX,PRT,0.02564102564102564,0.7425749156967855
2207,USA,ZWE,0.02454642475987193,0.7332118613536854
2182,TUR,ZWE,0.02454642475987193,0.723969091860476
1407,ITA,PRT,0.024,0.7334005618354335
1552,LTU,NOR,0.0,0.0
2130,SWE,VEN,0.0,0.0
2209,VEN,ZWE,0.0,0.0
1678,MAR,GBR,0.0,0.0
2010,RUS,TZA,0.0,0.0
1863,PER,KOR,0.0,0.0
2021,SAU,SEN,0.0,0.0
1966,KOR,SWE,0.0,0.0
1775,NZL,ZWE,0.0,0.0
2045,SEN,CHE,0.0,0.0
1683,NAM,NLD,0.0,0.0
270,BEL,DEU,0.0,0.0
612,CHL,VEN,0.0,0.0
822,CZE,TZA,0.0,0.0
328,BWA,EGY,0.0,0.0
1175,HKG,ZWE,0.0,0.0
1390,ISR,ZWE,0.0,0.0
974,FRA,TWN,0.0,0.0
995,DEU,JPN,0.0,0.0
1066,GHA,SVK,0.0,0.0
