,c1,c2,jac,cos
0,ARG,AUS,0.03727714748784441,0.8052256912710766
1,ARG,AUT,0.08047270680922904,0.862522775937609
2,ARG,BGD,0.011058451816745656,0.7456821699565557
3,ARG,BEL,0.0,0.0
4,ARG,BWA,0.0,0.0
5,ARG,BRA,0.025093432995194873,0.7858964674988206
6,ARG,BGR,0.008403361344537815,0.7433581786823968
7,ARG,CAN,0.015873015873015872,0.7455772492138354
8,ARG,CHL,0.0,0.0
9,ARG,CHN,0.04860731840524304,0.809399862780931
10,ARG,COL,0.05032822757111598,0.847952451868892
11,ARG,CUB,0.02073365231259968,0.7439901696582676
12,ARG,CZE,0.0,0.0
13,ARG,EGY,0.028387787895018748,0.755457606685473
14,ARG,ETH,0.015873015873015872,0.7347445746462546
15,ARG,FRA,0.0,0.0
16,ARG,DEU,0.0,0.0
17,ARG,GHA,0.0,0.0
18,ARG,GRC,0.02290889717634523,0.7461140707166769
19,ARG,HKG,0.0,0.0
20,ARG,HUN,0.02127659574468085,0.7341277633879363
21,ARG,IND,0.020191285866099893,0.736879645682795
22,ARG,IDN,0.026737967914438502,0.7846288079218856
23,ARG,IRL,0.013727560718057022,0.7307579968591977
24,ARG,ISR,0.0,0.0
25,ARG,ITA,0.03225806451612903,0.7936098330093174
26,ARG,JPN,0.045182362547632006,0.7826191723554328
27,ARG,LVA,0.021820117083555083,0.7598407938517182
28,ARG,LBN,0.013192612137203167,0.7236417389349518
29,ARG,LTU,0.0,0.0
30,ARG,MYS,0.01694915254237288,0.7575722678482266
31,ARG,MEX,0.03727714748784441,0.8050612293363778
32,ARG,MAR,0.0,0.0
33,ARG,NAM,0.0,0.0
34,ARG,NLD,0.007874015748031496,0.7124943983926839
35,ARG,NZL,0.0,0.0
36,ARG,NGA,0.03839913466738778,0.7739531782065854
37,ARG,NOR,0.014263074484944533,0.7093659012032208
38,ARG,PAK,0.02564102564102564,0.7544774563498441
39,ARG,PER,0.0,0.0
40,ARG,PHL,0.014263074484944533,0.7601535331550187
41,ARG,POL,0.01964949548592671,0.7294093333170245
42,ARG,PRT,0.03783783783783784,0.8059758503034273
43,ARG,KOR,0.0,0.0
44,ARG,ROU,0.01856763925729443,0.7623752735088632
45,ARG,RUS,0.0,0.0
