,c1,c2,jac,cos
1221,IND,IDN,0.17073170731707318,0.9428362723777146
2075,SVK,SVN,0.14626865671641792,0.9539103826172409
2201,GBR,USA,0.10091743119266056,0.8863656597031566
631,CHN,JPN,0.09277177006260671,0.874394163510674
1,ARG,AUT,0.08047270680922904,0.862522775937609
696,COL,NGA,0.07023411371237458,0.8570989528351184
1781,NGA,PRT,0.053208996160175534,0.809499464774068
138,AUT,CHN,0.053208996160175534,0.8109370813138345
2197,ARE,USA,0.05147864184008762,0.8579361328803017
2116,ZAF,USA,0.05032822757111598,0.82432707580732
1401,ITA,NGA,0.04746317512274959,0.802508058823767
1936,PRT,ROU,0.04632152588555858,0.8058949157937261
1121,GRC,TUR,0.04461371055495103,0.7973059033284695
107,AUS,PRT,0.041779706999457406,0.8073802716287993
2173,THA,VNM,0.041779706999457406,0.8001189549228638
1468,JPN,VNM,0.04121475054229935,0.8017582077487291
1278,IDN,NGA,0.03896103896103896,0.7999858918040169
1913,POL,ROU,0.0367170626349892,0.7839872452065617
2135,CHE,THA,0.03615758229897464,0.7998643999291065
906,ETH,NGA,0.03559870550161812,0.7971566485002841
2210,VNM,ZWE,0.03559870550161812,0.783661797771746
1836,PAK,PRT,0.03504043126684636,0.7603915238567673
1321,IRL,NOR,0.03504043126684636,0.7667468240812175
1492,LVA,SVN,0.034482758620689655,0.792116639369022
2093,SVN,CHE,0.03225806451612903,0.7916538923040688
2066,SRB,TUR,0.031149301825993556,0.7356699516656751
393,BRA,GRC,0.031149301825993556,0.7794109129504411
1214,HUN,UKR,0.030595813204508857,0.7658009150039923
2165,TZA,ZWE,0.030042918454935622,0.8253628568964451
1640,MEX,THA,0.029490616621983913,0.7682711051769209
1994,ROU,UKR,0.029490616621983913,0.771968134495576
2189,UGA,ZWE,0.028938906752411574,0.7630880451458469
1588,MYS,PAK,0.028938906752411574,0.7841109942136755
779,CUB,ZWE,0.028387787895018748,0.7419540950410377
2154,TWN,VNM,0.028387787895018748,0.7937935357571277
2195,UKR,ZWE,0.026737967914438502,0.7712496117105924
230,BGD,PAK,0.026189203634420097,0.7944906133003614
461,BGR,LVA,0.026189203634420097,0.7684588158958974
1901,PHL,THA,0.025093432995194873,0.7764376972372283
2176,TUR,UKR,0.02454642475987193,0.7430226420362195
1826,NOR,UKR,0.024,0.7404847089236453
875,EGY,THA,0.022364217252396165,0.7487588180617967
1529,LBN,SVN,0.01910828025477707,0.7294805952928303
1739,NLD,UKR,0.01856763925729443,0.746561856444535
523,CAN,MEX,0.01856763925729443,0.7488434308590668
2206,USA,VNM,0.01694915254237288,0.7078905964368406
1554,LTU,PER,0.0,0.0
1650,MAR,NAM,0.0,0.0
343,BWA,LBN,0.0,0.0
2001,RUS,SAU,0.0,0.0
1979,KOR,ZWE,0.0,0.0
2021,SAU,SEN,0.0,0.0
2123,SWE,THA,0.0,0.0
2209,VEN,ZWE,0.0,0.0
2041,SEN,SVK,0.0,0.0
1885,PER,ZWE,0.0,0.0
1703,NAM,TWN,0.0,0.0
1746,NZL,NGA,0.0,0.0
297,BEL,KOR,0.0,0.0
796,CZE,LTU,0.0,0.0
943,FRA,IRL,0.0,0.0
588,CHL,PER,0.0,0.0
1150,HKG,PHL,0.0,0.0
1386,ISR,GBR,0.0,0.0
1021,DEU,SWE,0.0,0.0
1042,GHA,ITA,0.0,0.0
