,c1,c2,jac,cos
0,ARG,AUS,0.01910828025477707,0.8109830474908976
1,ARG,AUT,0.023454157782515993,0.8084296967375095
2,ARG,BGD,0.008933263268523384,0.7402264261483577
3,ARG,BEL,0.017488076311605722,0.8038835675474374
4,ARG,BWA,0.007345225603357817,0.73184559729083
5,ARG,BRA,0.052054794520547946,0.8630016377806942
6,ARG,BGR,0.017488076311605722,0.8129513144280287
7,ARG,CAN,0.01641079936474325,0.8050593802598688
8,ARG,CHL,0.03952355170546833,0.8175703229615174
9,ARG,CHN,0.0068169900367068695,0.7862348494929436
10,ARG,COL,0.043478260869565216,0.8560251534846461
11,ARG,CUB,0.026737967914438502,0.8041866795907795
12,ARG,CZE,0.01694915254237288,0.7786437240776308
13,ARG,EGY,0.01694915254237288,0.8039457862548738
14,ARG,ETH,0.013727560718057022,0.734896076876773
15,ARG,FRA,0.01964949548592671,0.8230840419384692
16,ARG,DEU,0.012658227848101266,0.7948646702418891
17,ARG,GHA,0.017488076311605722,0.7876341448950199
18,ARG,GRC,0.021820117083555083,0.7958287959324108
19,ARG,HKG,0.008403361344537815,0.7472009054643921
20,ARG,HUN,0.01694915254237288,0.8010331620311273
21,ARG,IND,0.011058451816745656,0.7828018737946677
22,ARG,IDN,0.028938906752411574,0.8175274396873969
23,ARG,IRL,0.014263074484944533,0.8141481755085901
24,ARG,ISR,0.014263074484944533,0.7867987457555415
25,ARG,ITA,0.021820117083555083,0.8224450016712039
26,ARG,JPN,0.011591148577449948,0.7685221608135107
27,ARG,LVA,0.01856763925729443,0.7943825973966334
28,ARG,LBN,0.018027571580063628,0.7974695725530809
29,ARG,LTU,0.014799154334038054,0.7677241639752903
30,ARG,MYS,0.00946372239747634,0.7415915069224924
31,ARG,MEX,0.03783783783783784,0.8411641500879748
32,ARG,MAR,0.020191285866099893,0.783591384747714
33,ARG,NAM,0.0041841004184100415,0.7375468892292222
34,ARG,NLD,0.026189203634420097,0.8159534559302918
35,ARG,NZL,0.023454157782515993,0.7846761595266949
36,ARG,NGA,0.00946372239747634,0.7251543385730994
37,ARG,NOR,0.013727560718057022,0.757304657200246
38,ARG,PAK,0.01694915254237288,0.7609727207590731
39,ARG,PER,0.03839913466738778,0.8009428109174686
40,ARG,PHL,0.030595813204508857,0.8351789218534172
41,ARG,POL,0.014263074484944533,0.7897904791056584
42,ARG,PRT,0.0328133405056482,0.8304924893649841
43,ARG,KOR,0.0020876826722338203,0.7679713093143069
44,ARG,ROU,0.021820117083555083,0.7991705411049479
45,ARG,RUS,0.007874015748031496,0.7598011012710326
46,ARG,SAU,0.0041841004184100415,0.7682576241316231
47,ARG,SEN,0.014799154334038054,0.7449844028595342
48,ARG,SRB,0.01964949548592671,0.778817021976794
49,ARG,SVK,0.01641079936474325,0.7831859909157878
50,ARG,SVN,0.01641079936474325,0.7811341868467739
51,ARG,ZAF,0.015873015873015872,0.7939371811494046
52,ARG,SWE,0.01694915254237288,0.8007789488484044
53,ARG,CHE,0.01856763925729443,0.8238529459575963
54,ARG,TWN,0.008403361344537815,0.7415178452784527
55,ARG,TZA,0.011058451816745656,0.7690442135732224
56,ARG,THA,0.012124406958355299,0.7504521870637539
57,ARG,TUR,0.017488076311605722,0.8060231368157026
58,ARG,UGA,0.008403361344537815,0.753666886614417
59,ARG,UKR,0.007874015748031496,0.7724527643965934
60,ARG,ARE,0.013727560718057022,0.7966070030680961
61,ARG,GBR,0.004709576138147566,0.771183346409985
62,ARG,USA,0.0026109660574412533,0.7420347794298583
63,ARG,VEN,0.04461371055495103,0.8177960545868661
64,ARG,VNM,0.012124406958355299,0.7562746473188666
65,ARG,ZWE,0.005762179151388162,0.7409888706795421
66,AUS,AUT,0.04918032786885246,0.875683159523337
67,AUS,BGD,0.004709576138147566,0.7501631083921271
68,AUS,BEL,0.01694915254237288,0.8159306580325941
69,AUS,BWA,0.0068169900367068695,0.751598382186318
70,AUS,BRA,0.028938906752411574,0.8394582188540055
71,AUS,BGR,0.023454157782515993,0.8316838069943127
72,AUS,CAN,0.041779706999457406,0.8765482793035808
73,AUS,CHL,0.014263074484944533,0.778515392387695
74,AUS,CHN,0.031149301825993556,0.8678074166615671
75,AUS,COL,0.022364217252396165,0.8535013208729271
76,AUS,CUB,0.012658227848101266,0.8015987764801411
77,AUS,CZE,0.020191285866099893,0.8038480482351598
78,AUS,EGY,0.024,0.8414057871749514
79,AUS,ETH,0.008403361344537815,0.7556672534053359
80,AUS,FRA,0.027837259100642397,0.8479196726123148
81,AUS,DEU,0.0328133405056482,0.8668265111837843
82,AUS,GHA,0.008403361344537815,0.8078380437304007
83,AUS,GRC,0.026189203634420097,0.8278520402599658
84,AUS,HKG,0.013727560718057022,0.7937509673798591
85,AUS,HUN,0.030595813204508857,0.8438295623945911
86,AUS,IND,0.015873015873015872,0.8286237238923252
87,AUS,IDN,0.026737967914438502,0.8511908835429011
88,AUS,IRL,0.0328133405056482,0.8671989521419463
89,AUS,ISR,0.027837259100642397,0.834181204514282
90,AUS,ITA,0.01856763925729443,0.8305319703193624
91,AUS,JPN,0.020191285866099893,0.8251659382767582
92,AUS,LVA,0.03225806451612903,0.8400662634936721
93,AUS,LBN,0.018027571580063628,0.8353536907948079
94,AUS,LTU,0.014799154334038054,0.7923759983718617
95,AUS,MYS,0.007874015748031496,0.7811637322019102
96,AUS,MEX,0.01856763925729443,0.8302190138021429
97,AUS,MAR,0.01694915254237288,0.7971928752984022
98,AUS,NAM,0.008403361344537815,0.7687564292992094
99,AUS,NLD,0.02564102564102564,0.854318179069909
100,AUS,NZL,0.0457516339869281,0.8601392015862086
101,AUS,NGA,0.005235602094240838,0.7573759095426523
102,AUS,NOR,0.02454642475987193,0.815657490129053
103,AUS,PAK,0.018027571580063628,0.8056314544398294
104,AUS,PER,0.0068169900367068695,0.7709837540691861
105,AUS,PHL,0.03952355170546833,0.8740639279735383
106,AUS,POL,0.0328133405056482,0.8433452452901976
107,AUS,PRT,0.01856763925729443,0.8157725549843118
108,AUS,KOR,0.0020876826722338203,0.8147643631066918
109,AUS,ROU,0.01641079936474325,0.8149033592465574
110,AUS,RUS,0.0328133405056482,0.8434518784232025
111,AUS,SAU,0.009994739610731194,0.8100380009110115
112,AUS,SEN,0.0036591740721380033,0.7461896028375339
113,AUS,SRB,0.02564102564102564,0.8278820862114309
114,AUS,SVK,0.017488076311605722,0.8167650276039596
115,AUS,SVN,0.010526315789473684,0.784624557482413
116,AUS,ZAF,0.02564102564102564,0.8402002991198692
117,AUS,SWE,0.03952355170546833,0.8676822051626177
118,AUS,CHE,0.029490616621983913,0.8662371510295965
119,AUS,TWN,0.017488076311605722,0.817675454161958
120,AUS,TZA,0.0068169900367068695,0.7908370653227658
121,AUS,THA,0.00946372239747634,0.7739543587533362
122,AUS,TUR,0.02127659574468085,0.8347109453607476
123,AUS,UGA,0.005762179151388162,0.765846267582813
124,AUS,UKR,0.017488076311605722,0.830824162061541
125,AUS,ARE,0.013727560718057022,0.8157777570731571
126,AUS,GBR,0.02073365231259968,0.82695332177641
127,AUS,USA,0.0020876826722338203,0.792529022633564
128,AUS,VEN,0.007874015748031496,0.7860926048306279
129,AUS,VNM,0.013192612137203167,0.7876446771303528
130,AUS,ZWE,0.008403361344537815,0.782343418289732
131,AUT,BGD,0.006289308176100629,0.7618493795363382
132,AUT,BEL,0.0457516339869281,0.866352589882652
133,AUT,BWA,0.005762179151388162,0.7569100749509243
134,AUT,BRA,0.04860731840524304,0.8694480670516853
135,AUT,BGR,0.056686846450192625,0.8922287917336728
136,AUT,CAN,0.027287319422150885,0.8408230652879962
137,AUT,CHL,0.017488076311605722,0.7973794493216632
138,AUT,CHN,0.030595813204508857,0.8607656498846021
139,AUT,COL,0.027837259100642397,0.8596904461889995
140,AUT,CUB,0.014799154334038054,0.8099967772478528
141,AUT,CZE,0.054945054945054944,0.8848771969033435
142,AUT,EGY,0.031149301825993556,0.8428260045029258
143,AUT,ETH,0.00946372239747634,0.7731684439834866
144,AUT,FRA,0.05147864184008762,0.892438431427536
145,AUT,DEU,0.09464082098061574,0.9312730692575756
146,AUT,GHA,0.010526315789473684,0.8133254888064081
147,AUT,GRC,0.0457516339869281,0.864220215763429
148,AUT,HKG,0.009994739610731194,0.7854541786815933
149,AUT,HUN,0.10599078341013825,0.9252445301847663
150,AUT,IND,0.018027571580063628,0.8295536042424521
151,AUT,IDN,0.021820117083555083,0.8410233960403567
152,AUT,IRL,0.03504043126684636,0.8588692719923976
153,AUT,ISR,0.03615758229897464,0.8544862759403224
154,AUT,ITA,0.05785123966942149,0.892056412651782
155,AUT,JPN,0.02564102564102564,0.8237450004046873
156,AUT,LVA,0.06135986733001658,0.8875144718243649
157,AUT,LBN,0.02564102564102564,0.8334791086971641
158,AUT,LTU,0.02564102564102564,0.8293757713844082
159,AUT,MYS,0.007345225603357817,0.7871518535775679
160,AUT,MEX,0.029490616621983913,0.8344833917558693
161,AUT,MAR,0.021820117083555083,0.8151674117390418
162,AUT,NAM,0.005235602094240838,0.7641007540646289
163,AUT,NLD,0.05147864184008762,0.8855843626953461
164,AUT,NZL,0.027837259100642397,0.8210673014768491
165,AUT,NGA,0.007345225603357817,0.7817247957951955
