,c1,c2,jac,cos
2075,SVK,SVN,0.22762148337595908,0.9616428693881
2014,RUS,UKR,0.17791411042944785,0.9652925085495321
149,AUT,HUN,0.10599078341013825,0.9252445301847663
816,CZE,SVK,0.09526525955504848,0.9140549225690365
1121,GRC,TUR,0.08843537414965986,0.9241363373426971
475,BGR,POL,0.08843537414965986,0.9157079475318092
1196,HUN,POL,0.0865874363327674,0.9048940241527095
1471,LVA,LTU,0.0865874363327674,0.9060067615618517
1819,NOR,SWE,0.0829103214890017,0.8976194896898084
1010,DEU,POL,0.08169014084507042,0.9131609484267116
1921,POL,SWE,0.08047270680922904,0.9025508849464414
417,BRA,PRT,0.07563025210084033,0.9008437192403697
843,EGY,ISR,0.07502799552071669,0.9050564086869216
2058,SRB,SVK,0.07322526551145891,0.884345603726881
1983,ROU,SRB,0.07142857142857142,0.8730644500705749
945,FRA,ITA,0.06963788300835655,0.9174041880610926
1353,ISR,LBN,0.064891846921797,0.8948701383276105
691,COL,MEX,0.064891846921797,0.9062816223033654
631,CHN,JPN,0.06253458771444383,0.9023454495898383
2034,SAU,ARE,0.059602649006622516,0.8756441303554453
2120,SWE,CHE,0.054365733113673806,0.8996987060027729
5,ARG,BRA,0.052054794520547946,0.8630016377806942
1732,NLD,SWE,0.05032822757111598,0.887196912383785
1282,IDN,PHL,0.04975396391470749,0.8832724209732367
588,CHL,PER,0.04975396391470749,0.8138119131297777
1623,MEX,PER,0.04975396391470749,0.8463444485598755
274,BEL,HUN,0.04918032786885246,0.8587968984884028
66,AUS,AUT,0.04918032786885246,0.875683159523337
1422,ITA,TUR,0.04746317512274959,0.8814995516581916
745,CUB,MEX,0.0457516339869281,0.8697477013256824
1556,LTU,POL,0.045182362547632006,0.8641655741262891
1527,LBN,SRB,0.043478260869565216,0.8444840916550395
1936,PRT,ROU,0.04234527687296417,0.8674300168052446
1445,JPN,POL,0.04008667388949079,0.8396332787539534
1750,NZL,PHL,0.03952355170546833,0.8388126078921335
1321,IRL,NOR,0.03952355170546833,0.85528304665342
1883,PER,VEN,0.03783783783783784,0.7835718578825736
1057,GHA,PHL,0.03559870550161812,0.8432294245676842
1834,PAK,PHL,0.03559870550161812,0.8337484629649179
1657,MAR,PHL,0.03504043126684636,0.8304685180059491
527,CAN,NZL,0.03504043126684636,0.844383021917213
2092,SVN,SWE,0.034482758620689655,0.8519536335290063
1237,IND,PAK,0.03225806451612903,0.8571910599427607
2173,THA,VNM,0.03170338527673294,0.7987574451032533
1887,PHL,PRT,0.031149301825993556,0.8579987080351565
1714,NAM,ZWE,0.030042918454935622,0.806741078988368
1164,HKG,TWN,0.028387787895018748,0.7979710055899838
248,BGD,THA,0.026737967914438502,0.7859370895133356
2146,TWN,THA,0.026737967914438502,0.8003600268544421
2176,TUR,UKR,0.025093432995194873,0.8477480574298016
908,ETH,PAK,0.023454157782515993,0.7583086592028379
2106,ZAF,SWE,0.021820117083555083,0.8232388449679532
2165,TZA,ZWE,0.02127659574468085,0.7927992907897181
370,BWA,TZA,0.02073365231259968,0.7667210390363043
2055,SEN,VEN,0.02073365231259968,0.7581106770388265
1777,NGA,PAK,0.020191285866099893,0.7700688762791987
2208,VEN,VNM,0.01964949548592671,0.7606535892078914
1606,MYS,THA,0.01910828025477707,0.7827809607504014
2136,CHE,TUR,0.018027571580063628,0.8563364890983072
2189,UGA,ZWE,0.01694915254237288,0.7579137635381645
2199,ARE,VNM,0.015873015873015872,0.7895052587790382
2210,VNM,ZWE,0.011058451816745656,0.7438204482778417
2193,UKR,VEN,0.011058451816745656,0.7882382823764705
2201,GBR,USA,0.007345225603357817,0.8152481847434091
1971,KOR,TUR,0.0041841004184100415,0.822007907215456
2205,USA,VEN,0.003134796238244514,0.7507751508269958
