,c1,c2,jac,cos
0,ARG,AUS,0.061946902654867256,0.8694002631161333
1,ARG,AUT,0.064891846921797,0.8756179791754382
2,ARG,BGD,0.059602649006622516,0.8796379252352332
3,ARG,BEL,0.05378704720087816,0.8812570994830455
4,ARG,BWA,0.059602649006622516,0.861474315264913
5,ARG,BRA,0.10982658959537572,0.9127129493234997
6,ARG,BGR,0.08169014084507042,0.8923940184827799
7,ARG,CAN,0.04918032786885246,0.8724618528466053
8,ARG,CHL,0.12941176470588237,0.9209315562102813
9,ARG,CHN,0.018027571580063628,0.8295930955478514
10,ARG,COL,0.07623318385650224,0.9114294778456028
11,ARG,CUB,0.06371191135734072,0.886364509748289
12,ARG,CZE,0.056686846450192625,0.8819878124730881
13,ARG,EGY,0.0835214446952596,0.8935041371944615
14,ARG,ETH,0.06607440310938367,0.8628539003162929
15,ARG,FRA,0.05726872246696035,0.8853233912934241
16,ARG,DEU,0.04234527687296417,0.8619609552583652
17,ARG,GHA,0.06077348066298342,0.8787735184144823
18,ARG,GRC,0.07502799552071669,0.8746792910479059
19,ARG,HKG,0.028387787895018748,0.8386349079938041
20,ARG,HUN,0.07142857142857142,0.8801345057921404
21,ARG,IND,0.03839913466738778,0.8598727592218979
22,ARG,IDN,0.08169014084507042,0.9042080756752249
23,ARG,IRL,0.04746317512274959,0.8820411067066227
24,ARG,ISR,0.048034934497816595,0.8641774280489906
25,ARG,ITA,0.07623318385650224,0.8975899627119422
26,ARG,JPN,0.030595813204508857,0.8233952077517873
27,ARG,LVA,0.07865168539325842,0.8772949942241387
28,ARG,LBN,0.06548279689234185,0.8774206214605607
29,ARG,LTU,0.054945054945054944,0.8635423687233326
30,ARG,MYS,0.03504043126684636,0.8484162336311056
31,ARG,MEX,0.09526525955504848,0.9061883198867204
32,ARG,MAR,0.06371191135734072,0.8568427346559115
33,ARG,NAM,0.059018201875344733,0.8725699844751803
34,ARG,NLD,0.06904231625835189,0.8858244274682677
35,ARG,NZL,0.056686846450192625,0.8490863216892444
36,ARG,NGA,0.04008667388949079,0.8519196523382214
37,ARG,NOR,0.05378704720087816,0.8469558913916677
38,ARG,PAK,0.056686846450192625,0.8768109571229419
39,ARG,PER,0.10154905335628227,0.9053013289541699
40,ARG,PHL,0.07925801011804384,0.8990155897222756
41,ARG,POL,0.08169014084507042,0.8784414313404816
42,ARG,PRT,0.0738255033557047,0.883754921541339
43,ARG,KOR,0.004709576138147566,0.8563802488844497
44,ARG,ROU,0.07202680067001675,0.8809779453777339
45,ARG,RUS,0.04689203925845147,0.8458022722560534
46,ARG,SAU,0.061946902654867256,0.8774797896924253
47,ARG,SEN,0.08229988726042842,0.8838165817000875
48,ARG,SRB,0.08047270680922904,0.885466548575755
49,ARG,SVK,0.06607440310938367,0.8887982703673767
50,ARG,SVN,0.06548279689234185,0.8785991032639228
51,ARG,ZAF,0.056686846450192625,0.8613252795360877
52,ARG,SWE,0.07262569832402235,0.8829487819183612
53,ARG,CHE,0.05378704720087816,0.8854528248718947
54,ARG,TWN,0.04121475054229935,0.8393646334175178
55,ARG,TZA,0.07502799552071669,0.8979962983106801
56,ARG,THA,0.05378704720087816,0.8654134144716974
57,ARG,TUR,0.05032822757111598,0.8731434767192578
58,ARG,UGA,0.05378704720087816,0.8666975652278652
59,ARG,UKR,0.048034934497816595,0.8623623108591422
60,ARG,ARE,0.064891846921797,0.8904184506225293
61,ARG,GBR,0.004709576138147566,0.798791402662437
62,ARG,USA,0.007874015748031496,0.7980212484922323
63,ARG,VEN,0.09090909090909091,0.9095456438892384
64,ARG,VNM,0.054945054945054944,0.8587571523944592
65,ARG,ZWE,0.041779706999457406,0.8656798282472152
66,AUS,AUT,0.08843537414965986,0.890571423120897
67,AUS,BGD,0.028938906752411574,0.8389323077343794
68,AUS,BEL,0.04065040650406504,0.8620702357465494
69,AUS,BWA,0.052054794520547946,0.8523593396571469
