,c1,c2,jac,cos
2075,SVK,SVN,0.2229299363057325,0.921245897785513
2014,RUS,UKR,0.16152450090744103,0.9526722587064985
843,EGY,ISR,0.09714285714285714,0.9298348970849287
1021,DEU,SWE,0.0835214446952596,0.9058647829975947
1121,GRC,TUR,0.07744107744107744,0.9222662884746377
145,AUT,DEU,0.07262569832402235,0.8940880099018622
1207,HUN,SWE,0.07142857142857142,0.898338883205657
945,FRA,ITA,0.07142857142857142,0.922719344542641
2183,UGA,UKR,0.06963788300835655,0.7904098322247324
659,CHN,TWN,0.06607440310938367,0.9304876217038497
1371,ISR,SAU,0.064891846921797,0.8831283518800532
417,BRA,PRT,0.059602649006622516,0.884108373279511
1914,POL,RUS,0.059018201875344733,0.8844159146931747
2034,SAU,ARE,0.05785123966942149,0.8481480356502433
588,CHL,PER,0.05726872246696035,0.8123585443701787
1282,IDN,PHL,0.055525013743815285,0.8846577231216525
816,CZE,SVK,0.05263157894736842,0.8518661753767289
2124,SWE,TUR,0.05263157894736842,0.8899112775778649
1623,MEX,PER,0.05147864184008762,0.8689405523333739
1407,ITA,PRT,0.05147864184008762,0.8835118669978924
478,BGR,ROU,0.04918032786885246,0.847435563719402
1983,ROU,SRB,0.04632152588555858,0.8231494623663487
1721,NLD,POL,0.04632152588555858,0.8401814531551438
1909,PHL,VNM,0.0457516339869281,0.8561917805548054
288,BEL,NLD,0.04461371055495103,0.8427406794660055
1490,LVA,SRB,0.04461371055495103,0.832719882024337
1819,NOR,SWE,0.043478260869565216,0.8135305090815405
1944,PRT,SWE,0.04234527687296417,0.8703690914224412
1221,IND,IDN,0.04121475054229935,0.9019712983738504
8,ARG,CHL,0.04008667388949079,0.8046535576039926
674,COL,ETH,0.04008667388949079,0.8245278242620336
2058,SRB,SVK,0.03952355170546833,0.8227253184664489
2040,SEN,SRB,0.03839913466738778,0.8080296180983555
2173,THA,VNM,0.03727714748784441,0.8447489166193027
903,ETH,NAM,0.0367170626349892,0.7915852062441348
105,AUS,PHL,0.03559870550161812,0.8434950637996591
1840,PAK,SAU,0.03559870550161812,0.806437824485827
1164,HKG,TWN,0.03504043126684636,0.8627216021563447
1556,LTU,POL,0.03504043126684636,0.801235681553386
2106,ZAF,SWE,0.03336921420882669,0.8021493361907837
1458,JPN,TWN,0.0328133405056482,0.8598624086513313
2147,TWN,TUR,0.03225806451612903,0.8675609618221959
753,CUB,PER,0.03225806451612903,0.8199751278291839
332,BWA,GHA,0.031149301825993556,0.7780541044556981
1875,PER,TZA,0.031149301825993556,0.8083646323832736
1539,LBN,ARE,0.031149301825993556,0.8011508703742528
544,CAN,SWE,0.030595813204508857,0.8590976256927221
1606,MYS,THA,0.030042918454935622,0.8239051668583174
1056,GHA,PER,0.028938906752411574,0.7872885781565351
2143,CHE,VNM,0.028938906752411574,0.8565525503708558
1318,IRL,NLD,0.027837259100642397,0.7855145665783945
1761,NZL,ZAF,0.027287319422150885,0.7387793457231093
2181,TUR,VNM,0.02454642475987193,0.8433139660981407
2164,TZA,VNM,0.02454642475987193,0.8251164296277701
1663,MAR,SAU,0.02454642475987193,0.7766949383858616
252,BGD,ARE,0.024,0.794301106936665
1704,NAM,TZA,0.01964949548592671,0.7849694798003236
1785,NGA,SAU,0.01910828025477707,0.7800751371289414
2095,SVN,TZA,0.015335801163405606,0.7652071926392264
2195,UKR,ZWE,0.014263074484944533,0.7523641643677539
2199,ARE,VNM,0.013727560718057022,0.8222718101057415
2209,VEN,ZWE,0.011591148577449948,0.7818735814496848
2210,VNM,ZWE,0.009994739610731194,0.7897973453546291
1977,KOR,VEN,0.005235602094240838,0.8246323470386772
2203,GBR,VNM,0.0041841004184100415,0.7673860114978269
2205,USA,VEN,0.0020876826722338203,0.746204598436952
