group,concept
sense,BD_bn_AR
sense,BD_bn_AT
sense,BD_bn_AU
sense,BD_bn_BD
sense,BD_bn_BE
sense,BD_bn_BG
sense,BD_bn_BR
sense,BD_bn_BW
sense,BD_bn_CA
sense,BD_bn_CH
sense,BD_bn_CL
sense,BD_bn_CN
sense,BD_bn_CO
sense,BD_bn_CU
sense,BD_bn_DE
sense,BD_bn_EG
sense,BD_bn_ET
sense,BD_bn_FR
sense,BD_bn_GB
sense,BD_bn_GH
sense,BD_bn_GR
sense,BD_bn_HK
sense,BD_bn_HU
sense,BD_bn_ID
sense,BD_bn_IE
sense,BD_bn_IL
sense,BD_bn_IN
sense,BD_bn_IT
sense,BD_bn_JP
sense,BD_bn_KE
sense,BD_bn_LB
sense,BD_bn_LT
sense,BD_bn_LV
sense,BD_bn_MA
sense,BD_bn_MX
sense,BD_bn_MY
sense,BD_bn_NA
sense,BD_bn_NG
sense,BD_bn_NL
sense,BD_bn_NO
sense,BD_bn_NZ
sense,BD_bn_PE
sense,BD_bn_PH
sense,BD_bn_PK
sense,BD_bn_PL
sense,BD_bn_PT
sense,BD_bn_RO
sense,BD_bn_RS
sense,BD_bn_RU
sense,BD_bn_SE
sense,BD_bn_SG
sense,BD_bn_SI
sense,BD_bn_SK
sense,BD_bn_SN
sense,BD_bn_TH
sense,BD_bn_TR
sense,BD_bn_TW
sense,BD_bn_TZ
sense,BD_bn_UA
sense,BD_bn_UG
sense,BD_bn_VE
sense,BD_bn_VN
sense,BD_bn_ZW
