group,concept
sense,FR_fr_AE
sense,FR_fr_AR
sense,FR_fr_AT
sense,FR_fr_AU
sense,FR_fr_BD
sense,FR_fr_BE
sense,FR_fr_BG
sense,FR_fr_BR
sense,FR_fr_BW
sense,FR_fr_CA
sense,FR_fr_CH
sense,FR_fr_CL
sense,FR_fr_CN
sense,FR_fr_CO
sense,FR_fr_CU
sense,FR_fr_CZ
sense,FR_fr_DE
sense,FR_fr_EG
sense,FR_fr_ET
sense,FR_fr_FR
sense,FR_fr_GB
sense,FR_fr_GH
sense,FR_fr_GR
sense,FR_fr_HU
sense,FR_fr_ID
sense,FR_fr_IE
sense,FR_fr_IL
sense,FR_fr_IN
sense,FR_fr_IT
sense,FR_fr_JP
sense,FR_fr_KE
sense,FR_fr_KR
sense,FR_fr_LB
sense,FR_fr_LT
sense,FR_fr_LV
sense,FR_fr_MA
sense,FR_fr_MX
sense,FR_fr_MY
sense,FR_fr_NA
sense,FR_fr_NG
sense,FR_fr_NL
sense,FR_fr_NO
sense,FR_fr_NZ
sense,FR_fr_PE
sense,FR_fr_PH
sense,FR_fr_PK
sense,FR_fr_PL
sense,FR_fr_PT
sense,FR_fr_RO
sense,FR_fr_RS
sense,FR_fr_RU
sense,FR_fr_SE
sense,FR_fr_SG
sense,FR_fr_SI
sense,FR_fr_SK
sense,FR_fr_SN
sense,FR_fr_TH
sense,FR_fr_TR
sense,FR_fr_TW
sense,FR_fr_TZ
sense,FR_fr_UA
sense,FR_fr_UG
sense,FR_fr_US
sense,FR_fr_VE
sense,FR_fr_VN
sense,FR_fr_ZW
