group,concept
sense,IL_he_AE
sense,IL_he_AR
sense,IL_he_AT
sense,IL_he_AU
sense,IL_he_BD
sense,IL_he_BE
sense,IL_he_BG
sense,IL_he_BR
sense,IL_he_BW
sense,IL_he_CA
sense,IL_he_CH
sense,IL_he_CL
sense,IL_he_CN
sense,IL_he_CO
sense,IL_he_CU
sense,IL_he_CZ
sense,IL_he_DE
sense,IL_he_EG
sense,IL_he_ET
sense,IL_he_FR
sense,IL_he_GB
sense,IL_he_GH
sense,IL_he_GR
sense,IL_he_HU
sense,IL_he_ID
sense,IL_he_IE
sense,IL_he_IL
sense,IL_he_IN
sense,IL_he_IT
sense,IL_he_JP
sense,IL_he_KE
sense,IL_he_KR
sense,IL_he_LB
sense,IL_he_LT
sense,IL_he_LV
sense,IL_he_MA
sense,IL_he_MX
sense,IL_he_MY
sense,IL_he_NA
sense,IL_he_NG
sense,IL_he_NL
sense,IL_he_NO
sense,IL_he_NZ
sense,IL_he_PE
sense,IL_he_PH
sense,IL_he_PK
sense,IL_he_PL
sense,IL_he_PT
sense,IL_he_RO
sense,IL_he_RS
sense,IL_he_RU
sense,IL_he_SA
sense,IL_he_SE
sense,IL_he_SG
sense,IL_he_SI
sense,IL_he_SK
sense,IL_he_SN
sense,IL_he_TH
sense,IL_he_TR
sense,IL_he_TW
sense,IL_he_TZ
sense,IL_he_UA
sense,IL_he_UG
sense,IL_he_VE
sense,IL_he_VN
sense,IL_he_ZA
