group,concept
sense,NO_no_AE
sense,NO_no_AR
sense,NO_no_AT
sense,NO_no_AU
sense,NO_no_BD
sense,NO_no_BE
sense,NO_no_BG
sense,NO_no_BR
sense,NO_no_BW
sense,NO_no_CA
sense,NO_no_CH
sense,NO_no_CL
sense,NO_no_CN
sense,NO_no_CO
sense,NO_no_CU
sense,NO_no_CZ
sense,NO_no_DE
sense,NO_no_EG
sense,NO_no_ET
sense,NO_no_FR
sense,NO_no_GB
sense,NO_no_GH
sense,NO_no_GR
sense,NO_no_HU
sense,NO_no_ID
sense,NO_no_IE
sense,NO_no_IL
sense,NO_no_IN
sense,NO_no_IT
sense,NO_no_JP
sense,NO_no_KE
sense,NO_no_KR
sense,NO_no_LB
sense,NO_no_LT
sense,NO_no_LV
sense,NO_no_MA
sense,NO_no_MX
sense,NO_no_MY
sense,NO_no_NA
sense,NO_no_NG
sense,NO_no_NL
sense,NO_no_NO
sense,NO_no_PE
sense,NO_no_PH
sense,NO_no_PK
sense,NO_no_PL
sense,NO_no_PT
sense,NO_no_RO
sense,NO_no_RS
sense,NO_no_RU
sense,NO_no_SA
sense,NO_no_SE
sense,NO_no_SG
sense,NO_no_SI
sense,NO_no_SK
sense,NO_no_SN
sense,NO_no_TH
sense,NO_no_TR
sense,NO_no_TW
sense,NO_no_TZ
sense,NO_no_UA
sense,NO_no_UG
sense,NO_no_US
sense,NO_no_VE
sense,NO_no_VN
sense,NO_no_ZA
sense,NO_no_ZW
