group,concept
sense,RU_ru_AE
sense,RU_ru_AR
sense,RU_ru_AT
sense,RU_ru_AU
sense,RU_ru_BD
sense,RU_ru_BE
sense,RU_ru_BG
sense,RU_ru_BR
sense,RU_ru_BW
sense,RU_ru_CA
sense,RU_ru_CH
sense,RU_ru_CL
sense,RU_ru_CN
sense,RU_ru_CO
sense,RU_ru_CU
sense,RU_ru_CZ
sense,RU_ru_DE
sense,RU_ru_EG
sense,RU_ru_ET
sense,RU_ru_FR
sense,RU_ru_GB
sense,RU_ru_GH
sense,RU_ru_GR
sense,RU_ru_HK
sense,RU_ru_HU
sense,RU_ru_ID
sense,RU_ru_IE
sense,RU_ru_IL
sense,RU_ru_IN
sense,RU_ru_IT
sense,RU_ru_JP
sense,RU_ru_KE
sense,RU_ru_KR
sense,RU_ru_LB
sense,RU_ru_LT
sense,RU_ru_LV
sense,RU_ru_MA
sense,RU_ru_MX
sense,RU_ru_MY
sense,RU_ru_NA
sense,RU_ru_NG
sense,RU_ru_NL
sense,RU_ru_NO
sense,RU_ru_NZ
sense,RU_ru_PE
sense,RU_ru_PH
sense,RU_ru_PK
sense,RU_ru_PL
sense,RU_ru_PT
sense,RU_ru_RO
sense,RU_ru_RS
sense,RU_ru_RU
sense,RU_ru_SA
sense,RU_ru_SE
sense,RU_ru_SG
sense,RU_ru_SI
sense,RU_ru_SK
sense,RU_ru_SN
sense,RU_ru_TH
sense,RU_ru_TR
sense,RU_ru_TW
sense,RU_ru_TZ
sense,RU_ru_UA
sense,RU_ru_UG
sense,RU_ru_US
sense,RU_ru_VE
sense,RU_ru_VN
sense,RU_ru_ZA
sense,RU_ru_ZW
