group,concept
sense,VN_vi_AR
sense,VN_vi_AT
sense,VN_vi_AU
sense,VN_vi_BD
sense,VN_vi_BE
sense,VN_vi_BG
sense,VN_vi_BR
sense,VN_vi_BW
sense,VN_vi_CA
sense,VN_vi_CH
sense,VN_vi_CL
sense,VN_vi_CN
sense,VN_vi_CO
sense,VN_vi_CU
sense,VN_vi_CZ
sense,VN_vi_DE
sense,VN_vi_EG
sense,VN_vi_ET
sense,VN_vi_FR
sense,VN_vi_GB
sense,VN_vi_GH
sense,VN_vi_GR
sense,VN_vi_HU
sense,VN_vi_ID
sense,VN_vi_IE
sense,VN_vi_IL
sense,VN_vi_IN
sense,VN_vi_IT
sense,VN_vi_JP
sense,VN_vi_KE
sense,VN_vi_KR
sense,VN_vi_LB
sense,VN_vi_LT
sense,VN_vi_LV
sense,VN_vi_MA
sense,VN_vi_MX
sense,VN_vi_MY
sense,VN_vi_NA
sense,VN_vi_NG
sense,VN_vi_NL
sense,VN_vi_NO
sense,VN_vi_NZ
sense,VN_vi_PE
sense,VN_vi_PH
sense,VN_vi_PK
sense,VN_vi_PL
sense,VN_vi_PT
sense,VN_vi_RO
sense,VN_vi_RS
sense,VN_vi_RU
sense,VN_vi_SA
sense,VN_vi_SE
sense,VN_vi_SG
sense,VN_vi_SI
sense,VN_vi_SK
sense,VN_vi_SN
sense,VN_vi_TH
sense,VN_vi_TR
sense,VN_vi_TZ
sense,VN_vi_UA
sense,VN_vi_UG
sense,VN_vi_US
sense,VN_vi_VE
sense,VN_vi_VN
sense,VN_vi_ZA
sense,VN_vi_ZW
