group,concept
sense,AU_en_AR
sense,AU_en_AT
sense,AU_en_AU
sense,AU_en_BD
sense,AU_en_BE
sense,AU_en_BG
sense,AU_en_BR
sense,AU_en_BW
sense,AU_en_CA
sense,AU_en_CH
sense,AU_en_CL
sense,AU_en_CN
sense,AU_en_CO
sense,AU_en_CU
sense,AU_en_CZ
sense,AU_en_DE
sense,AU_en_EG
sense,AU_en_ET
sense,AU_en_FR
sense,AU_en_GB
sense,AU_en_GH
sense,AU_en_GR
sense,AU_en_HU
sense,AU_en_ID
sense,AU_en_IE
sense,AU_en_IL
sense,AU_en_IN
sense,AU_en_IT
sense,AU_en_JP
sense,AU_en_KE
sense,AU_en_KR
sense,AU_en_LB
sense,AU_en_LT
sense,AU_en_LV
sense,AU_en_MA
sense,AU_en_MX
sense,AU_en_MY
sense,AU_en_NA
sense,AU_en_NG
sense,AU_en_NL
sense,AU_en_NO
sense,AU_en_PE
sense,AU_en_PH
sense,AU_en_PK
sense,AU_en_PL
sense,AU_en_PT
sense,AU_en_RO
sense,AU_en_RS
sense,AU_en_SE
sense,AU_en_SG
sense,AU_en_SI
sense,AU_en_SK
sense,AU_en_SN
sense,AU_en_TH
sense,AU_en_TR
sense,AU_en_TW
sense,AU_en_TZ
sense,AU_en_UA
sense,AU_en_UG
sense,AU_en_VE
sense,AU_en_ZW
