group,concept
sense,GB_en_AR
sense,GB_en_AT
sense,GB_en_AU
sense,GB_en_BD
sense,GB_en_BE
sense,GB_en_BG
sense,GB_en_BR
sense,GB_en_BW
sense,GB_en_CA
sense,GB_en_CH
sense,GB_en_CL
sense,GB_en_CN
sense,GB_en_CO
sense,GB_en_CU
sense,GB_en_CZ
sense,GB_en_DE
sense,GB_en_EG
sense,GB_en_ET
sense,GB_en_FR
sense,GB_en_GB
sense,GB_en_GH
sense,GB_en_GR
sense,GB_en_HU
sense,GB_en_ID
sense,GB_en_IE
sense,GB_en_IL
sense,GB_en_IN
sense,GB_en_IT
sense,GB_en_JP
sense,GB_en_KE
sense,GB_en_KR
sense,GB_en_LB
sense,GB_en_LT
sense,GB_en_LV
sense,GB_en_MA
sense,GB_en_MX
sense,GB_en_MY
sense,GB_en_NA
sense,GB_en_NG
sense,GB_en_NL
sense,GB_en_NO
sense,GB_en_PE
sense,GB_en_PH
sense,GB_en_PK
sense,GB_en_PL
sense,GB_en_PT
sense,GB_en_RO
sense,GB_en_RS
sense,GB_en_SE
sense,GB_en_SG
sense,GB_en_SI
sense,GB_en_SK
sense,GB_en_SN
sense,GB_en_TH
sense,GB_en_TR
sense,GB_en_TW
sense,GB_en_TZ
sense,GB_en_UA
sense,GB_en_UG
sense,GB_en_VE
sense,GB_en_ZW
