group,concept
sense,TZ_en_AR
sense,TZ_en_AT
sense,TZ_en_AU
sense,TZ_en_BD
sense,TZ_en_BE
sense,TZ_en_BG
sense,TZ_en_BR
sense,TZ_en_BW
sense,TZ_en_CA
sense,TZ_en_CH
sense,TZ_en_CL
sense,TZ_en_CN
sense,TZ_en_CO
sense,TZ_en_CU
sense,TZ_en_CZ
sense,TZ_en_DE
sense,TZ_en_EG
sense,TZ_en_ET
sense,TZ_en_FR
sense,TZ_en_GB
sense,TZ_en_GH
sense,TZ_en_GR
sense,TZ_en_HU
sense,TZ_en_ID
sense,TZ_en_IE
sense,TZ_en_IL
sense,TZ_en_IN
sense,TZ_en_IT
sense,TZ_en_JP
sense,TZ_en_KE
sense,TZ_en_KR
sense,TZ_en_LB
sense,TZ_en_LT
sense,TZ_en_LV
sense,TZ_en_MA
sense,TZ_en_MX
sense,TZ_en_MY
sense,TZ_en_NA
sense,TZ_en_NG
sense,TZ_en_NL
sense,TZ_en_NO
sense,TZ_en_PE
sense,TZ_en_PH
sense,TZ_en_PK
sense,TZ_en_PL
sense,TZ_en_PT
sense,TZ_en_RO
sense,TZ_en_RS
sense,TZ_en_SE
sense,TZ_en_SG
sense,TZ_en_SI
sense,TZ_en_SK
sense,TZ_en_SN
sense,TZ_en_TH
sense,TZ_en_TR
sense,TZ_en_TW
sense,TZ_en_TZ
sense,TZ_en_UA
sense,TZ_en_UG
sense,TZ_en_VE
sense,TZ_en_ZW
