group,concept
sense,norway
sense,uganda
sense,united_arab_emirates
sense,japan
sense,taiwan
sense,zimbabwe
sense,pakistan
sense,brazil
sense,turkey
sense,united_kingdom
sense,switzerland
sense,lebanon
sense,ethiopia
sense,mexico
sense,netherlands
sense,italy
sense,india
sense,philippines
sense,australia
sense,bangladesh
sense,thailand
sense,poland
sense,south_africa
sense,romania
sense,china
sense,argentina
sense,nigeria
sense,indonesia
sense,austria
sense,ukraine
sense,vietnam
sense,portugal
sense,latvia
sense,ireland
sense,slovakia
sense,serbia
sense,slovenia
sense,bulgaria
sense,colombia
sense,greece
sense,egypt
sense,canada
sense,united_states
sense,malaysia
sense,tanzania
sense,cuba
sense,hungary
sense,republic_of_korea
sense,saudi_arabia
sense,new_zealand
sense,germany
sense,peru
sense,czech_republic
sense,ghana
sense,venezuela
sense,morocco
sense,lithuania
sense,belgium
sense,botswana
sense,namibia
sense,senegal
sense,france
sense,chile
sense,russia
sense,israel
sense,sweden
sense,hong_kong
